"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"United Arab Emirates (the)","200.84","1","2000"
"Saint Lucia","154.83","2","2000"
"Grenada","144.75","3","2000"
"Saint Kitts and Nevis","143.34","4","2000"
"Trinidad and Tobago","132.25","5","2000"
"Barbados","128.66","6","2000"
"Qatar","126.65","7","2000"
"Estonia","125.9","8","2000"
"Zimbabwe","125.7","9","2000"
"Dominica","119.54","10","2000"
"Lithuania","118.28","11","2000"
"Switzerland","117.96","12","2000"
"Lesotho","115.75","13","2000"
"Cabo Verde","112.51","14","2000"
"Cuba","112.12","15","2000"
"Seychelles","112.01","16","2000"
"Cyprus","111.82","17","2000"
"Senegal","110.5","18","2000"
"Bahrain","110.21","19","2000"
"Micronesia (Federated States of)","108.68","20","2000"
"Oman","108.59","21","2000"
"Poland","108.45","22","2000"
"Greece","108.4","23","2000"
"Antigua and Barbuda","108","24","2000"
"Mauritania","107.81","25","2000"
"Japan","106.84","26","2000"
"Palestine, State of","106.31","27","2000"
"Germany","106.29","28","2000"
"Sweden","105.59","29","2000"
"Korea (the Republic of)","105.51","30","2000"
"United Kingdom","105.5","31","2000"
"Finland","105.09","32","2000"
"Czechia","104.48","33","2000"
"Netherlands (the)","104.26","34","2000"
"Malta","103.9","35","2000"
"Fiji","103.82","36","2000"
"Denmark","103.51","37","2000"
"Lebanon","103.26","38","2000"
"France","103.1","39","2000"
"South Africa","102.68","40","2000"
"Spain","102.5","41","2000"
"Congo (the Democratic Republic of the)","102.45","42","2000"
"Slovenia","102.37","43","2000"
"Belgium","102.31","44","2000"
"Gambia (the)","101.85","45","2000"
"Mauritius","101.85","46","2000"
"Ireland","101.53","47","2000"
"Guyana","101.35","48","2000"
"Georgia","100.95","49","2000"
"El Salvador","100.89","50","2000"
"Jamaica","100.87","51","2000"
"Liberia","99.93","52","2000"
"Central African Republic (the)","99.85","53","2000"
"Sao Tome and Principe","99.4","54","2000"
"New Zealand","99.21","55","2000"
"Côte d'Ivoire","98.89","56","2000"
"Malawi","98.6","57","2000"
"Gabon","98.29","58","2000"
"Luxembourg","98.04","59","2000"
"Italy","98.01","60","2000"
"North Macedonia","97.79","61","2000"
"Venezuela (Bolivarian Republic of)","97.71","62","2000"
"Belize","97.46","63","2000"
"Libya","97.4","64","2000"
"Vanuatu","96.71","65","2000"
"Sri Lanka","96.43","66","2000"
"Australia","96.4","67","2000"
