"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","58.61","1","2000"
"United Arab Emirates (the)","35.91","2","2000"
"Bahrain","28.31","3","2000"
"Kuwait","26.18","4","2000"
"United States of America (the)","20.17","5","2000"
"Luxembourg","18.88","6","2000"
"Trinidad and Tobago","18.81","7","2000"
"Canada","17.41","8","2000"
"Australia","17.2","9","2000"
"Saudi Arabia","14.36","10","2000"
"Brunei Darussalam","14.14","11","2000"
"Singapore","12.16","12","2000"
"Czechia","12.07","13","2000"
"Belgium","11.22","14","2000"
"Palau","10.94","15","2000"
"Netherlands (the)","10.91","16","2000"
"Ireland","10.83","17","2000"
"Estonia","10.63","18","2000"
"Russian Federation (the)","10.62","19","2000"
"Germany","10.09","20","2000"
"Finland","10.08","21","2000"
"Denmark","9.61","22","2000"
"Japan","9.61","23","2000"
"Israel","9.58","24","2000"
"Oman","9.56","25","2000"
"Korea (the Republic of)","9.52","26","2000"
"United Kingdom","9.19","27","2000"
"Norway","8.83","28","2000"
"Libya","8.79","29","2000"
"New Zealand","8.54","30","2000"
"Greece","8.47","31","2000"
"South Africa","8.42","32","2000"
"Turkmenistan","8.31","33","2000"
"Nauru","8.15","34","2000"
"Andorra","8.01","35","2000"
"Kazakhstan","7.93","36","2000"
"Italy","7.91","37","2000"
"Poland","7.82","38","2000"
"Austria","7.77","39","2000"
"Iceland","7.69","40","2000"
"Cyprus","7.39","41","2000"
"Spain","7.25","42","2000"
"Slovenia","7.23","43","2000"
"Seychelles","7.05","44","2000"
"Slovakia","6.65","45","2000"
"Bahamas (the)","6.54","46","2000"
"Ukraine","6.52","47","2000"
"Venezuela (Bolivarian Republic of)","6.3","48","2000"
"Portugal","6.09","49","2000"
"France","5.94","50","2000"
"North Macedonia","5.92","51","2000"
"Iran (Islamic Republic of)","5.67","52","2000"
"Sweden","5.56","53","2000"
"Hungary","5.46","54","2000"
"Switzerland","5.44","55","2000"
"Malta","5.42","56","2000"
"Malaysia","5.42","57","2000"
"Belarus","5.38","58","2000"
"Bulgaria","5.32","59","2000"
"Uzbekistan","4.94","60","2000"
"Suriname","4.66","61","2000"
"Antigua and Barbuda","4.53","62","2000"
"Croatia","4.32","63","2000"
"Barbados","4.24","64","2000"
"Romania","4.04","65","2000"
"Mexico","4.02","66","2000"
"Lebanon","3.96","67","2000"
"Saint Kitts and Nevis","3.9","68","2000"
"Jamaica","3.88","69","2000"
"Argentina","3.85","70","2000"
"Chile","3.83","71","2000"
"Gabon","3.82","72","2000"
"Bosnia and Herzegovina","3.67","73","2000"
"Azerbaijan","3.66","74","2000"
"Lithuania","3.47","75","2000"
"Turkey","3.41","76","2000"
"Mongolia","3.13","77","2000"
"Syrian Arab Republic (the)","3.11","78","2000"
"Iraq","3.08","79","2000"
"Korea (the Democratic People's Republic of)","3.03","80","2000"
"Jordan","3.02","81","2000"
"Algeria","2.83","82","2000"
"Thailand","2.74","83","2000"
"China","2.69","84","2000"
"Latvia","2.68","85","2000"
"Cuba","2.34","86","2000"
"Dominican Republic (the)","2.33","87","2000"
"Botswana","2.3","88","2000"
"Mauritius","2.26","89","2000"
"Saint Lucia","2.22","90","2000"
"Guyana","2.15","91","2000"
"Egypt","2.05","92","2000"
"Tunisia","2.05","93","2000"
"Marshall Islands (the)","1.95","94","2000"
"Panama","1.91","95","2000"
"Brazil","1.87","96","2000"
"Grenada","1.85","97","2000"
"Ecuador","1.63","98","2000"
"Maldives","1.61","99","2000"
"Belize","1.6","100","2000"
"Uruguay","1.59","101","2000"
"Dominica","1.47","102","2000"
"Colombia","1.46","103","2000"
"Costa Rica","1.38","104","2000"
"Saint Vincent and the Grenadines","1.36","105","2000"
"Bolivia (Plurinational State of)","1.31","106","2000"
"Indonesia","1.24","107","2000"
"Moldova (the Republic of)","1.2","108","2000"
"Eswatini","1.18","109","2000"
"Zimbabwe","1.17","110","2000"
"Morocco","1.17","111","2000"
"Micronesia (Federated States of)","1.16","112","2000"
"Peru","1.14","113","2000"
"Armenia","1.12","114","2000"
"Georgia","1.11","115","2000"
"Fiji","1.03","116","2000"
"Albania","0.97","117","2000"
"India","0.97","118","2000"
"El Salvador","0.97","119","2000"
"Tonga","0.97","120","2000"
"Kyrgyzstan","0.94","121","2000"
"Philippines (the)","0.93","122","2000"
"Namibia","0.91","123","2000"
"Lesotho","0.91","124","2000"
"Guatemala","0.85","125","2000"
"Yemen","0.84","126","2000"
"Samoa","0.81","127","2000"
"Tuvalu","0.78","128","2000"
"Honduras","0.76","129","2000"
"Equatorial Guinea","0.75","130","2000"
"Pakistan","0.74","131","2000"
"Nicaragua","0.74","132","2000"
"Paraguay","0.69","133","2000"
"Bhutan","0.67","134","2000"
"Viet Nam","0.67","135","2000"
"Nigeria","0.64","136","2000"
"Angola","0.58","137","2000"
"Palestine, State of","0.56","138","2000"
"Sri Lanka","0.54","139","2000"
"Djibouti","0.51","140","2000"
"Cabo Verde","0.5","141","2000"
"Papua New Guinea","0.45","142","2000"
"Vanuatu","0.45","143","2000"
"Mauritania","0.44","144","2000"
"Côte d'Ivoire","0.41","145","2000"
"Senegal","0.4","146","2000"
"Kiribati","0.39","147","2000"
"Solomon Islands","0.37","148","2000"
"Tajikistan","0.35","149","2000"
"Congo (the)","0.33","150","2000"
"Sao Tome and Principe","0.33","151","2000"
"Ghana","0.32","152","2000"
"Kenya","0.32","153","2000"
"Togo","0.27","154","2000"
"Eritrea","0.26","155","2000"
"Benin","0.23","156","2000"
"Cameroon","0.22","157","2000"
"Myanmar","0.21","158","2000"
"Bangladesh","0.21","159","2000"
"Gambia (the)","0.2","160","2000"
"Guinea","0.19","161","2000"
"Lao People's Democratic Republic (the)","0.18","162","2000"
"Comoros (the)","0.18","163","2000"
"Zambia","0.17","164","2000"
"Cambodia","0.16","165","2000"
"Liberia","0.15","166","2000"
"Sudan (the)","0.15","167","2000"
"Haiti","0.15","168","2000"
"Nepal","0.12","169","2000"
"Guinea-Bissau","0.12","170","2000"
"Madagascar","0.11","171","2000"
"Sierra Leone","0.09","172","2000"
"Burkina Faso","0.08","173","2000"
"Tanzania, the United Republic of","0.07","174","2000"
"Central African Republic (the)","0.07","175","2000"
"Malawi","0.07","176","2000"
"Mali","0.07","177","2000"
"Mozambique","0.07","178","2000"
"Niger (the)","0.06","179","2000"
"Uganda","0.06","180","2000"
"Rwanda","0.06","181","2000"
"Ethiopia","0.05","182","2000"
"Somalia","0.05","183","2000"
"Chad","0.05","184","2000"
"Burundi","0.04","185","2000"
"Afghanistan","0.03","186","2000"
"Congo (the Democratic Republic of the)","0.01","187","2000"
"World","0","","2000"
"Liechtenstein","null","188","2000"
"Montenegro","null","189","2000"
"Serbia","null","190","2000"
"San Marino","null","191","2000"
"Holy See (the)","null","192","2000"
"Monaco","null","193","2000"
"Taiwan","null","194","2000"
"Timor-Leste","null","195","2000"
"South Sudan","null","196","2000"
"Bonaire","null","197","2000"
"Curaçao","null","198","2000"
"Sint Maarten (Dutch part)","null","199","2000"
"Faroe Islands","null","200","2000"
"United States Minor Outlying Islands","null","201","2000"
"Serranilla Bank","null","202","2000"
"Scarborough Reef","null","203","2000"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2000"
"Spratly Islands","null","205","2000"
"American Samoa","null","206","2000"
"Greenland","null","207","2000"
"Guam","null","208","2000"
"Northern Mariana Islands","null","209","2000"
"Puerto Rico","null","210","2000"
"United States Virgin Islands","null","211","2000"
"Somaliland","null","212","2000"
"Northern Cyprus","null","213","2000"
"Cyprus No Mans Area","null","214","2000"
"Western Sahara","null","215","2000"
"Siachen Glacier","null","216","2000"
"Kosovo","null","217","2000"
