"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Maldives","2.62","94","2013"
"Guyana","2.54","95","2013"
"Tunisia","2.52","96","2013"
"Brazil","2.5","97","2013"
"Cuba","2.47","98","2013"
"Marshall Islands (the)","2.44","99","2013"
"Egypt","2.42","100","2013"
"Dominica","2.37","101","2013"
"Saint Lucia","2.29","102","2013"
"Uruguay","2.23","103","2013"
"Georgia","2.2","104","2013"
"Dominican Republic (the)","2.13","105","2013"
"Colombia","1.99","106","2013"
"Saint Vincent and the Grenadines","1.92","107","2013"
"Armenia","1.89","108","2013"
"Syrian Arab Republic (the)","1.86","109","2013"
"Bolivia (Plurinational State of)","1.81","110","2013"
"Moldova (the Republic of)","1.74","111","2013"
"Morocco","1.74","112","2013"
"Kyrgyzstan","1.72","113","2013"
"Albania","1.69","114","2013"
"Indonesia","1.64","115","2013"
"Viet Nam","1.62","116","2013"
"Costa Rica","1.62","117","2013"
"India","1.58","118","2013"
"Peru","1.57","119","2013"
"Fiji","1.54","120","2013"
"Liechtenstein","1.48","121","2013"
"Belize","1.48","122","2013"
"Eswatini","1.4","123","2013"
"Bhutan","1.29","124","2013"
"Angola","1.29","125","2013"
"Micronesia (Federated States of)","1.28","126","2013"
"Lesotho","1.19","127","2013"
"Namibia","1.17","128","2013"
"Korea (the Democratic People's Republic of)","1.11","129","2013"
"Tonga","1.11","130","2013"
"Honduras","1.07","131","2013"
"Samoa","1.03","132","2013"
"Yemen","1.01","133","2013"
"Tuvalu","1.01","134","2013"
"Philippines (the)","0.99","135","2013"
"El Salvador","0.99","136","2013"
"Cabo Verde","0.97","137","2013"
"Pakistan","0.91","138","2013"
"Zimbabwe","0.88","139","2013"
"Guatemala","0.85","140","2013"
"Paraguay","0.83","141","2013"
"Nicaragua","0.73","142","2013"
"Sri Lanka","0.72","143","2013"
"Nigeria","0.72","144","2013"
"Congo (the)","0.7","145","2013"
"Papua New Guinea","0.67","146","2013"
"Djibouti","0.64","147","2013"
"Lao People's Democratic Republic (the)","0.63","148","2013"
"Mauritania","0.62","149","2013"
"Senegal","0.61","150","2013"
"Palestine, State of","0.59","151","2013"
"Sao Tome and Principe","0.59","152","2013"
"Ghana","0.55","153","2013"
"Benin","0.5","154","2013"
"Côte d'Ivoire","0.48","155","2013"
"Kiribati","0.47","156","2013"
"Bangladesh","0.45","157","2013"
"Vanuatu","0.41","158","2013"
"Timor-Leste","0.38","159","2013"
"Cambodia","0.37","160","2013"
"Tajikistan","0.36","161","2013"
"Togo","0.36","162","2013"
"Solomon Islands","0.34","163","2013"
"Sudan (the)","0.3","164","2013"
"Kenya","0.29","165","2013"
"Afghanistan","0.28","166","2013"
"Zambia","0.26","167","2013"
"Myanmar","0.25","168","2013"
"Nepal","0.24","169","2013"
"Tanzania, the United Republic of","0.23","170","2013"
"Comoros (the)","0.23","171","2013"
"Gambia (the)","0.22","172","2013"
"Cameroon","0.22","173","2013"
"Haiti","0.22","174","2013"
"Liberia","0.21","175","2013"
"Guinea","0.21","176","2013"
"Burkina Faso","0.17","177","2013"
"Sierra Leone","0.17","178","2013"
"Mali","0.16","179","2013"
"Mozambique","0.16","180","2013"
"Guinea-Bissau","0.15","181","2013"
"Madagascar","0.13","182","2013"
"South Sudan","0.13","183","2013"
"Uganda","0.12","184","2013"
"Ethiopia","0.1","185","2013"
"Niger (the)","0.1","186","2013"
"Malawi","0.07","187","2013"
"Rwanda","0.07","188","2013"
"Chad","0.07","189","2013"
"Central African Republic (the)","0.06","190","2013"
"Congo (the Democratic Republic of the)","0.05","191","2013"
"Somalia","0.04","192","2013"
"Burundi","0.04","193","2013"
"World","0","","2013"
"San Marino","null","194","2013"
"Holy See (the)","null","195","2013"
"Monaco","null","196","2013"
"Taiwan","null","197","2013"
"Eritrea","null","198","2013"
"Bonaire","null","199","2013"
"Faroe Islands","null","200","2013"
"United States Minor Outlying Islands","null","201","2013"
"Serranilla Bank","null","202","2013"
"Scarborough Reef","null","203","2013"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2013"
"Spratly Islands","null","205","2013"
"American Samoa","null","206","2013"
"Greenland","null","207","2013"
"Guam","null","208","2013"
"Northern Mariana Islands","null","209","2013"
"Puerto Rico","null","210","2013"
"United States Virgin Islands","null","211","2013"
"Somaliland","null","212","2013"
"Northern Cyprus","null","213","2013"
"Cyprus No Mans Area","null","214","2013"
"Western Sahara","null","215","2013"
"Siachen Glacier","null","216","2013"
"Kosovo","null","217","2013"
"Faroe Islands","null","218","2013"
"United States Minor Outlying Islands","null","219","2013"
"Serranilla Bank","null","220","2013"
"Scarborough Reef","null","221","2013"
"Bajo Nuevo Bank (Petrel Is.)","null","222","2013"
"Spratly Islands","null","223","2013"
"American Samoa","null","224","2013"
"Greenland","null","225","2013"
"Guam","null","226","2013"
"Northern Mariana Islands","null","227","2013"
"Puerto Rico","null","228","2013"
"United States Virgin Islands","null","229","2013"
"Somaliland","null","230","2013"
"Northern Cyprus","null","231","2013"
"Cyprus No Mans Area","null","232","2013"
"Western Sahara","null","233","2013"
"Siachen Glacier","null","234","2013"
"Kosovo","null","235","2013"
