"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","36.38","1","2013"
"Trinidad and Tobago","34.37","2","2013"
"Curaçao","33.89","3","2013"
"Kuwait","26.88","4","2013"
"United Arab Emirates (the)","23.99","5","2013"
"Bahrain","23.88","6","2013"
"Sint Maarten (Dutch part)","19.53","7","2013"
"Brunei Darussalam","19.29","8","2013"
"Luxembourg","18.49","9","2013"
"Saudi Arabia","18","10","2013"
"Oman","16.47","11","2013"
"United States of America (the)","16.36","12","2013"
"Australia","16.09","13","2013"
"Kazakhstan","15.42","14","2013"
"Mongolia","15.13","15","2013"
"Canada","14.79","16","2013"
"Estonia","14.66","17","2013"
"Palau","12.49","18","2013"
"Turkmenistan","12.43","19","2013"
"Russian Federation (the)","12.12","20","2013"
"Korea (the Republic of)","11.74","21","2013"
"Singapore","10.39","22","2013"
"Netherlands (the)","10.33","23","2013"
"Japan","9.76","24","2013"
"Czechia","9.7","25","2013"
"Norway","9.49","26","2013"
"Germany","9.39","27","2013"
"Libya","8.9","28","2013"
"Belgium","8.73","29","2013"
"Finland","8.67","30","2013"
"South Africa","8.55","31","2013"
"Israel","8.19","32","2013"
"Iran (Islamic Republic of)","8.1","33","2013"
"Malaysia","8.02","34","2013"
"Poland","7.94","35","2013"
"Bahamas (the)","7.82","36","2013"
"China","7.55","37","2013"
"Ireland","7.54","38","2013"
"New Zealand","7.52","39","2013"
"Austria","7.37","40","2013"
"Equatorial Guinea","7.15","41","2013"
"United Kingdom","7.1","42","2013"
"Slovenia","6.74","43","2013"
"Belarus","6.66","44","2013"
"Denmark","6.63","45","2013"
"Greece","6.33","46","2013"
"Serbia","6.22","47","2013"
"Bosnia and Herzegovina","6.18","48","2013"
"Venezuela (Bolivarian Republic of)","6.17","49","2013"
"Slovakia","6.11","50","2013"
"Ukraine","5.97","51","2013"
"Andorra","5.9","52","2013"
"Iceland","5.86","53","2013"
"Italy","5.73","54","2013"
"Antigua and Barbuda","5.72","55","2013"
"Malta","5.5","56","2013"
"Bulgaria","5.45","57","2013"
"Cyprus","5.19","58","2013"
"Barbados","5.09","59","2013"
"Spain","5.08","60","2013"
"France","5.06","61","2013"
"Switzerland","4.99","62","2013"
"Iraq","4.99","63","2013"
"Chile","4.73","64","2013"
"Sweden","4.67","65","2013"
"Argentina","4.58","66","2013"
"Saint Kitts and Nevis","4.44","67","2013"
"Portugal","4.34","68","2013"
"Turkey","4.28","69","2013"
"Lithuania","4.27","70","2013"
"Hungary","4.27","71","2013"
"Thailand","4.21","72","2013"
"Croatia","4.13","73","2013"
"Mexico","4.12","74","2013"
"Nauru","4.06","75","2013"
"Suriname","3.85","76","2013"
"Lebanon","3.81","77","2013"
"North Macedonia","3.78","78","2013"
"Azerbaijan","3.76","79","2013"
"Seychelles","3.66","80","2013"
"Romania","3.55","81","2013"
"Algeria","3.52","82","2013"
"Latvia","3.51","83","2013"
"Montenegro","3.46","84","2013"
"Uzbekistan","3.41","85","2013"
"Mauritius","3.23","86","2013"
"Panama","3.03","87","2013"
"Gabon","2.9","88","2013"
"Jordan","2.87","89","2013"
"Grenada","2.81","90","2013"
"Jamaica","2.79","91","2013"
"Botswana","2.74","92","2013"
"Ecuador","2.63","93","2013"
