"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Grenada","150.61","1","2002"
"Saint Lucia","149.47","2","2002"
"Saint Kitts and Nevis","145.28","3","2002"
"Trinidad and Tobago","133.68","4","2002"
"Iraq","122.75","5","2002"
"Cuba","116.67","6","2002"
"Lithuania","116.51","7","2002"
"Cyprus","111.76","8","2002"
"Antigua and Barbuda","111.65","9","2002"
"Benin","111.31","10","2002"
"Lesotho","110.87","11","2002"
"Seychelles","110.7","12","2002"
"Palestine, State of","109.65","13","2002"
"Micronesia (Federated States of)","108.73","14","2002"
"Barbados","106.34","15","2002"
"Burundi","106.28","16","2002"
"Somalia","106.09","17","2002"
"Greece","105.9","18","2002"
"Luxembourg","105.84","19","2002"
"Dominica","105.67","20","2002"
"United Arab Emirates (the)","105.51","21","2002"
"Slovenia","105.15","22","2002"
"Guyana","105.09","23","2002"
"United Kingdom","104.84","24","2002"
"Japan","104.45","25","2002"
"Sao Tome and Principe","104.26","26","2002"
"Sweden","103.76","27","2002"
"Poland","103.65","28","2002"
"Djibouti","103.51","29","2002"
"France","103.42","30","2002"
"Syrian Arab Republic (the)","103.31","31","2002"
"Finland","103.12","32","2002"
"Bulgaria","103.1","33","2002"
"Jamaica","102.98","34","2002"
"Rwanda","102.59","35","2002"
"South Africa","102.1","36","2002"
"Uganda","102.06","37","2002"
"Switzerland","101.89","38","2002"
"Dominican Republic (the)","100.65","39","2002"
"Australia","100.62","40","2002"
"Togo","100.26","41","2002"
"Kazakhstan","100.25","42","2002"
"Cabo Verde","100.2","43","2002"
"Central African Republic (the)","100.03","44","2002"
"Libya","100","45","2002"
"Moldova (the Republic of)","99.87","46","2002"
"Spain","99.78","47","2002"
"Croatia","99.26","48","2002"
"Lebanon","99.15","49","2002"
"Oman","99","50","2002"
"Korea (the Republic of)","98.81","51","2002"
"Ireland","98.79","52","2002"
"Netherlands (the)","98.78","53","2002"
"Gabon","98.42","54","2002"
"Panama","98.2","55","2002"
"Botswana","98.18","56","2002"
"Congo (the Democratic Republic of the)","98.07","57","2002"
"Tonga","97.95","58","2002"
"Portugal","97.9","59","2002"
"Belgium","97.79","60","2002"
"Comoros (the)","97.68","61","2002"
"Samoa","97.65","62","2002"
"Liechtenstein","97.23","63","2002"
"Mauritius","97.06","64","2002"
"Austria","96.98","65","2002"
"Fiji","96.93","66","2002"
"Slovakia","96.76","67","2002"
"Niger (the)","96.75","68","2002"
"Latvia","96.68","69","2002"
"Liberia","96.39","70","2002"
"Turkey","96.21","71","2002"
"Russian Federation (the)","96.12","72","2002"
"Tuvalu","95.9","73","2002"
"Korea (the Democratic People's Republic of)","95.71","74","2002"
"Denmark","95.7","75","2002"
"Timor-Leste","95.68","76","2002"
"Nauru","95.62","77","2002"
"Thailand","95.46","78","2002"
"Germany","95.23","79","2002"
"Brunei Darussalam","95.15","80","2002"
"New Zealand","95.12","81","2002"
