"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Saint Kitts and Nevis","145.97","1","2003"
"Marshall Islands (the)","135.63","2","2003"
"Grenada","132.71","3","2003"
"Lithuania","124.04","4","2003"
"Georgia","121.68","5","2003"
"Saint Lucia","121.29","6","2003"
"Cuba","116.34","7","2003"
"Spain","114.29","8","2003"
"Antigua and Barbuda","113.09","9","2003"
"Tunisia","111.01","10","2003"
"Guyana","110.51","11","2003"
"Micronesia (Federated States of)","108.76","12","2003"
"Dominican Republic (the)","107.79","13","2003"
"Jamaica","107.59","14","2003"
"Mauritania","106.37","15","2003"
"Mali","105.95","16","2003"
"Cyprus","105.82","17","2003"
"Nicaragua","105.48","18","2003"
"Sao Tome and Principe","105.1","19","2003"
"Somalia","104.87","20","2003"
"Barbados","104.32","21","2003"
"Cabo Verde","104.26","22","2003"
"Panama","104.18","23","2003"
"Seychelles","104.06","24","2003"
"Trinidad and Tobago","103.95","25","2003"
"Mauritius","103.7","26","2003"
"Ireland","103.67","27","2003"
"Moldova (the Republic of)","103.39","28","2003"
"Benin","103.06","29","2003"
"Libya","102.96","30","2003"
"Uganda","102.25","31","2003"
"Thailand","101.54","32","2003"
"Togo","101.31","33","2003"
"Lesotho","101.2","34","2003"
"Sweden","100.9","35","2003"
"South Africa","99.73","36","2003"
"Denmark","99.4","37","2003"
"Brunei Darussalam","99.37","38","2003"
"Comoros (the)","99.37","39","2003"
"United Kingdom","99.2","40","2003"
"Tuvalu","99.14","41","2003"
"Botswana","99.12","42","2003"
"Gabon","98.95","43","2003"
"Paraguay","98.95","44","2003"
"Chad","98.87","45","2003"
"Congo (the Democratic Republic of the)","98.76","46","2003"
"Samoa","98.71","47","2003"
"Liechtenstein","98.12","48","2003"
"Japan","98.09","49","2003"
"Mongolia","98.06","50","2003"
"Sudan (the)","98.04","51","2003"
"Belgium","98.03","52","2003"
"Bahrain","97.93","53","2003"
"Bolivia (Plurinational State of)","97.87","54","2003"
"Kazakhstan","97.67","55","2003"
"Colombia","97.6","56","2003"
