"Country","GDP growth (annual %)","Rank","Year"
"Nauru","22.22","1","2008"
"Equatorial Guinea","17.79","2","2008"
"Qatar","17.66","3","2008"
"Turkmenistan","14.69","4","2008"
"Timor-Leste","11.33","5","2008"
"Rwanda","11.16","6","2008"
"Angola","11.16","7","2008"
"Ethiopia","10.78","8","2008"
"Azerbaijan","10.59","9","2008"
"Myanmar","10.25","10","2008"
"Belarus","10.19","11","2008"
"Panama","9.85","12","2008"
"China","9.65","13","2008"
"Maldives","9.48","14","2008"
"Romania","9.3","15","2008"
"Ghana","9.14","16","2008"
"Peru","9.12","17","2008"
"Lebanon","9.06","18","2008"
"Uzbekistan","9.02","19","2008"
"Mongolia","8.9","20","2008"
"Uganda","8.7","21","2008"
"Kyrgyzstan","8.4","22","2008"
"Iraq","8.22","23","2008"
"Oman","8.2","24","2008"
"Sao Tome and Principe","8.18","25","2008"
"Tuvalu","7.98","26","2008"
"Tajikistan","7.91","27","2008"
"Lao People's Democratic Republic (the)","7.82","28","2008"
"Moldova (the Republic of)","7.8","29","2008"
"Sudan (the)","7.8","30","2008"
"Zambia","7.77","31","2008"
"Niger (the)","7.73","32","2008"
"Malawi","7.63","33","2008"
"Albania","7.49","34","2008"
"Palestine, State of","7.42","35","2008"
"Mozambique","7.31","36","2008"
"Jordan","7.23","37","2008"
"Montenegro","7.22","38","2008"
"Uruguay","7.17","39","2008"
"Egypt","7.15","40","2008"
"Liberia","7.14","41","2008"
"Dominica","7.12","42","2008"
"Armenia","6.9","43","2008"
"Nigeria","6.76","44","2008"
"Lesotho","6.73","45","2008"
"Madagascar","6.71","46","2008"
"Cambodia","6.69","47","2008"
"Cabo Verde","6.65","48","2008"
"Vanuatu","6.44","49","2008"
"Ecuador","6.35","50","2008"
"Paraguay","6.35","51","2008"
"Congo (the)","6.3","52","2008"
"Gambia (the)","6.25","53","2008"
"Saudi Arabia","6.24","54","2008"
"Bahrain","6.24","55","2008"
"Botswana","6.24","56","2008"
"Congo (the Democratic Republic of the)","6.22","57","2008"
"Bolivia (Plurinational State of)","6.14","58","2008"
"Saint Kitts and Nevis","6.12","59","2008"
"Nepal","6.1","60","2008"
"Bulgaria","6.08","61","2008"
"Indonesia","6.01","62","2008"
"Bangladesh","6.01","63","2008"
"Sri Lanka","5.95","64","2008"
"Morocco","5.92","65","2008"
"Solomon Islands","5.8","66","2008"
"Burkina Faso","5.79","67","2008"
"Tanzania, the United Republic of","5.68","68","2008"
"Viet Nam","5.66","69","2008"
"Serbia","5.65","70","2008"
"Slovakia","5.57","71","2008"
"North Macedonia","5.47","72","2008"
"Bosnia and Herzegovina","5.44","73","2008"
"Sierra Leone","5.39","74","2008"
"Mauritius","5.38","75","2008"
"Venezuela (Bolivarian Republic of)","5.27","76","2008"
"Russian Federation (the)","5.19","77","2008"
"Brazil","5.09","78","2008"
"Saint Lucia","4.94","79","2008"
"Benin","4.89","80","2008"
"Burundi","4.86","81","2008"
"Malaysia","4.83","82","2008"
"Bhutan","4.79","83","2008"
"Mali","4.77","84","2008"
"Tonga","4.75","85","2008"
"Costa Rica","4.64","86","2008"
"Philippines (the)","4.34","87","2008"
"Tunisia","4.23","88","2008"
"Honduras","4.23","89","2008"
"Poland","4.19","90","2008"
"Suriname","4.14","91","2008"
"Guinea","4.13","92","2008"
"Cuba","4.11","93","2008"
"Togo","4.06","94","2008"
"Senegal","4.05","95","2008"
"Argentina","4.05","96","2008"
"Comoros (the)","3.99","97","2008"
"Afghanistan","3.92","98","2008"
"Malta","3.82","99","2008"
"Australia","3.65","100","2008"
"Yemen","3.64","101","2008"
"Cyprus","3.64","102","2008"
"Chile","3.52","103","2008"
"Slovenia","3.5","104","2008"
"Cameroon","3.48","105","2008"
"Belize","3.48","106","2008"
"Nicaragua","3.43","107","2008"
"Trinidad and Tobago","3.39","108","2008"
"Kazakhstan","3.3","109","2008"
"Guatemala","3.28","110","2008"
"Colombia","3.28","111","2008"
"Guinea-Bissau","3.2","112","2008"
"Dominican Republic (the)","3.2","113","2008"
"United Arab Emirates (the)","3.19","114","2008"
"South Africa","3.19","115","2008"
"India","3.08","116","2008"
"Chad","3.05","117","2008"
"Korea (the Republic of)","3.01","118","2008"
"Israel","2.99","119","2008"
"Czechia","2.68","120","2008"
"Libya","2.66","121","2008"
"Namibia","2.64","122","2008"
"Lithuania","2.61","123","2008"
"El Salvador","2.57","124","2008"
"Côte d'Ivoire","2.54","125","2008"
"Kuwait","2.47","126","2008"
"Haiti","2.47","127","2008"
"Georgia","2.41","128","2008"
"Algeria","2.4","129","2008"
"Ukraine","2.3","130","2008"
"Curaçao","2.18","131","2008"
"Netherlands (the)","2.17","132","2008"
"Switzerland","2.15","133","2008"
"Central African Republic (the)","2.05","134","2008"
"Iceland","1.99","135","2008"
"Croatia","1.89","136","2008"
"Singapore","1.86","137","2008"
"World","1.85","","2008"
"Liechtenstein","1.79","138","2008"
"Guyana","1.75","139","2008"
"Thailand","1.72","140","2008"
"Pakistan","1.7","141","2008"
"Saint Vincent and the Grenadines","1.58","142","2008"
"Austria","1.46","143","2008"
"Mexico","1.14","144","2008"
"Hungary","1.05","145","2008"
"Fiji","1.03","146","2008"
"Canada","1","147","2008"
"Samoa","1","148","2008"
"Germany","0.95","149","2008"
"Grenada","0.94","150","2008"
"Spain","0.88","151","2008"
"Eswatini","0.82","152","2008"
"Turkey","0.81","153","2008"
"Finland","0.78","154","2008"
"Barbados","0.7","155","2008"
"Monaco","0.66","156","2008"
"Norway","0.47","157","2008"
"Belgium","0.44","158","2008"
"Portugal","0.31","159","2008"
"France","0.25","160","2008"
"Iran (Islamic Republic of)","0.25","161","2008"
"Kenya","0.23","162","2008"
"Antigua and Barbuda","-0.02","172","2008"
"United States of America (the)","-0.14","173","2008"
"United Kingdom","-0.29","174","2008"
"Papua New Guinea","-0.3","175","2008"
"Greece","-0.34","176","2008"
"Mauritania","-0.34","177","2008"
"Sweden","-0.46","178","2008"
"San Marino","-0.51","179","2008"
"Denmark","-0.52","180","2008"
"Jamaica","-0.82","181","2008"
"Italy","-0.97","182","2008"
"New Zealand","-1.04","183","2008"
"Japan","-1.1","184","2008"
"Luxembourg","-1.28","185","2008"
"Brunei Darussalam","-1.94","186","2008"
"Kiribati","-2.1","187","2008"
"Seychelles","-2.15","188","2008"
"Bahamas (the)","-2.33","189","2008"
"Micronesia (Federated States of)","-2.41","190","2008"
"Gabon","-3.31","191","2008"
"Latvia","-3.33","192","2008"
"Ireland","-4.49","193","2008"
"Estonia","-5.09","194","2008"
"Andorra","-5.56","195","2008"
"Palau","-5.79","196","2008"
"Marshall Islands (the)","-6.76","197","2008"
"Eritrea","-9.79","198","2008"
"Zimbabwe","-17.67","199","2008"
"Holy See (the)","null","163","2008"
"Syrian Arab Republic (the)","null","164","2008"
"Taiwan","null","165","2008"
"Korea (the Democratic People's Republic of)","null","166","2008"
"Somalia","null","167","2008"
"South Sudan","null","168","2008"
"Djibouti","null","169","2008"
"Bonaire","null","170","2008"
"Sint Maarten (Dutch part)","null","171","2008"
"Faroe Islands","null","200","2008"
"United States Minor Outlying Islands","null","201","2008"
"Serranilla Bank","null","202","2008"
"Scarborough Reef","null","203","2008"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2008"
"Spratly Islands","null","205","2008"
"American Samoa","null","206","2008"
"Greenland","null","207","2008"
"Guam","null","208","2008"
"Northern Mariana Islands","null","209","2008"
"Puerto Rico","null","210","2008"
"United States Virgin Islands","null","211","2008"
"Somaliland","null","212","2008"
"Northern Cyprus","null","213","2008"
"Cyprus No Mans Area","null","214","2008"
"Western Sahara","null","215","2008"
"Siachen Glacier","null","216","2008"
"Kosovo","null","217","2008"
