"Country","GDP growth (annual %)","Rank","Year"
"Guyana","43.47","1","2020"
"Timor-Leste","10.37","2","2020"
"Guinea","6.98","3","2020"
"Ethiopia","6.05","4","2020"
"Ireland","5.86","5","2020"
"Tajikistan","4.49","6","2020"
"Tuvalu","4.4","7","2020"
"Benin","3.84","8","2020"
"Niger (the)","3.58","9","2020"
"Egypt","3.56","10","2020"
"Bangladesh","3.5","11","2020"
"Iran (Islamic Republic of)","3.38","12","2020"
"Myanmar","3.17","13","2020"
"Sao Tome and Principe","3.08","14","2020"
"Uganda","2.95","15","2020"
"Viet Nam","2.9","16","2020"
"Somalia","2.39","17","2020"
"China","2.34","18","2020"
"Tanzania, the United Republic of","1.99","19","2020"
"Côte d'Ivoire","1.95","20","2020"
"Burkina Faso","1.93","21","2020"
"New Zealand","1.86","22","2020"
"Turkey","1.79","23","2020"
"Togo","1.75","24","2020"
"Congo (the Democratic Republic of the)","1.73","25","2020"
"Uzbekistan","1.71","26","2020"
"Senegal","1.49","27","2020"
"Nauru","1.14","28","2020"
"Brunei Darussalam","1.13","29","2020"
"Central African Republic (the)","0.82","30","2020"
"Malawi","0.79","31","2020"
"Tonga","0.65","32","2020"
"Lao People's Democratic Republic (the)","0.5","33","2020"
"Cameroon","0.49","34","2020"
"Djibouti","0.49","35","2020"
"Ghana","0.41","36","2020"
"Burundi","0.29","37","2020"
"Australia","-0.01","53","2020"
"Comoros (the)","-0.13","54","2020"
"Lithuania","-0.14","55","2020"
"Gambia (the)","-0.22","56","2020"
"Kenya","-0.32","57","2020"
"Paraguay","-0.57","58","2020"
"Norway","-0.77","59","2020"
"Korea (the Republic of)","-0.86","60","2020"
"Belarus","-0.91","61","2020"
"Pakistan","-0.94","62","2020"
"Serbia","-0.95","63","2020"
"Chad","-0.95","64","2020"
"Mali","-1.24","65","2020"
"Mozambique","-1.24","66","2020"
"Guatemala","-1.52","67","2020"
"Jordan","-1.56","68","2020"
"Mauritania","-1.77","69","2020"
"Micronesia (Federated States of)","-1.77","70","2020"
"Luxembourg","-1.78","71","2020"
"Nigeria","-1.8","72","2020"
"Gabon","-1.84","73","2020"
"Eswatini","-1.86","74","2020"
"Kiribati","-1.95","75","2020"
"Sierra Leone","-1.97","76","2020"
"Nicaragua","-1.98","77","2020"
"Denmark","-2.07","78","2020"
"Indonesia","-2.07","79","2020"
"Nepal","-2.09","80","2020"
"Israel","-2.16","81","2020"
"Marshall Islands (the)","-2.21","82","2020"
"Afghanistan","-2.36","83","2020"
"Switzerland","-2.4","84","2020"
"Guinea-Bissau","-2.4","85","2020"
"Kazakhstan","-2.5","86","2020"
"Poland","-2.55","87","2020"
"Samoa","-2.6","88","2020"
"Zambia","-2.79","89","2020"
"Finland","-2.88","90","2020"
"Sweden","-2.95","91","2020"
"Estonia","-2.96","92","2020"
"Russian Federation (the)","-2.96","93","2020"
"Liberia","-2.99","94","2020"
"Cambodia","-3.15","95","2020"
"Bosnia and Herzegovina","-3.2","96","2020"
"Saint Vincent and the Grenadines","-3.26","97","2020"
"Haiti","-3.35","98","2020"
"Rwanda","-3.36","99","2020"
"World","-3.37","","2020"
"Papua New Guinea","-3.51","100","2020"
"Qatar","-3.56","101","2020"
"Sri Lanka","-3.57","102","2020"
"Latvia","-3.62","103","2020"
"Sudan (the)","-3.63","104","2020"
"United States of America (the)","-3.65","105","2020"
"Netherlands (the)","-3.8","106","2020"
"Romania","-3.94","107","2020"
"Albania","-3.96","108","2020"
"Ukraine","-4.01","109","2020"
"Brazil","-4.06","110","2020"
"Costa Rica","-4.07","111","2020"
"Saudi Arabia","-4.11","112","2020"
"Slovenia","-4.23","113","2020"
"Azerbaijan","-4.3","114","2020"
"Solomon Islands","-4.32","115","2020"
"Slovakia","-4.36","116","2020"
"Bulgaria","-4.39","117","2020"
"Mongolia","-4.56","118","2020"
"Germany","-4.57","119","2020"
"Japan","-4.59","120","2020"
"Hungary","-4.68","121","2020"
"Equatorial Guinea","-4.9","122","2020"
"Bahrain","-5.09","123","2020"
"Algeria","-5.1","124","2020"
"North Macedonia","-5.21","125","2020"
"Cyprus","-5.23","126","2020"
"Canada","-5.32","127","2020"
"Singapore","-5.4","128","2020"
"Angola","-5.4","129","2020"
"Malaysia","-5.65","130","2020"
"Belgium","-5.66","131","2020"
"Chile","-5.78","132","2020"
"Czechia","-5.8","133","2020"
"Uruguay","-5.86","134","2020"
"Thailand","-6.1","135","2020"
"United Arab Emirates (the)","-6.14","136","2020"
"Zimbabwe","-6.25","137","2020"
"Morocco","-6.3","138","2020"
"South Africa","-6.44","139","2020"
"Iceland","-6.51","140","2020"
"Dominican Republic (the)","-6.73","141","2020"
"Austria","-6.74","142","2020"
"Georgia","-6.77","143","2020"
"Colombia","-6.8","144","2020"
"Vanuatu","-6.82","145","2020"
"Moldova (the Republic of)","-6.97","146","2020"
"Malta","-7.01","147","2020"
"Madagascar","-7.15","148","2020"
"India","-7.26","149","2020"
"Armenia","-7.41","150","2020"
"Ecuador","-7.76","151","2020"
"France","-7.86","152","2020"
"Trinidad and Tobago","-7.86","153","2020"
"Congo (the)","-7.95","154","2020"
"Croatia","-8.1","155","2020"
"Mexico","-8.31","156","2020"
"Portugal","-8.45","157","2020"
"Botswana","-8.5","158","2020"
"Namibia","-8.51","159","2020"
"El Salvador","-8.59","160","2020"
"Kyrgyzstan","-8.62","161","2020"
"Kuwait","-8.69","162","2020"
"Bolivia (Plurinational State of)","-8.83","163","2020"
"Italy","-8.94","164","2020"
"Honduras","-8.97","165","2020"
"Greece","-9.02","166","2020"
"Tunisia","-9.19","167","2020"
"Philippines (the)","-9.58","168","2020"
"Lesotho","-9.62","169","2020"
"United Kingdom","-9.7","170","2020"
"Palau","-9.74","171","2020"
"Argentina","-9.9","172","2020"
"Jamaica","-10","173","2020"
"Bhutan","-10.08","174","2020"
"Seychelles","-10.78","175","2020"
"Spain","-10.83","176","2020"
"Cuba","-10.95","177","2020"
"Peru","-11.15","178","2020"
"Palestine, State of","-11.46","179","2020"
"Andorra","-11.96","180","2020"
"Grenada","-13.71","181","2020"
"Belize","-14.02","182","2020"
"Saint Kitts and Nevis","-14.4","183","2020"
"Bahamas (the)","-14.52","184","2020"
"Cabo Verde","-14.79","185","2020"
"Mauritius","-14.9","186","2020"
"Montenegro","-15.31","187","2020"
"Iraq","-15.68","188","2020"
"Fiji","-15.72","189","2020"
"Suriname","-15.91","190","2020"
"Dominica","-16.61","191","2020"
"Panama","-17.95","192","2020"
"Curaçao","-18.4","193","2020"
"Barbados","-18.98","194","2020"
"Antigua and Barbuda","-20.2","195","2020"
"Saint Lucia","-20.38","196","2020"
"Lebanon","-21.47","197","2020"
"Libya","-31.31","198","2020"
"Maldives","-33.5","199","2020"
"Liechtenstein","null","38","2020"
"San Marino","null","39","2020"
"Holy See (the)","null","40","2020"
"Monaco","null","41","2020"
"Syrian Arab Republic (the)","null","42","2020"
"Taiwan","null","43","2020"
"Korea (the Democratic People's Republic of)","null","44","2020"
"Oman","null","45","2020"
"Yemen","null","46","2020"
"Turkmenistan","null","47","2020"
"Eritrea","null","48","2020"
"South Sudan","null","49","2020"
"Venezuela (Bolivarian Republic of)","null","50","2020"
"Bonaire","null","51","2020"
"Sint Maarten (Dutch part)","null","52","2020"
"Faroe Islands","null","200","2020"
"United States Minor Outlying Islands","null","201","2020"
"Serranilla Bank","null","202","2020"
"Scarborough Reef","null","203","2020"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2020"
"Spratly Islands","null","205","2020"
"American Samoa","null","206","2020"
"Greenland","null","207","2020"
"Guam","null","208","2020"
"Northern Mariana Islands","null","209","2020"
"Puerto Rico","null","210","2020"
"United States Virgin Islands","null","211","2020"
"Somaliland","null","212","2020"
"Northern Cyprus","null","213","2020"
"Cyprus No Mans Area","null","214","2020"
"Western Sahara","null","215","2020"
"Siachen Glacier","null","216","2020"
"Kosovo","null","217","2020"
