"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Tonga","143.94","1","2007"
"Qatar","134.65","2","2007"
"Malawi","133.84","3","2007"
"Estonia","131.96","4","2007"
"Eritrea","129.46","5","2007"
"Paraguay","127.7","6","2007"
"Cambodia","124.28","7","2007"
"Kazakhstan","123.79","8","2007"
"Kuwait","121.87","9","2007"
"Yemen","121.82","10","2007"
"Afghanistan","121.25","11","2007"
"Niger (the)","120.87","12","2007"
"Angola","120.54","13","2007"
"Argentina","117.67","14","2007"
"Cameroon","117.21","15","2007"
"Latvia","117.06","16","2007"
"India","116.23","17","2007"
"Myanmar","116.23","18","2007"
"Iran (Islamic Republic of)","116.06","19","2007"
"Guatemala","115.96","20","2007"
"Armenia","115.7","21","2007"
"Kiribati","114.95","22","2007"
"Haiti","114.51","23","2007"
"Bhutan","114.5","24","2007"
"Liberia","113.75","25","2007"
"Mongolia","113.28","26","2007"
"Bangladesh","113.06","27","2007"
"Solomon Islands","112.98","28","2007"
"Trinidad and Tobago","112.79","29","2007"
"Lao People's Democratic Republic (the)","112.62","30","2007"
"Brazil","112.28","31","2007"
"Bahrain","111.03","32","2007"
"Suriname","110.7","33","2007"
"Thailand","110.32","34","2007"
"Indonesia","109.79","35","2007"
"Cabo Verde","109.68","36","2007"
"Papua New Guinea","109.56","37","2007"
"Uzbekistan","109.29","38","2007"
"Bahamas (the)","109.29","39","2007"
"Tanzania, the United Republic of","109.09","40","2007"
"Kenya","109.06","41","2007"
"Panama","108.93","42","2007"
"Philippines (the)","108.43","43","2007"
"Mauritania","108.29","44","2007"
"Madagascar","108.17","45","2007"
"Egypt","108.12","46","2007"
"China","108.03","47","2007"
"Saint Vincent and the Grenadines","107.98","48","2007"
"Ethiopia","107.95","49","2007"
"Comoros (the)","107.92","50","2007"
"Lithuania","107.76","51","2007"
"Honduras","107.76","52","2007"
"Peru","107.68","53","2007"
"Uruguay","107.68","54","2007"
"Congo (the)","107.31","55","2007"
"Chad","107.17","56","2007"
"Mozambique","107.1","57","2007"
"Viet Nam","107.04","58","2007"
"Iceland","106.92","59","2007"
"Costa Rica","106.81","60","2007"
"Dominica","106.7","61","2007"
"Guinea","106.53","62","2007"
"Central African Republic (the)","106.04","63","2007"
"Russian Federation (the)","105.93","64","2007"
"Equatorial Guinea","105.84","65","2007"
"New Zealand","105.62","66","2007"
"Rwanda","105.5","67","2007"
"Mexico","105.37","68","2007"
"World","105.32","","2007"
"Gabon","105.31","69","2007"
"El Salvador","105.29","70","2007"
"Venezuela (Bolivarian Republic of)","105.29","71","2007"
"Switzerland","105.25","72","2007"
"Dominican Republic (the)","105.09","73","2007"
"Guinea-Bissau","104.96","74","2007"
"Belarus","104.65","75","2007"
"Tunisia","104.57","76","2007"
"Jamaica","104.56","77","2007"
"Finland","104.45","78","2007"
"Colombia","104.43","79","2007"
"Mali","104.07","80","2007"
"Nicaragua","104.04","81","2007"
"Bolivia (Plurinational State of)","103.79","82","2007"
"Tuvalu","103.75","83","2007"
"Malaysia","103.73","84","2007"
"Libya","103.73","85","2007"
"Sri Lanka","103.32","86","2007"
"Djibouti","103.32","87","2007"
"Zambia","103.23","88","2007"
"Tajikistan","103.18","89","2007"
"Togo","103.17","90","2007"
"Oman","103.12","91","2007"
"Azerbaijan","103.01","92","2007"
"Ecuador","102.92","93","2007"
"Nauru","102.89","94","2007"
"United States of America (the)","102.82","95","2007"
"Sudan (the)","102.45","96","2007"
"Pakistan","102.4","97","2007"
"Spain","102.26","98","2007"
"Zimbabwe","102.26","99","2007"
"Namibia","102.23","100","2007"
"Sao Tome and Principe","102.23","101","2007"
"Albania","102.15","102","2007"
"Antigua and Barbuda","101.84","103","2007"
"Vanuatu","101.62","104","2007"
"Uganda","101.54","105","2007"
"Congo (the Democratic Republic of the)","101.53","106","2007"
"Croatia","100.62","107","2007"
"Austria","100.5","108","2007"
"Iraq","100.23","109","2007"
"Kyrgyzstan","100.17","110","2007"
