"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","67.31","1","2001"
"United Arab Emirates (the)","30.7","2","2001"
"Kuwait","27.4","3","2001"
"Trinidad and Tobago","20.72","4","2001"
"Bahrain","20.21","5","2001"
"Luxembourg","19.93","6","2001"
"United States of America (the)","19.63","7","2001"
"Canada","17.01","8","2001"
"Australia","16.73","9","2001"
"Saudi Arabia","14.01","10","2001"
"Brunei Darussalam","13.25","11","2001"
"Czechia","12.1","12","2001"
"Singapore","11.97","13","2001"
"Ireland","11.38","14","2001"
"Estonia","11.21","15","2001"
"Palau","11.16","16","2001"
"Belgium","11.13","17","2001"
"Netherlands (the)","11.05","18","2001"
"Finland","10.9","19","2001"
"Russian Federation (the)","10.66","20","2001"
"Germany","10.36","21","2001"
"Denmark","9.87","22","2001"
"Israel","9.87","23","2001"
"Korea (the Republic of)","9.5","24","2001"
"Japan","9.44","25","2001"
"Norway","9.28","26","2001"
"United Kingdom","9.23","27","2001"
"Kazakhstan","8.87","28","2001"
"New Zealand","8.87","29","2001"
"Oman","8.83","30","2001"
"Libya","8.83","31","2001"
"Greece","8.63","32","2001"
"Turkmenistan","8.34","33","2001"
"Austria","8.19","34","2001"
"South Africa","8.16","35","2001"
"Italy","7.9","36","2001"
"Nauru","7.89","37","2001"
"Poland","7.87","38","2001"
"Seychelles","7.81","39","2001"
"Andorra","7.78","40","2001"
"Slovenia","7.61","41","2001"
"Iceland","7.37","42","2001"
"Slovakia","7.31","43","2001"
"Spain","7.29","44","2001"
"Cyprus","7.16","45","2001"
"Venezuela (Bolivarian Republic of)","7","46","2001"
"Equatorial Guinea","6.86","47","2001"
"Ukraine","6.61","48","2001"
"Malta","6.32","49","2001"
"Bahamas (the)","6.17","50","2001"
"France","6.15","51","2001"
"Portugal","6.05","52","2001"
"Iran (Islamic Republic of)","5.99","53","2001"
"Switzerland","5.94","54","2001"
"North Macedonia","5.87","55","2001"
"Bulgaria","5.8","56","2001"
"Sweden","5.74","57","2001"
"Malaysia","5.72","58","2001"
"Hungary","5.59","59","2001"
"Belarus","5.31","60","2001"
"Suriname","4.97","61","2001"
"Uzbekistan","4.94","62","2001"
"Croatia","4.74","63","2001"
"Antigua and Barbuda","4.51","64","2001"
"Romania","4.36","65","2001"
"Barbados","4.36","66","2001"
"Mexico","4.11","67","2001"
"Lebanon","4.05","68","2001"
"Jamaica","3.96","69","2001"
"Saint Kitts and Nevis","3.94","70","2001"
"Gabon","3.81","71","2001"
"Lithuania","3.71","72","2001"
"Argentina","3.58","73","2001"
"Bosnia and Herzegovina","3.55","74","2001"
"Azerbaijan","3.54","75","2001"
"Iraq","3.52","76","2001"
"Chile","3.43","77","2001"
"Mongolia","3.25","78","2001"
"Korea (the Democratic People's Republic of)","3.12","79","2001"
"Jordan","3.06","80","2001"
"Turkey","3.03","81","2001"
"Latvia","2.98","82","2001"
"Syrian Arab Republic (the)","2.9","83","2001"
"Thailand","2.9","84","2001"
"China","2.74","85","2001"
"Algeria","2.67","86","2001"
"Mauritius","2.39","87","2001"
"Dominican Republic (the)","2.3","88","2001"
"Botswana","2.29","89","2001"
"Cuba","2.27","90","2001"
"Panama","2.26","91","2001"
"Saint Lucia","2.2","92","2001"
"Guyana","2.14","93","2001"
"Tunisia","2.12","94","2001"
"Marshall Islands (the)","1.99","95","2001"
"Brazil","1.9","96","2001"
"Grenada","1.88","97","2001"
"Egypt","1.78","98","2001"
"Ecuador","1.78","99","2001"
"Belize","1.75","100","2001"
"Saint Vincent and the Grenadines","1.66","101","2001"
"Maldives","1.61","102","2001"
"Dominica","1.57","103","2001"
"Micronesia (Federated States of)","1.57","104","2001"
"Uruguay","1.53","105","2001"
"Costa Rica","1.42","106","2001"
"Colombia","1.39","107","2001"
"Indonesia","1.37","108","2001"
"Morocco","1.29","109","2001"
"Fiji","1.29","110","2001"
"Moldova (the Republic of)","1.27","111","2001"
"Armenia","1.16","112","2001"
"Eswatini","1.13","113","2001"
"Namibia","1.1","114","2001"
"Albania","1.05","115","2001"
"Zimbabwe","1.05","116","2001"
"Peru","1.01","117","2001"
"El Salvador","1","118","2001"
"Bolivia (Plurinational State of)","1","119","2001"
"India","0.96","120","2001"
"Georgia","0.93","121","2001"
"Lesotho","0.92","122","2001"
"Yemen","0.9","123","2001"
