"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Philippines (the)","0.89","124","2001"
"Tonga","0.89","125","2001"
"Guatemala","0.87","126","2001"
"Honduras","0.84","127","2001"
"Samoa","0.83","128","2001"
"Kyrgyzstan","0.78","129","2001"
"Nicaragua","0.77","130","2001"
"Tuvalu","0.77","131","2001"
"Viet Nam","0.75","132","2001"
"Pakistan","0.74","133","2001"
"Paraguay","0.7","134","2001"
"Nigeria","0.69","135","2001"
"Bhutan","0.63","136","2001"
"Angola","0.57","137","2001"
"Sri Lanka","0.55","138","2001"
"Cabo Verde","0.53","139","2001"
"Papua New Guinea","0.53","140","2001"
"Djibouti","0.5","141","2001"
"Mauritania","0.47","142","2001"
"Vanuatu","0.46","143","2001"
"Palestine, State of","0.45","144","2001"
"Côte d'Ivoire","0.45","145","2001"
"Senegal","0.43","146","2001"
"Solomon Islands","0.37","147","2001"
"Tajikistan","0.36","148","2001"
"Ghana","0.35","149","2001"
"Sao Tome and Principe","0.35","150","2001"
"Kiribati","0.34","151","2001"
"Kenya","0.28","152","2001"
"Eritrea","0.26","153","2001"
"Bangladesh","0.25","154","2001"
"Benin","0.25","155","2001"
"Congo (the)","0.23","156","2001"
"Gambia (the)","0.22","157","2001"
"Togo","0.22","158","2001"
"Cameroon","0.21","159","2001"
"Guinea","0.2","160","2001"
"Lao People's Democratic Republic (the)","0.19","161","2001"
"Myanmar","0.18","162","2001"
"Cambodia","0.18","163","2001"
"Comoros (the)","0.18","164","2001"
"Haiti","0.18","165","2001"
"Sudan (the)","0.17","166","2001"
"Zambia","0.17","167","2001"
"Liberia","0.15","168","2001"
"Nepal","0.13","169","2001"
"Guinea-Bissau","0.12","170","2001"
"Sierra Leone","0.11","171","2001"
"Madagascar","0.1","172","2001"
"Tanzania, the United Republic of","0.09","173","2001"
"Burkina Faso","0.08","174","2001"
"Mozambique","0.08","175","2001"
"Malawi","0.07","176","2001"
"Mali","0.07","177","2001"
"Ethiopia","0.06","178","2001"
"Central African Republic (the)","0.06","179","2001"
"Uganda","0.06","180","2001"
"Rwanda","0.06","181","2001"
"Somalia","0.05","182","2001"
"Niger (the)","0.05","183","2001"
"Chad","0.05","184","2001"
"Afghanistan","0.03","185","2001"
"Burundi","0.03","186","2001"
"Congo (the Democratic Republic of the)","0.01","187","2001"
"World","0","","2001"
"Liechtenstein","null","188","2001"
"Montenegro","null","189","2001"
"Serbia","null","190","2001"
"San Marino","null","191","2001"
"Holy See (the)","null","192","2001"
"Monaco","null","193","2001"
"Taiwan","null","194","2001"
"Timor-Leste","null","195","2001"
"South Sudan","null","196","2001"
"Bonaire","null","197","2001"
"Curaçao","null","198","2001"
"Sint Maarten (Dutch part)","null","199","2001"
"Faroe Islands","null","200","2001"
"United States Minor Outlying Islands","null","201","2001"
"Serranilla Bank","null","202","2001"
"Scarborough Reef","null","203","2001"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2001"
"Spratly Islands","null","205","2001"
"American Samoa","null","206","2001"
"Greenland","null","207","2001"
"Guam","null","208","2001"
"Northern Mariana Islands","null","209","2001"
"Puerto Rico","null","210","2001"
"United States Virgin Islands","null","211","2001"
"Somaliland","null","212","2001"
"Northern Cyprus","null","213","2001"
"Cyprus No Mans Area","null","214","2001"
"Western Sahara","null","215","2001"
"Siachen Glacier","null","216","2001"
"Kosovo","null","217","2001"
