"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Mongolia","202.94","1","2010"
"Niger (the)","181.41","2","2010"
"Angola","181.21","3","2010"
"Chad","176","4","2010"
"Senegal","165.18","5","2010"
"Zambia","163.49","6","2010"
"Cambodia","160.84","7","2010"
"Mozambique","159.9","8","2010"
"Malawi","156.44","9","2010"
"Sierra Leone","145.37","10","2010"
"Cameroon","145.28","11","2010"
"Gambia (the)","145.03","12","2010"
"Paraguay","145","13","2010"
"Mauritania","143.47","14","2010"
"Uruguay","142.11","15","2010"
"Haiti","141.46","16","2010"
"Tonga","140.56","17","2010"
"Rwanda","140.47","18","2010"
"Albania","140.38","19","2010"
"Ethiopia","138.25","20","2010"
"Lao People's Democratic Republic (the)","137.56","21","2010"
"Algeria","137.53","22","2010"
"Suriname","136.71","23","2010"
"Vanuatu","136.66","24","2010"
"Yemen","133.9","25","2010"
"Kuwait","133.43","26","2010"
"Bahamas (the)","132.22","27","2010"
"Lesotho","131.09","28","2010"
"Guinea-Bissau","131","29","2010"
"Bangladesh","130.52","30","2010"
"Tanzania, the United Republic of","130.31","31","2010"
"Myanmar","128.78","32","2010"
"Timor-Leste","128.38","33","2010"
"Oman","128.31","34","2010"
"Ghana","127.65","35","2010"
"Guatemala","126.76","36","2010"
"Brazil","126.68","37","2010"
"Peru","125.62","38","2010"
"Afghanistan","125.37","39","2010"
"Qatar","125.31","40","2010"
"Kenya","124.95","41","2010"
"India","124.9","42","2010"
"Sri Lanka","124.57","43","2010"
"Uzbekistan","124.4","44","2010"
"Madagascar","124.17","45","2010"
"Morocco","124.12","46","2010"
"Burkina Faso","124.01","47","2010"
"Indonesia","123.65","48","2010"
"Mali","122.82","49","2010"
"Dominican Republic (the)","122.75","50","2010"
"Ecuador","122.73","51","2010"
"Togo","121.85","52","2010"
"Tajikistan","120.54","53","2010"
"China","120.48","54","2010"
"Jordan","120.04","55","2010"
"Saint Vincent and the Grenadines","119.73","56","2010"
"Benin","119.62","57","2010"
"Botswana","119.4","58","2010"
"Singapore","118.78","59","2010"
"Argentina","118.64","60","2010"
"Guinea","117.39","61","2010"
"Honduras","115.87","62","2010"
"Viet Nam","115.01","63","2010"
"North Macedonia","114.76","64","2010"
"Croatia","114.62","65","2010"
"Bolivia (Plurinational State of)","114.62","66","2010"
"Congo (the)","114.56","67","2010"
"Papua New Guinea","114.4","68","2010"
"Estonia","114.2","69","2010"
"New Zealand","113.9","70","2010"
"Gabon","113.81","71","2010"
"World","113.55","","2010"
"Nepal","113.43","72","2010"
"Djibouti","112.78","73","2010"
"Bulgaria","112.62","74","2010"
"Ukraine","112.6","75","2010"
"Marshall Islands (the)","111.93","76","2010"
"Solomon Islands","111.15","77","2010"
"Thailand","111.1","78","2010"
"Central African Republic (the)","111.01","79","2010"
"Philippines (the)","110.2","80","2010"
"Antigua and Barbuda","109.82","81","2010"
"Costa Rica","109.68","82","2010"
"Belarus","109.03","83","2010"
"Libya","108.87","84","2010"
"Equatorial Guinea","108.62","85","2010"
"Samoa","108.59","86","2010"
"Dominica","108.43","87","2010"
"Bahrain","108.31","88","2010"
"Iceland","108.18","89","2010"
"Canada","108.06","90","2010"
"South Africa","107.73","91","2010"
"Nicaragua","107.7","92","2010"
"Burundi","107.4","93","2010"
"Chile","107.4","94","2010"
"Guyana","107.34","95","2010"
"Malaysia","107.14","96","2010"
"Mexico","106.95","97","2010"
"Nauru","106.81","98","2010"
"El Salvador","106.67","99","2010"
"Lithuania","106.12","100","2010"
"Côte d'Ivoire","105.98","101","2010"
"United States of America (the)","105.92","102","2010"
"Spain","105.54","103","2010"
"Namibia","105.54","104","2010"
"Somalia","105.4","105","2010"
"Comoros (the)","105.26","106","2010"
"Turkey","105.23","107","2010"
"Eswatini","105.18","108","2010"
"Netherlands (the)","104.85","109","2010"
"Tunisia","104.71","110","2010"
"Nigeria","104.48","111","2010"
"Congo (the Democratic Republic of the)","104.32","112","2010"
"Portugal","104.28","113","2010"
"Sao Tome and Principe","104.09","114","2010"
"Tuvalu","103.79","115","2010"
"Egypt","103.7","116","2010"
"Latvia","103.65","117","2010"
"Serbia","102.54","118","2010"
"Iraq","102.43","119","2010"
"United Kingdom","101.68","120","2010"
"Iran (Islamic Republic of)","101.59","121","2010"
"Malta","101.14","122","2010"
"Kyrgyzstan","101","123","2010"
"Lebanon","100.78","124","2010"
"Azerbaijan","100.75","125","2010"
"Venezuela (Bolivarian Republic of)","100.73","126","2010"
"Liechtenstein","100.4","127","2010"
"Pakistan","100.09","128","2010"
"Denmark","99.9","129","2010"
"Liberia","99.89","130","2010"
