"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","51.93","1","2007"
"Trinidad and Tobago","34.75","2","2007"
"Kuwait","30.04","3","2007"
"Bahrain","25.91","4","2007"
"Luxembourg","22.95","5","2007"
"Brunei Darussalam","22.44","6","2007"
"United Arab Emirates (the)","21.97","7","2007"
"United States of America (the)","19.21","8","2007"
"Australia","17.86","9","2007"
"Canada","17.38","10","2007"
"Oman","16.63","11","2007"
"Saudi Arabia","15.39","12","2007"
"Kazakhstan","14.35","13","2007"
"Estonia","13.69","14","2007"
"Palau","13.2","15","2007"
"Finland","12.05","16","2007"
"Czechia","11.97","17","2007"
"Russian Federation (the)","11.67","18","2007"
"Turkmenistan","11.5","19","2007"
"Netherlands (the)","10.83","20","2007"
"Korea (the Republic of)","10.18","21","2007"
"Ireland","10.1","22","2007"
"Japan","9.77","23","2007"
"Belgium","9.75","24","2007"
"Norway","9.57","25","2007"
"Equatorial Guinea","9.57","26","2007"
"Germany","9.49","27","2007"
"South Africa","9.49","28","2007"
"Denmark","9.21","29","2007"
"Greece","8.89","30","2007"
"Israel","8.78","31","2007"
"United Kingdom","8.61","32","2007"
"Austria","8.36","33","2007"
"Libya","8.36","34","2007"
"Poland","8.24","35","2007"
"Serbia","8.1","36","2007"
"Slovenia","8.04","37","2007"
"New Zealand","7.96","38","2007"
"Spain","7.92","39","2007"
"Italy","7.91","40","2007"
"Cyprus","7.7","41","2007"
"Seychelles","7.54","42","2007"
"Iceland","7.41","43","2007"
"Iran (Islamic Republic of)","7.27","44","2007"
"Bulgaria","6.92","45","2007"
"Malaysia","6.91","46","2007"
"Ukraine","6.9","47","2007"
"Slovakia","6.84","48","2007"
"Malta","6.69","49","2007"
"Andorra","6.51","50","2007"
"Belarus","6.33","51","2007"
"Venezuela (Bolivarian Republic of)","5.94","52","2007"
"France","5.76","53","2007"
"Portugal","5.7","54","2007"
"Antigua and Barbuda","5.58","55","2007"
"Hungary","5.56","56","2007"
"Croatia","5.52","57","2007"
"Bahamas (the)","5.32","58","2007"
"Sweden","5.25","59","2007"
"China","5.08","60","2007"
"Switzerland","5.04","61","2007"
"Romania","4.89","62","2007"
"Barbados","4.88","63","2007"
"Lithuania","4.69","64","2007"
"Bosnia and Herzegovina","4.69","65","2007"
"Mongolia","4.65","66","2007"
"North Macedonia","4.59","67","2007"
"Saint Kitts and Nevis","4.52","68","2007"
"Uzbekistan","4.47","69","2007"
"Nauru","4.47","70","2007"
"Argentina","4.41","71","2007"
