"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Lao People's Democratic Republic (the)","231.59","1","2015"
"Estonia","225.41","2","2015"
"Mauritania","219.03","3","2015"
"Lithuania","216.03","4","2015"
"Niger (the)","213.59","5","2015"
"Tanzania, the United Republic of","200.65","6","2015"
"Cambodia","199.91","7","2015"
"Latvia","196.96","8","2015"
"Ethiopia","195.78","9","2015"
"Angola","193.88","10","2015"
"Uruguay","183.75","11","2015"
"Haiti","177.46","12","2015"
"Paraguay","177.4","13","2015"
"Senegal","176.58","14","2015"
"Kuwait","173.77","15","2015"
"Albania","173.61","16","2015"
"Cameroon","172.49","17","2015"
"Mali","171.71","18","2015"
"Zambia","170.18","19","2015"
"Sierra Leone","167.87","20","2015"
"Mongolia","165.96","21","2015"
"Guatemala","164.86","22","2015"
"Dominican Republic (the)","163.96","23","2015"
"Uzbekistan","162.88","24","2015"
"Chad","160.69","25","2015"
"Ukraine","159.31","26","2015"
"Tajikistan","157.43","27","2015"
"Bolivia (Plurinational State of)","155.43","28","2015"
"Algeria","152.18","29","2015"
"Ghana","152.09","30","2015"
"Suriname","151.97","31","2015"
"Rwanda","151.66","32","2015"
"Kazakhstan","151.06","33","2015"
"Benin","150.96","34","2015"
"Oman","148.56","35","2015"
"Brazil","148.49","36","2015"
"Jordan","147.05","37","2015"
"Tunisia","146.5","38","2015"
"Armenia","145.31","39","2015"
"Guyana","144.86","40","2015"
"Guinea-Bissau","144.78","41","2015"
"Tonga","144.65","42","2015"
"Malawi","144.37","43","2015"
"Peru","143.81","44","2015"
"Russian Federation (the)","143.75","45","2015"
"Argentina","143.53","46","2015"
"Grenada","143.49","47","2015"
"Bangladesh","142.78","48","2015"
"Indonesia","142.31","49","2015"
"Mozambique","142.28","50","2015"
"Togo","141.56","51","2015"
"China","141.21","52","2015"
"Bahamas (the)","141.21","53","2015"
"India","139.61","54","2015"
"Nepal","139.02","55","2015"
"Morocco","138.71","56","2015"
"Burkina Faso","138.12","57","2015"
"Viet Nam","138.05","58","2015"
"Kenya","137.59","59","2015"
"Afghanistan","137.03","60","2015"
"Micronesia (Federated States of)","136.21","61","2015"
"Canada","135.91","62","2015"
"Singapore","134.99","63","2015"
"Qatar","133.22","64","2015"
"Guinea","131.11","65","2015"
"Côte d'Ivoire","129.53","66","2015"
"Sri Lanka","129.34","67","2015"
"Honduras","128.74","68","2015"
"Djibouti","127.4","69","2015"
"Vanuatu","126.56","70","2015"
"Portugal","126.21","71","2015"
"Sweden","125.73","72","2015"
"Gabon","125.26","73","2015"
"North Macedonia","125.18","74","2015"
"Costa Rica","124.98","75","2015"
"Nicaragua","124.85","76","2015"
"Botswana","124.18","77","2015"
"Myanmar","124.12","78","2015"
"Congo (the)","124.03","79","2015"
"Mexico","123.81","80","2015"
"Bulgaria","123.43","81","2015"
"Ecuador","122.67","82","2015"
"Papua New Guinea","122.65","83","2015"
"New Zealand","122.18","84","2015"
"Azerbaijan","120.98","85","2015"
"Samoa","120.54","86","2015"
"Nigeria","120.14","87","2015"
"Egypt","119.96","88","2015"
"Thailand","119.53","89","2015"
"Namibia","118.48","90","2015"
"Turkey","117.93","91","2015"
"Croatia","117.6","92","2015"
"Malaysia","117.12","93","2015"
"Colombia","116.93","94","2015"
"Solomon Islands","116.81","95","2015"
"Pakistan","116.15","96","2015"
"Yemen","116.15","97","2015"
"Libya","115.87","98","2015"
"Denmark","115.62","99","2015"
"Madagascar","115.51","100","2015"
"Nauru","114.98","101","2015"
"Equatorial Guinea","114.95","102","2015"
"Kyrgyzstan","114.37","103","2015"
"Dominica","114.31","104","2015"
"United States of America (the)","114.12","105","2015"
