"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","58.88","1","2005"
"Kuwait","31.51","2","2005"
"Trinidad and Tobago","29.42","3","2005"
"United Arab Emirates (the)","25.29","4","2005"
"Luxembourg","24.82","5","2005"
"Bahrain","22.35","6","2005"
"United States of America (the)","19.59","7","2005"
"Canada","17.41","8","2005"
"Australia","17.16","9","2005"
"Saudi Arabia","16.69","10","2005"
"Brunei Darussalam","13.7","11","2005"
"Estonia","12.36","12","2005"
"Oman","11.9","13","2005"
"Czechia","11.76","14","2005"
"Kazakhstan","11.7","15","2005"
"Russian Federation (the)","11.25","16","2005"
"Netherlands (the)","11.14","17","2005"
"Palau","11.12","18","2005"
"Finland","10.44","19","2005"
"Ireland","10.44","20","2005"
"Belgium","10.35","21","2005"
"Turkmenistan","10.16","22","2005"
"Equatorial Guinea","10.04","23","2005"
"Japan","9.71","24","2005"
"Germany","9.67","25","2005"
"Korea (the Republic of)","9.6","26","2005"
"Norway","9.17","27","2005"
"Greece","8.98","28","2005"
"United Kingdom","8.98","29","2005"
"Libya","8.98","30","2005"
"Austria","8.97","31","2005"
"South Africa","8.7","32","2005"
"Denmark","8.68","33","2005"
"Seychelles","8.32","34","2005"
"New Zealand","8.25","35","2005"
"Israel","8.21","36","2005"
"Italy","8.16","37","2005"
"Spain","8.09","38","2005"
"Slovenia","7.93","39","2005"
"Poland","7.92","40","2005"
"Iceland","7.51","41","2005"
"Slovakia","7.32","42","2005"
"Cyprus","7.3","43","2005"
"Andorra","7.29","44","2005"
"Malaysia","7.13","45","2005"
"Singapore","7.11","46","2005"
"Ukraine","7.08","47","2005"
"Iran (Islamic Republic of)","6.72","48","2005"
"Malta","6.68","49","2005"
"Nauru","6.32","50","2005"
"Bulgaria","6.25","51","2005"
"Portugal","6.21","52","2005"
"Venezuela (Bolivarian Republic of)","6.21","53","2005"
"Belarus","6.12","54","2005"
"France","6.09","55","2005"
"Hungary","5.75","56","2005"
"Sweden","5.71","57","2005"
"Bahamas (the)","5.63","58","2005"
"Switzerland","5.57","59","2005"
"North Macedonia","5.47","60","2005"
"Antigua and Barbuda","5.26","61","2005"
"Croatia","5.24","62","2005"
"Barbados","4.83","63","2005"
"Romania","4.52","64","2005"
"China","4.52","65","2005"
"Uzbekistan","4.48","66","2005"
"Mexico","4.39","67","2005"
"Bosnia and Herzegovina","4.3","68","2005"
"Saint Kitts and Nevis","4.22","69","2005"
"Iraq","4.21","70","2005"
"Lithuania","4.18","71","2005"
"Argentina","4.16","72","2005"
"Azerbaijan","4.09","73","2005"
"Jamaica","3.83","74","2005"
"Chile","3.82","75","2005"
"Jordan","3.65","76","2005"
"Gabon","3.51","77","2005"
"Turkey","3.49","78","2005"
"Thailand","3.47","79","2005"
"Lebanon","3.44","80","2005"
"Mongolia","3.38","81","2005"
"Latvia","3.35","82","2005"
"Montenegro","3.34","83","2005"
"Algeria","3.23","84","2005"
"Suriname","3.19","85","2005"
"Korea (the Democratic People's Republic of)","3.16","86","2005"
"Syrian Arab Republic (the)","2.75","87","2005"
"Mauritius","2.68","88","2005"
"Cuba","2.3","89","2005"
"Botswana","2.27","90","2005"
"Tunisia","2.24","91","2005"
"Saint Lucia","2.24","92","2005"
"Egypt","2.21","93","2005"
"Ecuador","2.18","94","2005"
"Grenada","2.06","95","2005"
"Panama","2.05","96","2005"
"Marshall Islands (the)","2.05","97","2005"
"Dominican Republic (the)","2.04","98","2005"
"Dominica","2.02","99","2005"
"Saint Vincent and the Grenadines","2.02","100","2005"
"Guyana","1.92","101","2005"
"Maldives","1.88","102","2005"
"Brazil","1.86","103","2005"
"Uruguay","1.73","104","2005"
"Moldova (the Republic of)","1.69","105","2005"
"Costa Rica","1.6","106","2005"
"Indonesia","1.51","107","2005"
"Morocco","1.5","108","2005"
"Belize","1.48","109","2005"
"Armenia","1.45","110","2005"
"Colombia","1.42","111","2005"
"Albania","1.41","112","2005"
"Peru","1.33","113","2005"
"Fiji","1.33","114","2005"
"Bolivia (Plurinational State of)","1.31","115","2005"
"Georgia","1.29","116","2005"
"Namibia","1.19","117","2005"
"Viet Nam","1.17","118","2005"
"Micronesia (Federated States of)","1.14","119","2005"
"Tonga","1.12","120","2005"
"Tuvalu","1.1","121","2005"
"Kyrgyzstan","1.08","122","2005"
"India","1.06","123","2005"
"El Salvador","1.05","124","2005"
"Honduras","1.01","125","2005"
"Lesotho","1","126","2005"
"Yemen","0.99","127","2005"
"Eswatini","0.99","128","2005"
"Angola","0.98","129","2005"
"Cabo Verde","0.95","130","2005"
"Guatemala","0.95","131","2005"
"Zimbabwe","0.89","132","2005"
"Samoa","0.89","133","2005"
"Philippines (the)","0.86","134","2005"
"Pakistan","0.85","135","2005"
"Palestine, State of","0.82","136","2005"
"Nicaragua","0.79","137","2005"
"Nigeria","0.76","138","2005"
"Papua New Guinea","0.67","139","2005"
"Paraguay","0.65","140","2005"
"Kiribati","0.63","141","2005"
"Bhutan","0.61","142","2005"
"Sri Lanka","0.61","143","2005"
"Mauritania","0.52","144","2005"
"Senegal","0.52","145","2005"
"Djibouti","0.52","146","2005"
"Sao Tome and Principe","0.48","147","2005"
"Côte d'Ivoire","0.42","148","2005"
"Tajikistan","0.35","149","2005"
"Solomon Islands","0.34","150","2005"
"Ghana","0.32","151","2005"
"Benin","0.29","152","2005"
"Bangladesh","0.28","153","2005"
"Vanuatu","0.28","154","2005"
"Eritrea","0.27","155","2005"
"Congo (the)","0.27","156","2005"
"Sudan (the)","0.27","157","2005"
"Myanmar","0.23","158","2005"
"Lao People's Democratic Republic (the)","0.23","159","2005"
"Kenya","0.23","160","2005"
"Togo","0.23","161","2005"
"Comoros (the)","0.22","162","2005"
"Haiti","0.22","163","2005"
"Gambia (the)","0.21","164","2005"
"Cambodia","0.2","165","2005"
"Liberia","0.2","166","2005"
"Cameroon","0.2","167","2005"
"Guinea","0.2","168","2005"
"Zambia","0.19","169","2005"
"Timor-Leste","0.17","170","2005"
"Guinea-Bissau","0.15","171","2005"
"Tanzania, the United Republic of","0.14","172","2005"
"Nepal","0.11","173","2005"
"Madagascar","0.09","174","2005"
"Sierra Leone","0.09","175","2005"
"Burkina Faso","0.08","176","2005"
"Mozambique","0.08","177","2005"
"Malawi","0.07","178","2005"
"Mali","0.07","179","2005"
"Uganda","0.07","180","2005"
"Chad","0.07","181","2005"
"Ethiopia","0.06","182","2005"
"Afghanistan","0.05","183","2005"
"Somalia","0.05","184","2005"
"Central African Republic (the)","0.05","185","2005"
"Niger (the)","0.05","186","2005"
"Rwanda","0.05","187","2005"
"Congo (the Democratic Republic of the)","0.02","188","2005"
"Burundi","0.02","189","2005"
"World","0","","2005"
"Liechtenstein","null","190","2005"
"Serbia","null","191","2005"
"San Marino","null","192","2005"
"Holy See (the)","null","193","2005"
"Monaco","null","194","2005"
"Taiwan","null","195","2005"
"South Sudan","null","196","2005"
"Bonaire","null","197","2005"
"Curaçao","null","198","2005"
"Sint Maarten (Dutch part)","null","199","2005"
"Faroe Islands","null","200","2005"
"United States Minor Outlying Islands","null","201","2005"
"Serranilla Bank","null","202","2005"
"Scarborough Reef","null","203","2005"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2005"
"Spratly Islands","null","205","2005"
"American Samoa","null","206","2005"
"Greenland","null","207","2005"
"Guam","null","208","2005"
"Northern Mariana Islands","null","209","2005"
"Puerto Rico","null","210","2005"
"United States Virgin Islands","null","211","2005"
"Somaliland","null","212","2005"
"Northern Cyprus","null","213","2005"
"Cyprus No Mans Area","null","214","2005"
"Western Sahara","null","215","2005"
"Siachen Glacier","null","216","2005"
"Kosovo","null","217","2005"
"Faroe Islands","null","218","2005"
"United States Minor Outlying Islands","null","219","2005"
"Serranilla Bank","null","220","2005"
"Scarborough Reef","null","221","2005"
"Bajo Nuevo Bank (Petrel Is.)","null","222","2005"
"Spratly Islands","null","223","2005"
"American Samoa","null","224","2005"
"Greenland","null","225","2005"
"Guam","null","226","2005"
"Northern Mariana Islands","null","227","2005"
"Puerto Rico","null","228","2005"
"United States Virgin Islands","null","229","2005"
"Somaliland","null","230","2005"
"Northern Cyprus","null","231","2005"
"Cyprus No Mans Area","null","232","2005"
"Western Sahara","null","233","2005"
"Siachen Glacier","null","234","2005"
"Kosovo","null","235","2005"
