"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Grenada","156.09","1","2018"
"Romania","139.08","2","2018"
"Guyana","130.38","3","2018"
"Moldova (the Republic of)","128.93","4","2018"
"Sudan (the)","128.49","5","2018"
"Oman","127.95","6","2018"
"Bosnia and Herzegovina","127.78","7","2018"
"Mali","123.7","8","2018"
"Niger (the)","121.62","9","2018"
"Lesotho","120.43","10","2018"
"Burundi","120.4","11","2018"
"Honduras","120.29","12","2018"
"Qatar","119.12","13","2018"
"Azerbaijan","118.78","14","2018"
"Saudi Arabia","118.17","15","2018"
"Spain","118.14","16","2018"
"Kazakhstan","117.84","17","2018"
"Morocco","116.43","18","2018"
"Nicaragua","115.75","19","2018"
"Guinea","115.67","20","2018"
"Barbados","113.2","21","2018"
"Dominican Republic (the)","113.15","22","2018"
"Peru","112.75","23","2018"
"Ghana","112.56","24","2018"
"Tajikistan","112.37","25","2018"
"Malawi","112.12","26","2018"
"Sri Lanka","111.84","27","2018"
"Mexico","111.84","28","2018"
"Paraguay","111.48","29","2018"
"Namibia","111.45","30","2018"
"Ukraine","111.1","31","2018"
"Chad","110.62","32","2018"
"Montenegro","110.5","33","2018"
"South Africa","110.35","34","2018"
"Côte d'Ivoire","109.76","35","2018"
"Gambia (the)","109.71","36","2018"
"Kyrgyzstan","109.7","37","2018"
"Mongolia","109.62","38","2018"
"India","109.45","39","2018"
"Central African Republic (the)","109.26","40","2018"
"Brazil","109.09","41","2018"
"Indonesia","109.06","42","2018"
"Bangladesh","108.96","43","2018"
"Benin","108.87","44","2018"
"Costa Rica","108.45","45","2018"
"Cambodia","108.34","46","2018"
"Bolivia (Plurinational State of)","108.01","47","2018"
"El Salvador","107.73","48","2018"
"Viet Nam","107.6","49","2018"
"Kenya","107.57","50","2018"
"Serbia","107.09","51","2018"
"Somalia","106.87","52","2018"
"Thailand","106.85","53","2018"
"Turkey","106.78","54","2018"
"Togo","106.5","55","2018"
"Djibouti","106.35","56","2018"
"Albania","106.29","57","2018"
"Bhutan","106.14","58","2018"
"Singapore","106.04","59","2018"
"Canada","105.85","60","2018"
"Iran (Islamic Republic of)","105.07","61","2018"
"Burkina Faso","104.98","62","2018"
"Guatemala","104.84","63","2018"
"Malaysia","104.76","64","2018"
"Bulgaria","104.59","65","2018"
"Nauru","104.37","66","2018"
"United States of America (the)","104.29","67","2018"
"Senegal","104.12","68","2018"
"Chile","104.12","69","2018"
"Equatorial Guinea","104.09","70","2018"
"Kiribati","104.04","71","2018"
"Colombia","103.98","72","2018"
"Cameroon","103.95","73","2018"
"Nepal","103.92","74","2018"
"China","103.87","75","2018"
"Papua New Guinea","103.84","76","2018"
"Georgia","103.79","77","2018"
"Mozambique","103.75","78","2018"
"Saint Kitts and Nevis","103.67","79","2018"
"Pakistan","103.48","80","2018"
"Comoros (the)","103.46","81","2018"
"Saint Vincent and the Grenadines","103.37","82","2018"
"Gabon","103.29","83","2018"
"Russian Federation (the)","103.26","84","2018"
"Guinea-Bissau","103.26","85","2018"
"Tuvalu","102.98","86","2018"
"Philippines (the)","102.82","87","2018"
"Maldives","102.81","88","2018"
"Croatia","102.75","89","2018"
"Antigua and Barbuda","102.7","90","2018"
"Slovenia","102.62","91","2018"
"Panama","102.62","92","2018"
"Tonga","102.59","93","2018"
"Dominica","102.35","94","2018"
"Ethiopia","102.32","95","2018"
"Botswana","102.2","96","2018"
"Congo (the)","102.14","97","2018"
"Bahamas (the)","102.12","98","2018"
"Eswatini","102.09","99","2018"
"Nigeria","102.04","100","2018"
"Seychelles","101.89","101","2018"
"Eritrea","101.84","102","2018"
"Madagascar","101.84","103","2018"
"Tunisia","101.82","104","2018"
"Solomon Islands","101.75","105","2018"
"Trinidad and Tobago","101.57","106","2018"
"North Macedonia","101.56","107","2018"
"Jamaica","101.45","108","2018"
"Marshall Islands (the)","101.43","109","2018"
"New Zealand","101.29","110","2018"
"Luxembourg","101.23","111","2018"
"Portugal","101.04","112","2018"
"Haiti","100.93","113","2018"
"Samoa","100.68","114","2018"
"Cuba","100.67","115","2018"
"Bahrain","100.4","116","2018"
"Uzbekistan","100.35","117","2018"
"Hungary","100.31","118","2018"
"Australia","100.26","119","2018"
"United Arab Emirates (the)","100.07","120","2018"
"Liechtenstein","99.54","121","2018"
"Myanmar","99.32","122","2018"
"Libya","99.31","123","2018"
"Mauritania","99.31","124","2018"
"Austria","99.17","125","2018"
"Switzerland","99.14","126","2018"
