"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Lesotho","149.65","1","2017"
"Grenada","137.34","2","2017"
"Australia","130.31","3","2017"
"Oman","126.87","4","2017"
"Marshall Islands (the)","126.84","5","2017"
"Romania","123.9","6","2017"
"Moldova (the Republic of)","121.15","7","2017"
"Zimbabwe","119.7","8","2017"
"Honduras","118.07","9","2017"
"Portugal","116.56","10","2017"
"South Africa","116.46","11","2017"
"Nicaragua","114.98","12","2017"
"Kazakhstan","114.37","13","2017"
"Vanuatu","114.2","14","2017"
"Saudi Arabia","114.18","15","2017"
"Zambia","113.37","16","2017"
"Côte d'Ivoire","111.7","17","2017"
"Niger (the)","111.54","18","2017"
"Mexico","110.21","19","2017"
"Azerbaijan","110.15","20","2017"
"Russian Federation (the)","109.76","21","2017"
"Mali","109.71","22","2017"
"Brazil","109.68","23","2017"
"Paraguay","109.46","24","2017"
"Guinea","109.29","25","2017"
"Malawi","109.01","26","2017"
"Turkey","108.65","27","2017"
"Gambia (the)","108.37","28","2017"
"Bhutan","108.26","29","2017"
"Kyrgyzstan","108.14","30","2017"
"Dominican Republic (the)","108.12","31","2017"
"Costa Rica","107.84","32","2017"
"Latvia","107.79","33","2017"
"Canada","107.79","34","2017"
"Bangladesh","107.31","35","2017"
"Namibia","107.28","36","2017"
"Denmark","107.1","37","2017"
"El Salvador","107.09","38","2017"
"Netherlands (the)","106.98","39","2017"
"Indonesia","106.95","40","2017"
"Morocco","106.84","41","2017"
"Senegal","106.81","42","2017"
"Pakistan","106.78","43","2017"
"Tajikistan","106.78","44","2017"
"Argentina","106.73","45","2017"
"Cambodia","106.68","46","2017"
"Malaysia","106.64","47","2017"
"Guinea-Bissau","106.64","48","2017"
"India","106.45","49","2017"
"Ghana","106.45","50","2017"
"Panama","106.21","51","2017"
"Thailand","106.2","52","2017"
"Albania","105.92","53","2017"
"Colombia","105.92","54","2017"
"Bulgaria","105.78","55","2017"
"Nepal","105.68","56","2017"
"Belize","105.59","57","2017"
"Uzbekistan","105.51","58","2017"
"Central African Republic (the)","105.18","59","2017"
"Iceland","104.98","60","2017"
"Montenegro","104.57","61","2017"
"Benin","104.43","62","2017"
"Djibouti","104.29","63","2017"
"Nauru","104.23","64","2017"
"Chad","104.21","65","2017"
"Angola","104.15","66","2017"
"Cuba","103.89","67","2017"
"Iran (Islamic Republic of)","103.87","68","2017"
"Togo","103.79","69","2017"
"Estonia","103.71","70","2017"
"Qatar","103.71","71","2017"
"France","103.67","72","2017"
"Viet Nam","103.65","73","2017"
"Philippines (the)","103.59","74","2017"
"Peru","103.59","75","2017"
"Maldives","103.54","76","2017"
"Brunei Darussalam","103.39","77","2017"
"Mozambique","103.34","78","2017"
"Sweden","103.32","79","2017"
"Poland","103.12","80","2017"
"China","103.12","81","2017"
"Seychelles","103.07","82","2017"
"Lithuania","102.9","83","2017"
"Cameroon","102.75","84","2017"
"Gabon","102.57","85","2017"
"Suriname","102.56","86","2017"
"Mauritania","102.54","87","2017"
"Bahamas (the)","102.46","88","2017"
"Papua New Guinea","102.37","89","2017"
"Comoros (the)","102.31","90","2017"
"Antigua and Barbuda","102.15","91","2017"
"Belgium","102.09","92","2017"
"Tuvalu","102.06","93","2017"
"Saint Kitts and Nevis","102.01","94","2017"
"Equatorial Guinea","101.98","95","2017"
"Kuwait","101.96","96","2017"
"United States of America (the)","101.9","97","2017"
"Guyana","101.87","98","2017"
"Dominica","101.79","99","2017"
"Switzerland","101.78","100","2017"
"Ireland","101.73","101","2017"
"Micronesia (Federated States of)","101.68","102","2017"
"Barbados","101.67","103","2017"
"Ethiopia","101.65","104","2017"
"Kiribati","101.65","105","2017"
"Tonga","101.53","106","2017"
"Belarus","101.42","107","2017"
"Eritrea","101.42","108","2017"
"Eswatini","101.4","109","2017"
"United Kingdom","101.26","110","2017"
"Congo (the)","101.18","111","2017"
"Saint Vincent and the Grenadines","101.15","112","2017"
"Solomon Islands","101","113","2017"
"Kenya","100.93","114","2017"
"Sudan (the)","100.93","115","2017"
"Norway","100.81","116","2017"
"Ukraine","100.81","117","2017"
"Nigeria","100.68","118","2017"
"Egypt","100.6","119","2017"
"Bahrain","100.53","120","2017"
"Haiti","100.25","121","2017"
"Samoa","100.17","122","2017"
"Singapore","100","123","2017"
"Greece","99.9","124","2017"
"Liechtenstein","99.59","125","2017"
"Myanmar","99.5","126","2017"
"Trinidad and Tobago","99.46","127","2017"
"Libya","99.42","128","2017"
"Somalia","99.4","129","2017"
"United Arab Emirates (the)","98.71","130","2017"
"Spain","98.62","131","2017"
"Guatemala","98.43","132","2017"
"Syrian Arab Republic (the)","98.31","133","2017"
"Israel","98.23","134","2017"
"Jamaica","98.18","135","2017"
"Hungary","98.17","136","2017"
"Lebanon","97.98","137","2017"
"Japan","97.81","138","2017"
"Timor-Leste","97.37","139","2017"
"Madagascar","97.26","140","2017"
"Lao People's Democratic Republic (the)","97.12","141","2017"
"Chile","97","142","2017"
