"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Mongolia","238.19","1","2013"
"Angola","227.12","2","2013"
"Kuwait","204.52","3","2013"
"Cambodia","196.9","4","2013"
"Niger (the)","185.13","5","2013"
"Malawi","183.11","6","2013"
"Tanzania, the United Republic of","179.22","7","2013"
"Algeria","179.09","8","2013"
"Uruguay","178.59","9","2013"
"Lao People's Democratic Republic (the)","174.31","10","2013"
"Paraguay","171.43","11","2013"
"Sierra Leone","169.68","12","2013"
"Ethiopia","169.38","13","2013"
"Zambia","169.28","14","2013"
"Mauritania","167.06","15","2013"
"Haiti","167","16","2013"
"Rwanda","166.86","17","2013"
"Cameroon","162.37","18","2013"
"Ukraine","162.12","19","2013"
"Albania","161.47","20","2013"
"Chad","161.44","21","2013"
"Lithuania","158.84","22","2013"
"Tajikistan","155.37","23","2013"
"Suriname","154.8","24","2013"
"Benin","154.37","25","2013"
"Dominican Republic (the)","150.36","26","2013"
"Estonia","148.68","27","2013"
"Guatemala","148.62","28","2013"
"Mali","148.12","29","2013"
"Canada","147.03","30","2013"
"Burkina Faso","146.62","31","2013"
"Uzbekistan","145.09","32","2013"
"Ghana","144.81","33","2013"
"Guinea-Bissau","143.55","34","2013"
"Kazakhstan","142.21","35","2013"
"Bolivia (Plurinational State of)","141.81","36","2013"
"India","141.74","37","2013"
"Vanuatu","141.46","38","2013"
"Qatar","141.21","39","2013"
"Brazil","140.63","40","2013"
"Peru","140.62","41","2013"
"Armenia","139.62","42","2013"
"Tonga","138.65","43","2013"
"Bangladesh","138.15","44","2013"
"Bahamas (the)","137.37","45","2013"
"Indonesia","136.49","46","2013"
"Sri Lanka","135.19","47","2013"
"Latvia","134.69","48","2013"
"China","134.06","49","2013"
"Kenya","133.81","50","2013"
"Afghanistan","133.41","51","2013"
"Viet Nam","131.4","52","2013"
"Singapore","131.31","53","2013"
"Guinea","131","54","2013"
"Nepal","130.44","55","2013"
"Thailand","129.81","56","2013"
"Iraq","129.25","57","2013"
"Oman","129.12","58","2013"
"Mozambique","129.08","59","2013"
"Nicaragua","128.9","60","2013"
"Guyana","128.72","61","2013"
"Morocco","128.56","62","2013"
"Burundi","127.93","63","2013"
"Russian Federation (the)","127.62","64","2013"
"Djibouti","127.15","65","2013"
"Gabon","125.48","66","2013"
"World","125.46","","2013"
"Jordan","125.42","67","2013"
"Bulgaria","125.2","68","2013"
