"Country","GDP growth (annual %)","Rank","Year"
"Romania","4.66","101","2005"
"Botswana","4.55","102","2005"
"Sierra Leone","4.5","103","2005"
"Suriname","4.5","104","2005"
"Egypt","4.47","105","2005"
"Bolivia (Plurinational State of)","4.42","106","2005"
"Iraq","4.4","107","2005"
"Croatia","4.3","108","2005"
"Korea (the Republic of)","4.3","109","2005"
"Nicaragua","4.28","110","2005"
"Guinea-Bissau","4.26","111","2005"
"Hungary","4.24","112","2005"
"Montenegro","4.18","113","2005"
"Thailand","4.18","114","2005"
"Samoa","4.15","115","2005"
"Barbados","3.95","116","2005"
"Palau","3.95","117","2005"
"Israel","3.91","118","2005"
"World","3.91","","2005"
"Costa Rica","3.87","119","2005"
"Slovenia","3.79","120","2005"
"Spain","3.65","121","2005"
"Haiti","3.61","122","2005"
"United States of America (the)","3.51","123","2005"
"Poland","3.5","124","2005"
"Tunisia","3.48","125","2005"
"Nepal","3.47","126","2005"
"Lesotho","3.46","127","2005"
"Bahamas (the)","3.39","128","2005"
"Malta","3.38","129","2005"
"New Zealand","3.32","130","2005"
"Morocco","3.29","131","2005"
"Malawi","3.26","132","2005"
"Guatemala","3.26","133","2005"
"Brazil","3.2","134","2005"
"Australia","3.2","135","2005"
"Iran (Islamic Republic of)","3.18","136","2005"
"United Kingdom","3.17","137","2005"
"Luxembourg","3.17","138","2005"
"Switzerland","3.11","139","2005"
"Timor-Leste","3.01","140","2005"
"Ukraine","2.99","141","2005"
"Guinea","2.99","142","2005"
"Sweden","2.85","143","2005"
"Comoros (the)","2.83","144","2005"
"Finland","2.77","145","2005"
"El Salvador","2.7","146","2005"
"Lebanon","2.68","147","2005"
"Gabon","2.67","148","2005"
"Norway","2.62","149","2005"
"Eritrea","2.57","150","2005"
"Namibia","2.52","151","2005"
"Oman","2.49","152","2005"
"Saint Vincent and the Grenadines","2.48","153","2005"
"San Marino","2.42","154","2005"
"Denmark","2.33","155","2005"
"Belgium","2.32","156","2005"
"Mexico","2.3","157","2005"
"Marshall Islands (the)","2.28","158","2005"
"Austria","2.24","159","2005"
"Paraguay","2.13","160","2005"
"Netherlands (the)","2.05","161","2005"
"Micronesia (Federated States of)","2.04","162","2005"
"Cameroon","2.02","163","2005"
"Belize","1.95","164","2005"
"Monaco","1.89","165","2005"
"Mauritius","1.77","166","2005"
"Côte d'Ivoire","1.72","167","2005"
"Benin","1.71","168","2005"
"France","1.66","169","2005"
"Japan","1.66","170","2005"
"Burundi","0.9","171","2005"
"Central African Republic (the)","0.9","172","2005"
"Jamaica","0.89","173","2005"
"Italy","0.81","174","2005"
"Portugal","0.78","175","2005"
"Germany","0.73","176","2005"
"Fiji","0.7","177","2005"
"Curaçao","0.67","178","2005"
"Dominica","0.65","179","2005"
"Greece","0.59","180","2005"
"Brunei Darussalam","0.38","181","2005"
"Tonga","0.08","182","2005"
"Nauru","0","191","2005"
"Kyrgyzstan","-0.18","192","2005"
"Saint Lucia","-0.42","193","2005"
"Guyana","-1.96","194","2005"
"Gambia (the)","-2.36","195","2005"
"Tuvalu","-3.78","196","2005"
"Togo","-4.67","197","2005"
"Zimbabwe","-5.72","198","2005"
"Maldives","-13.13","199","2005"
"Holy See (the)","null","183","2005"
"Taiwan","null","184","2005"
"Korea (the Democratic People's Republic of)","null","185","2005"
"Somalia","null","186","2005"
"South Sudan","null","187","2005"
"Djibouti","null","188","2005"
"Bonaire","null","189","2005"
"Sint Maarten (Dutch part)","null","190","2005"
"Faroe Islands","null","200","2005"
"United States Minor Outlying Islands","null","201","2005"
"Serranilla Bank","null","202","2005"
"Scarborough Reef","null","203","2005"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2005"
"Spratly Islands","null","205","2005"
"American Samoa","null","206","2005"
"Greenland","null","207","2005"
"Guam","null","208","2005"
"Northern Mariana Islands","null","209","2005"
"Puerto Rico","null","210","2005"
"United States Virgin Islands","null","211","2005"
"Somaliland","null","212","2005"
"Northern Cyprus","null","213","2005"
"Cyprus No Mans Area","null","214","2005"
"Western Sahara","null","215","2005"
"Siachen Glacier","null","216","2005"
"Kosovo","null","217","2005"
