"Country","GDP growth (annual %)","Rank","Year"
"Azerbaijan","27.96","1","2005"
"Chad","17.33","2","2005"
"Equatorial Guinea","16.74","3","2005"
"Angola","15.02","4","2005"
"Armenia","13.89","5","2005"
"Myanmar","13.56","6","2005"
"Grenada","13.27","7","2005"
"Cambodia","13.25","8","2005"
"Turkmenistan","13.03","9","2005"
"Libya","11.87","10","2005"
"Ethiopia","11.81","11","2005"
"China","11.39","12","2005"
"Palestine, State of","11.29","13","2005"
"Afghanistan","11.22","14","2005"
"Cuba","11.2","15","2005"
"Latvia","10.72","16","2005"
"Kuwait","10.6","17","2005"
"Venezuela (Bolivarian Republic of)","10.31","18","2005"
"Saint Kitts and Nevis","9.73","19","2005"
"Kazakhstan","9.69","20","2005"
"Georgia","9.58","21","2005"
"Estonia","9.49","22","2005"
"Dominican Republic (the)","9.42","23","2005"
"Belarus","9.4","24","2005"
"Rwanda","9.37","25","2005"
"Seychelles","9","26","2005"
"Turkey","8.99","27","2005"
"Argentina","8.85","28","2005"
"Bosnia and Herzegovina","8.75","29","2005"
"Burkina Faso","8.66","30","2005"
"Mauritania","8.56","31","2005"
"Jordan","8.14","32","2005"
"India","7.92","33","2005"
"Congo (the)","7.75","34","2005"
"Lithuania","7.73","35","2005"
"Viet Nam","7.54","36","2005"
"Moldova (the Republic of)","7.5","37","2005"
"Qatar","7.49","38","2005"
"Sudan (the)","7.48","39","2005"
"Tanzania, the United Republic of","7.47","40","2005"
"Uruguay","7.46","41","2005"
"Singapore","7.35","42","2005"
"Niger (the)","7.33","43","2005"
"Bhutan","7.28","44","2005"
"Mongolia","7.25","45","2005"
"Zambia","7.23","46","2005"
"Panama","7.19","47","2005"
"Bulgaria","7.15","48","2005"
"Lao People's Democratic Republic (the)","7.1","49","2005"
"Sao Tome and Principe","7.09","50","2005"
"Uzbekistan","6.95","51","2005"
"Cabo Verde","6.91","52","2005"
"Bahrain","6.76","53","2005"
"Tajikistan","6.64","54","2005"
"Mozambique","6.64","55","2005"
"Slovakia","6.62","56","2005"
"Czechia","6.6","57","2005"
"Bangladesh","6.53","58","2005"
"Mali","6.53","59","2005"
"Pakistan","6.51","60","2005"
"Antigua and Barbuda","6.47","61","2005"
"Nigeria","6.43","62","2005"
"Russian Federation (the)","6.39","63","2005"
"Papua New Guinea","6.34","64","2005"
"Iceland","6.33","65","2005"
"Uganda","6.33","66","2005"
"Peru","6.28","67","2005"
"Sri Lanka","6.24","68","2005"
"Trinidad and Tobago","6.2","69","2005"
"Syrian Arab Republic (the)","6.19","70","2005"
"Congo (the Democratic Republic of the)","6.13","71","2005"
"Honduras","6.05","72","2005"
"Eswatini","5.99","73","2005"
"Ghana","5.9","74","2005"
"Kenya","5.9","75","2005"
"Algeria","5.89","76","2005"
"Chile","5.74","77","2005"
"Ireland","5.7","78","2005"
"Indonesia","5.69","79","2005"
"Senegal","5.62","80","2005"
"Yemen","5.59","81","2005"
"Saudi Arabia","5.57","82","2005"
"Solomon Islands","5.54","83","2005"
"Serbia","5.53","84","2005"
"Albania","5.52","85","2005"
"Andorra","5.39","86","2005"
"Malaysia","5.33","87","2005"
"Vanuatu","5.3","88","2005"
"Ecuador","5.29","89","2005"
"Liberia","5.28","90","2005"
"South Africa","5.27","91","2005"
"Canada","4.99","92","2005"
"Kiribati","4.95","93","2005"
"Philippines (the)","4.94","94","2005"
"United Arab Emirates (the)","4.85","95","2005"
"Cyprus","4.85","96","2005"
"Liechtenstein","4.82","97","2005"
"Colombia","4.82","98","2005"
"Madagascar","4.75","99","2005"
"North Macedonia","4.72","100","2005"
