"Country","GDP growth (annual %)","Rank","Year"
"Kuwait","17.32","1","2003"
"Chad","14.72","2","2003"
"Trinidad and Tobago","14.44","3","2003"
"Palestine, State of","14.01","4","2003"
"Armenia","14","5","2003"
"Equatorial Guinea","13.95","6","2003"
"Myanmar","13.84","7","2003"
"Maldives","13.75","8","2003"
"Libya","13.01","9","2003"
"Saudi Arabia","11.24","10","2003"
"Georgia","11.05","11","2003"
"Tajikistan","10.92","12","2003"
"Lithuania","10.56","13","2003"
"Azerbaijan","10.2","14","2003"
"China","10.03","15","2003"
"Madagascar","9.78","16","2003"
"Ukraine","9.51","17","2003"
"Grenada","9.46","18","2003"
"Belize","9.33","19","2003"
"Sierra Leone","9.31","20","2003"
"Kazakhstan","9.3","21","2003"
"Mali","9.11","22","2003"
"Afghanistan","8.83","23","2003"
"Argentina","8.83","24","2003"
"United Arab Emirates (the)","8.8","25","2003"
"Iran (Islamic Republic of)","8.73","26","2003"
"Andorra","8.69","27","2003"
"Cambodia","8.5","28","2003"
"Latvia","8.43","29","2003"
"India","7.86","30","2003"
"Bhutan","7.82","31","2003"
"Burkina Faso","7.8","32","2003"
"Sudan (the)","7.73","33","2003"
"Saint Vincent and the Grenadines","7.68","34","2003"
"Estonia","7.56","35","2003"
"Nigeria","7.34","36","2003"
"Russian Federation (the)","7.29","37","2003"
"Algeria","7.2","38","2003"
"Thailand","7.18","39","2003"
"Belarus","7.04","40","2003"
"Kyrgyzstan","7.03","41","2003"
"Mongolia","7","42","2003"
"Zambia","6.94","43","2003"
"Mauritania","6.92","44","2003"
"Viet Nam","6.89","45","2003"
"Mozambique","6.87","46","2003"
"Gambia (the)","6.86","47","2003"
"Togo","6.72","48","2003"
"Senegal","6.68","49","2003"
"Tanzania, the United Republic of","6.67","50","2003"
"Moldova (the Republic of)","6.6","51","2003"
"Sao Tome and Principe","6.57","52","2003"
"Solomon Islands","6.52","53","2003"
"Uganda","6.47","54","2003"
"Dominica","6.35","55","2003"
"Bahrain","6.29","56","2003"
"Suriname","6.29","57","2003"
"Antigua and Barbuda","6.07","58","2003"
"Lao People's Democratic Republic (the)","6.06","59","2003"
"Morocco","5.96","60","2003"
"Sri Lanka","5.94","61","2003"
"Mauritius","5.92","62","2003"
"Greece","5.79","63","2003"
"Malaysia","5.78","64","2003"
"Pakistan","5.77","65","2003"
"Turkey","5.76","66","2003"
"Malawi","5.7","67","2003"
"Croatia","5.63","68","2003"
"Congo (the Democratic Republic of the)","5.57","69","2003"
"Albania","5.53","70","2003"
"Slovakia","5.49","71","2003"
"Ghana","5.2","72","2003"
"Bulgaria","5.15","73","2003"
"Philippines (the)","5.08","74","2003"
"Indonesia","4.78","75","2003"
"Bangladesh","4.73","76","2003"
"Tunisia","4.7","77","2003"
"Botswana","4.62","78","2003"
"Cameroon","4.56","79","2003"
"Lesotho","4.55","80","2003"
"Honduras","4.54","81","2003"
"New Zealand","4.54","82","2003"
"Singapore","4.53","83","2003"
"Samoa","4.51","84","2003"
"Serbia","4.38","85","2003"
"Paraguay","4.32","86","2003"
"Vanuatu","4.28","87","2003"
"Saint Lucia","4.26","88","2003"
"Costa Rica","4.25","89","2003"
"Uzbekistan","4.23","90","2003"
"Namibia","4.23","91","2003"
"Panama","4.2","92","2003"
"Cabo Verde","4.17","93","2003"
"Jordan","4.16","94","2003"
"Peru","4.16","95","2003"
"Chile","4.09","96","2003"
"Hungary","4.08","97","2003"
"Malta","4.07","98","2003"
"Bosnia and Herzegovina","3.99","99","2003"
"Nepal","3.94","100","2003"
"Colombia","3.91","101","2003"
"Eswatini","3.88","102","2003"
"San Marino","3.87","103","2003"
"Canada","3.81","104","2003"
"Cuba","3.79","105","2003"
"Yemen","3.74","106","2003"
"Qatar","3.71","107","2003"
"Jamaica","3.66","108","2003"
"Czechia","3.58","109","2003"
"Poland","3.49","110","2003"
"Benin","3.44","111","2003"
"Haiti","3.35","112","2003"
"United Kingdom","3.28","113","2003"
"Turkmenistan","3.26","114","2003"
"Lebanon","3.22","115","2003"
"Egypt","3.19","116","2003"
"Korea (the Republic of)","3.14","117","2003"
"Ireland","3.01","118","2003"
"Spain","2.98","119","2003"
"Angola","2.98","120","2003"
"Australia","2.98","121","2003"
"Slovenia","2.96","122","2003"
"World","2.96","","2003"
"South Africa","2.94","123","2003"
"Kenya","2.93","124","2003"
"Brunei Darussalam","2.9","125","2003"
"United States of America (the)","2.86","126","2003"
"Ecuador","2.72","127","2003"
"Bolivia (Plurinational State of)","2.71","128","2003"
"Cyprus","2.62","129","2003"
"Guatemala","2.53","130","2003"
"Nicaragua","2.52","131","2003"
"Montenegro","2.48","132","2003"
"Romania","2.34","133","2003"
"Sweden","2.3","134","2003"
"Tonga","2.3","135","2003"
"Iceland","2.26","136","2003"
"Gabon","2.24","137","2003"
"North Macedonia","2.22","138","2003"
"Rwanda","2.2","139","2003"
"Niger (the)","2.17","140","2003"
"Barbados","2.17","141","2003"
"Papua New Guinea","2.16","142","2003"
"Comoros (the)","2.1","143","2003"
"Finland","2","144","2003"
"Kiribati","2","145","2003"
"Luxembourg","1.62","146","2003"
"Micronesia (Federated States of)","1.57","147","2003"
"El Salvador","1.56","148","2003"
"Japan","1.52","149","2003"
"Mexico","1.44","150","2003"
"Guinea","1.24","151","2003"
"Brazil","1.14","152","2003"
