"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","45.13","1","2008"
"Trinidad and Tobago","33.76","2","2008"
"Kuwait","31.14","3","2008"
"Bahrain","26.7","4","2008"
"Brunei Darussalam","24.03","5","2008"
"Luxembourg","22.38","6","2008"
"United Arab Emirates (the)","22.16","7","2008"
"United States of America (the)","18.46","8","2008"
"Australia","18.16","9","2008"
"Canada","16.89","10","2008"
"Saudi Arabia","16.61","11","2008"
"Oman","15.52","12","2008"
"Kazakhstan","14.85","13","2008"
"Estonia","12.72","14","2008"
"Russian Federation (the)","12.01","15","2008"
"Norway","11.67","16","2008"
"Turkmenistan","11.51","17","2008"
"Czechia","11.23","18","2008"
"Palau","10.97","19","2008"
"Netherlands (the)","10.8","20","2008"
"Finland","10.72","21","2008"
"Korea (the Republic of)","10.34","22","2008"
"South Africa","9.97","23","2008"
"Belgium","9.75","24","2008"
"Ireland","9.59","25","2008"
"Germany","9.49","26","2008"
"Japan","9.46","27","2008"
"Israel","9.34","28","2008"
"Libya","9.24","29","2008"
"Greece","8.66","30","2008"
"Denmark","8.63","31","2008"
"Slovenia","8.58","32","2008"
"United Kingdom","8.44","33","2008"
"Austria","8.26","34","2008"
"Poland","8.25","35","2008"
"New Zealand","8.02","36","2008"
"Seychelles","7.97","37","2008"
"Cyprus","7.93","38","2008"
"Italy","7.6","39","2008"
"Iran (Islamic Republic of)","7.5","40","2008"
"Malaysia","7.49","41","2008"
"Singapore","7.46","42","2008"
"Equatorial Guinea","7.46","43","2008"
"Spain","7.16","44","2008"
"Serbia","7.04","45","2008"
"Slovakia","7.01","46","2008"
"Bahamas (the)","6.87","47","2008"
"Bulgaria","6.77","48","2008"
"Ukraine","6.72","49","2008"
"Iceland","6.67","50","2008"
"Belarus","6.62","51","2008"
"Venezuela (Bolivarian Republic of)","6.53","52","2008"
"Andorra","6.42","53","2008"
"Malta","6.25","54","2008"
"Barbados","5.78","55","2008"
"China","5.7","56","2008"
"France","5.69","57","2008"
"Antigua and Barbuda","5.62","58","2008"
"Hungary","5.45","59","2008"
"Bosnia and Herzegovina","5.36","60","2008"
"Sweden","5.32","61","2008"
"Switzerland","5.29","62","2008"
"Portugal","5.26","63","2008"
"Croatia","5.24","64","2008"
"Argentina","4.71","65","2008"
"Lithuania","4.69","66","2008"
"Romania","4.69","67","2008"
"Mongolia","4.57","68","2008"
"North Macedonia","4.54","69","2008"
"Uzbekistan","4.53","70","2008"
"Saint Kitts and Nevis","4.49","71","2008"
"Mexico","4.45","72","2008"
"Nauru","4.44","73","2008"
"Chile","4.3","74","2008"
"Montenegro","4.22","75","2008"
"Azerbaijan","4.05","76","2008"
"Turkey","4.03","77","2008"
"Suriname","3.75","78","2008"
