"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Latvia","3.62","79","2008"
"Lebanon","3.61","80","2008"
"Jamaica","3.59","81","2008"
"Thailand","3.47","82","2008"
"Iraq","3.28","83","2008"
"Syrian Arab Republic (the)","3.27","84","2008"
"Jordan","3.25","85","2008"
"Algeria","3.17","86","2008"
"Mauritius","3.02","87","2008"
"Korea (the Democratic People's Republic of)","2.92","88","2008"
"Gabon","2.75","89","2008"
"Egypt","2.49","90","2008"
"Cuba","2.48","91","2008"
"Uruguay","2.47","92","2008"
"Maldives","2.45","93","2008"
"Grenada","2.39","94","2008"
"Tunisia","2.38","95","2008"
"Botswana","2.35","96","2008"
"Ecuador","2.33","97","2008"
"Dominica","2.32","98","2008"
"Saint Lucia","2.32","99","2008"
"Marshall Islands (the)","2.28","100","2008"
"Dominican Republic (the)","2.18","101","2008"
"Panama","2.13","102","2008"
"Saint Vincent and the Grenadines","2.09","103","2008"
"Guyana","2.08","104","2008"
"Brazil","2.01","105","2008"
"Liechtenstein","1.96","106","2008"
"Armenia","1.9","107","2008"
"Costa Rica","1.82","108","2008"
"Indonesia","1.76","109","2008"
"Morocco","1.67","110","2008"
"Moldova (the Republic of)","1.66","111","2008"
"Namibia","1.62","112","2008"
"Colombia","1.53","113","2008"
"Albania","1.48","114","2008"
"Kyrgyzstan","1.44","115","2008"
"Peru","1.44","116","2008"
"Belize","1.42","117","2008"
"Georgia","1.39","118","2008"
"Viet Nam","1.36","119","2008"
"Bolivia (Plurinational State of)","1.36","120","2008"
"India","1.3","121","2008"
"Angola","1.18","122","2008"
"Tonga","1.17","123","2008"
"Honduras","1.08","124","2008"
"Lesotho","1.07","125","2008"
"El Salvador","1.06","126","2008"
"Tuvalu","1.06","127","2008"
"Micronesia (Federated States of)","1.06","128","2008"
"Eswatini","1.05","129","2008"
"Fiji","1.05","130","2008"
"Yemen","1.02","131","2008"
"Samoa","0.98","132","2008"
"Cabo Verde","0.97","133","2008"
"Pakistan","0.92","134","2008"
"Philippines (the)","0.86","135","2008"
"Guatemala","0.81","136","2008"
"Nicaragua","0.78","137","2008"
"Paraguay","0.73","138","2008"
"Papua New Guinea","0.68","139","2008"
"Kiribati","0.66","140","2008"
"Nigeria","0.63","141","2008"
"Bhutan","0.62","142","2008"
"Zimbabwe","0.62","143","2008"
"Sri Lanka","0.61","144","2008"
"Djibouti","0.61","145","2008"
"Mauritania","0.58","146","2008"
"Palestine, State of","0.57","147","2008"
"Benin","0.5","148","2008"
"Sao Tome and Principe","0.49","149","2008"
"Senegal","0.42","150","2008"
"Vanuatu","0.42","151","2008"
"Tajikistan","0.4","152","2008"
"Ghana","0.38","153","2008"
"Lao People's Democratic Republic (the)","0.35","154","2008"
"Solomon Islands","0.35","155","2008"
"Bangladesh","0.34","156","2008"
"Côte d'Ivoire","0.34","157","2008"
"Sudan (the)","0.34","158","2008"
"Congo (the)","0.32","159","2008"
"Cambodia","0.28","160","2008"
"Cameroon","0.28","161","2008"
"Togo","0.27","162","2008"
"Kenya","0.25","163","2008"
"Haiti","0.24","164","2008"
"Guinea","0.22","165","2008"
"Gambia (the)","0.21","166","2008"
"Myanmar","0.19","167","2008"
"Timor-Leste","0.19","168","2008"
"Zambia","0.16","169","2008"
"Comoros (the)","0.16","170","2008"
"Afghanistan","0.15","171","2008"
"Liberia","0.15","172","2008"
"Guinea-Bissau","0.15","173","2008"
"Tanzania, the United Republic of","0.14","174","2008"
"Eritrea","0.13","175","2008"
"Nepal","0.12","176","2008"
"Burkina Faso","0.12","177","2008"
"Mali","0.11","178","2008"
"Uganda","0.1","179","2008"
"Sierra Leone","0.1","180","2008"
"Mozambique","0.1","181","2008"
"Madagascar","0.09","182","2008"
"Malawi","0.08","183","2008"
"Chad","0.08","184","2008"
"Ethiopia","0.07","185","2008"
"Somalia","0.05","186","2008"
"Central African Republic (the)","0.05","187","2008"
"Niger (the)","0.05","188","2008"
"Rwanda","0.05","189","2008"
"Congo (the Democratic Republic of the)","0.03","190","2008"
"Burundi","0.02","191","2008"
"World","0","","2008"
"San Marino","null","192","2008"
"Holy See (the)","null","193","2008"
"Monaco","null","194","2008"
"Taiwan","null","195","2008"
"South Sudan","null","196","2008"
"Bonaire","null","197","2008"
"Curaçao","null","198","2008"
"Sint Maarten (Dutch part)","null","199","2008"
"Faroe Islands","null","200","2008"
"United States Minor Outlying Islands","null","201","2008"
"Serranilla Bank","null","202","2008"
"Scarborough Reef","null","203","2008"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2008"
"Spratly Islands","null","205","2008"
"American Samoa","null","206","2008"
"Greenland","null","207","2008"
"Guam","null","208","2008"
"Northern Mariana Islands","null","209","2008"
"Puerto Rico","null","210","2008"
"United States Virgin Islands","null","211","2008"
"Somaliland","null","212","2008"
"Northern Cyprus","null","213","2008"
"Cyprus No Mans Area","null","214","2008"
"Western Sahara","null","215","2008"
"Siachen Glacier","null","216","2008"
"Kosovo","null","217","2008"
"Faroe Islands","null","218","2008"
"United States Minor Outlying Islands","null","219","2008"
"Serranilla Bank","null","220","2008"
"Scarborough Reef","null","221","2008"
"Bajo Nuevo Bank (Petrel Is.)","null","222","2008"
"Spratly Islands","null","223","2008"
"American Samoa","null","224","2008"
"Greenland","null","225","2008"
"Guam","null","226","2008"
"Northern Mariana Islands","null","227","2008"
"Puerto Rico","null","228","2008"
"United States Virgin Islands","null","229","2008"
"Somaliland","null","230","2008"
"Northern Cyprus","null","231","2008"
"Cyprus No Mans Area","null","232","2008"
"Western Sahara","null","233","2008"
"Siachen Glacier","null","234","2008"
"Kosovo","null","235","2008"
