"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","62.06","1","2006"
"Trinidad and Tobago","32.76","2","2006"
"Kuwait","31.07","3","2006"
"Luxembourg","24.01","4","2006"
"United Arab Emirates (the)","23.34","5","2006"
"Bahrain","20.33","6","2006"
"United States of America (the)","19.09","7","2006"
"Saudi Arabia","17.66","8","2006"
"Australia","17.65","9","2006"
"Canada","17.56","10","2006"
"Oman","15.34","11","2006"
"Brunei Darussalam","13.13","12","2006"
"Kazakhstan","12.58","13","2006"
"Finland","12.48","14","2006"
"Estonia","12","15","2006"
"Czechia","11.92","16","2006"
"Russian Federation (the)","11.66","17","2006"
"Palau","11.63","18","2006"
"Netherlands (the)","11.02","19","2006"
"Equatorial Guinea","10.42","20","2006"
"Turkmenistan","10.29","21","2006"
"Belgium","10.16","22","2006"
"Denmark","10.11","23","2006"
"Ireland","10.09","24","2006"
"Germany","9.91","25","2006"
"Korea (the Republic of)","9.71","26","2006"
"Japan","9.65","27","2006"
"Norway","9.49","28","2006"
"South Africa","9.23","29","2006"
"Libya","9.04","30","2006"
"United Kingdom","8.89","31","2006"
"Israel","8.85","32","2006"
"Greece","8.82","33","2006"
"Austria","8.68","34","2006"
"Seychelles","8.66","35","2006"
"Poland","8.36","36","2006"
"Serbia","8.23","37","2006"
"Slovenia","8.09","38","2006"
"Italy","8.07","39","2006"
"New Zealand","7.99","40","2006"
"Spain","7.88","41","2006"
"Iceland","7.56","42","2006"
"Cyprus","7.44","43","2006"
"Slovakia","7.27","44","2006"
"Iran (Islamic Republic of)","7.21","45","2006"
"Singapore","6.99","46","2006"
"Ukraine","6.97","47","2006"
"Malaysia","6.87","48","2006"
"Andorra","6.74","49","2006"
"Belarus","6.46","50","2006"
"Bulgaria","6.44","51","2006"
"Malta","6.35","52","2006"
"Venezuela (Bolivarian Republic of)","6.35","53","2006"
"France","5.9","54","2006"
"Hungary","5.69","55","2006"
"Portugal","5.68","56","2006"
"Switzerland","5.61","57","2006"
"Sweden","5.45","58","2006"
"Bahamas (the)","5.37","59","2006"
"Antigua and Barbuda","5.36","60","2006"
"North Macedonia","5.3","61","2006"
"Croatia","5.24","62","2006"
"China","4.98","63","2006"
"Barbados","4.9","64","2006"
"Romania","4.87","65","2006"
"Bosnia and Herzegovina","4.66","66","2006"
"Azerbaijan","4.61","67","2006"
"Uzbekistan","4.54","68","2006"
"Nauru","4.47","69","2006"
"Argentina","4.46","70","2006"
"Mexico","4.45","71","2006"
"Lithuania","4.32","72","2006"
"Saint Kitts and Nevis","4.26","73","2006"
"Jamaica","4.17","74","2006"
"Chile","3.96","75","2006"
"Turkey","3.8","76","2006"
"Mongolia","3.67","77","2006"
"Latvia","3.61","78","2006"
"Iraq","3.59","79","2006"
"Jordan","3.52","80","2006"
"Thailand","3.51","81","2006"
"Suriname","3.45","82","2006"
"Montenegro","3.35","83","2006"
"Korea (the Democratic People's Republic of)","3.19","84","2006"
"Lebanon","3.03","85","2006"
"Algeria","3","86","2006"
"Mauritius","2.94","87","2006"
"Gabon","2.91","88","2006"
"Syrian Arab Republic (the)","2.81","89","2006"
"Cuba","2.35","90","2006"
"Egypt","2.32","91","2006"
"Maldives","2.31","92","2006"
"Botswana","2.25","93","2006"
"Tunisia","2.25","94","2006"
"Saint Lucia","2.21","95","2006"
"Panama","2.2","96","2006"
"Grenada","2.2","97","2006"
"Marshall Islands (the)","2.16","98","2006"
"Dominican Republic (the)","2.14","99","2006"
"Ecuador","2.05","100","2006"
"Dominica","2.02","101","2006"
"Saint Vincent and the Grenadines","2.02","102","2006"
"Uruguay","1.99","103","2006"
"Brazil","1.84","104","2006"
"Moldova (the Republic of)","1.73","105","2006"
"Guyana","1.72","106","2006"
"Costa Rica","1.63","107","2006"
"Bolivia (Plurinational State of)","1.6","108","2006"
"Georgia","1.58","109","2006"
"Morocco","1.53","110","2006"
"Belize","1.52","111","2006"
"Indonesia","1.5","112","2006"
"Armenia","1.48","113","2006"
"Fiji","1.47","114","2006"
"Colombia","1.45","115","2006"
"Albania","1.3","116","2006"
"Tonga","1.26","117","2006"
"Viet Nam","1.21","118","2006"
"Namibia","1.18","119","2006"
"Micronesia (Federated States of)","1.14","120","2006"
"El Salvador","1.12","121","2006"
"India","1.11","122","2006"
"Angola","1.1","123","2006"
"Kyrgyzstan","1.05","124","2006"
"Yemen","1.03","125","2006"
"Lesotho","1.02","126","2006"
"Peru","1.02","127","2006"
"Cabo Verde","1","128","2006"
"Eswatini","0.99","129","2006"
"Honduras","0.99","130","2006"
"Guatemala","0.93","131","2006"
"Samoa","0.91","132","2006"
"Pakistan","0.89","133","2006"
"Zimbabwe","0.85","134","2006"
"Nicaragua","0.81","135","2006"
"Philippines (the)","0.77","136","2006"
"Tuvalu","0.72","137","2006"
"Kiribati","0.69","138","2006"
"Nigeria","0.68","139","2006"
"Paraguay","0.67","140","2006"
"Palestine, State of","0.66","141","2006"
"Papua New Guinea","0.64","142","2006"
"Sri Lanka","0.6","143","2006"
"Bhutan","0.59","144","2006"
