"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Bosnia and Herzegovina","3.85","70","2003"
"Lithuania","3.75","71","2003"
"Azerbaijan","3.71","72","2003"
"Iraq","3.55","73","2003"
"Argentina","3.54","74","2003"
"China","3.52","75","2003"
"Gabon","3.51","76","2003"
"Chile","3.5","77","2003"
"Turkey","3.3","78","2003"
"Mongolia","3.25","79","2003"
"Latvia","3.22","80","2003"
"Jordan","3.21","81","2003"
"Thailand","3.18","82","2003"
"Suriname","3.16","83","2003"
"Syrian Arab Republic (the)","3.11","84","2003"
"Korea (the Democratic People's Republic of)","3","85","2003"
"Algeria","2.83","86","2003"
"Mauritius","2.52","87","2003"
"Dominican Republic (the)","2.43","88","2003"
"Cuba","2.26","89","2003"
"Saint Lucia","2.23","90","2003"
"Botswana","2.2","91","2003"
"Tunisia","2.13","92","2003"
"Guyana","2.1","93","2003"
"Grenada","2.08","94","2003"
"Egypt","2.03","95","2003"
"Ecuador","2.01","96","2003"
"Marshall Islands (the)","1.98","97","2003"
"Panama","1.91","98","2003"
"Saint Vincent and the Grenadines","1.82","99","2003"
"Brazil","1.76","100","2003"
"Maldives","1.67","101","2003"
"Dominica","1.67","102","2003"
"Belize","1.6","103","2003"
"Costa Rica","1.59","104","2003"
"Moldova (the Republic of)","1.47","105","2003"
"Indonesia","1.43","106","2003"
"Albania","1.41","107","2003"
"Colombia","1.38","108","2003"
"Uruguay","1.38","109","2003"
"Micronesia (Federated States of)","1.33","110","2003"
"Fiji","1.28","111","2003"
"Morocco","1.26","112","2003"
"Bolivia (Plurinational State of)","1.24","113","2003"
"Tonga","1.17","114","2003"
"Armenia","1.13","115","2003"
"Tuvalu","1.13","116","2003"
"El Salvador","1.09","117","2003"
"Kyrgyzstan","1.07","118","2003"
"Eswatini","1.02","119","2003"
"Namibia","0.99","120","2003"
"India","0.98","121","2003"
"Peru","0.96","122","2003"
"Viet Nam","0.95","123","2003"
"Georgia","0.95","124","2003"
"Lesotho","0.95","125","2003"
"Honduras","0.95","126","2003"
"Yemen","0.91","127","2003"
"Zimbabwe","0.88","128","2003"
"Philippines (the)","0.86","129","2003"
"Samoa","0.86","130","2003"
"Guatemala","0.85","131","2003"
"Nicaragua","0.83","132","2003"
"Pakistan","0.77","133","2003"
"Nigeria","0.76","134","2003"
"Paraguay","0.72","135","2003"
"Cabo Verde","0.68","136","2003"
"Papua New Guinea","0.63","137","2003"
"Bhutan","0.6","138","2003"
"Sri Lanka","0.57","139","2003"
"Djibouti","0.55","140","2003"
"Angola","0.5","141","2003"
"Kiribati","0.49","142","2003"
"Mauritania","0.48","143","2003"
"Senegal","0.47","144","2003"
"Sao Tome and Principe","0.43","145","2003"
"Vanuatu","0.42","146","2003"
"Palestine, State of","0.4","147","2003"
"Ghana","0.36","148","2003"
"Solomon Islands","0.36","149","2003"
"Tajikistan","0.31","150","2003"
"Côte d'Ivoire","0.31","151","2003"
"Benin","0.31","152","2003"
"Eritrea","0.27","153","2003"
"Togo","0.27","154","2003"
"Bangladesh","0.26","155","2003"
"Congo (the)","0.26","156","2003"
"Sudan (the)","0.23","157","2003"
"Lao People's Democratic Republic (the)","0.22","158","2003"
"Cameroon","0.22","159","2003"
"Comoros (the)","0.22","160","2003"
"Guinea","0.21","161","2003"
"Myanmar","0.2","162","2003"
"Gambia (the)","0.2","163","2003"
"Kenya","0.19","164","2003"
"Haiti","0.19","165","2003"
"Cambodia","0.18","166","2003"
"Zambia","0.18","167","2003"
"Timor-Leste","0.17","168","2003"
"Liberia","0.15","169","2003"
"Guinea-Bissau","0.15","170","2003"
"Sierra Leone","0.12","171","2003"
"Nepal","0.11","172","2003"
"Tanzania, the United Republic of","0.1","173","2003"
"Madagascar","0.09","174","2003"
"Mozambique","0.09","175","2003"
"Burkina Faso","0.08","176","2003"
"Malawi","0.07","177","2003"
"Mali","0.07","178","2003"
"Chad","0.07","179","2003"
"Ethiopia","0.06","180","2003"
"Somalia","0.06","181","2003"
"Central African Republic (the)","0.06","182","2003"
"Niger (the)","0.06","183","2003"
"Uganda","0.06","184","2003"
"Rwanda","0.06","185","2003"
"Afghanistan","0.05","186","2003"
"Congo (the Democratic Republic of the)","0.02","187","2003"
"Burundi","0.02","188","2003"
"World","0","","2003"
"Liechtenstein","null","189","2003"
"Montenegro","null","190","2003"
"Serbia","null","191","2003"
"San Marino","null","192","2003"
"Holy See (the)","null","193","2003"
"Monaco","null","194","2003"
"Taiwan","null","195","2003"
"South Sudan","null","196","2003"
"Bonaire","null","197","2003"
"Curaçao","null","198","2003"
"Sint Maarten (Dutch part)","null","199","2003"
"Faroe Islands","null","200","2003"
"United States Minor Outlying Islands","null","201","2003"
"Serranilla Bank","null","202","2003"
"Scarborough Reef","null","203","2003"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2003"
"Spratly Islands","null","205","2003"
"American Samoa","null","206","2003"
"Greenland","null","207","2003"
"Guam","null","208","2003"
"Northern Mariana Islands","null","209","2003"
"Puerto Rico","null","210","2003"
"United States Virgin Islands","null","211","2003"
"Somaliland","null","212","2003"
"Northern Cyprus","null","213","2003"
"Cyprus No Mans Area","null","214","2003"
"Western Sahara","null","215","2003"
"Siachen Glacier","null","216","2003"
"Kosovo","null","217","2003"
