"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","60.9","1","2003"
"United Arab Emirates (the)","28.76","2","2003"
"Kuwait","27.72","3","2003"
"Trinidad and Tobago","24.92","4","2003"
"Luxembourg","21.93","5","2003"
"Bahrain","21.57","6","2003"
"United States of America (the)","19.56","7","2003"
"Canada","17.47","8","2003"
"Australia","16.9","9","2003"
"Saudi Arabia","14.57","10","2003"
"Oman","13.57","11","2003"
"Finland","13.17","12","2003"
"Brunei Darussalam","12.99","13","2003"
"Estonia","12.49","14","2003"
"Czechia","11.97","15","2003"
"Netherlands (the)","11.28","16","2003"
"Equatorial Guinea","11.2","17","2003"
"Russian Federation (the)","11.09","18","2003"
"Belgium","10.88","19","2003"
"Palau","10.73","20","2003"
"Ireland","10.68","21","2003"
"Denmark","10.38","22","2003"
"Germany","9.97","23","2003"
"Norway","9.9","24","2003"
"Korea (the Republic of)","9.73","25","2003"
"Japan","9.71","26","2003"
"Turkmenistan","9.57","27","2003"
"Kazakhstan","9.53","28","2003"
"Israel","9.4","29","2003"
"United Kingdom","9.05","30","2003"
"Austria","8.84","31","2003"
"Greece","8.76","32","2003"
"Libya","8.74","33","2003"
"South Africa","8.65","34","2003"
"New Zealand","8.46","35","2003"
"Italy","8.17","36","2003"
"Poland","7.91","37","2003"
"Cyprus","7.79","38","2003"
"Slovenia","7.77","39","2003"
"Spain","7.61","40","2003"
"Singapore","7.56","41","2003"
"Venezuela (Bolivarian Republic of)","7.51","42","2003"
"Iceland","7.48","43","2003"
"Ukraine","7.37","44","2003"
"Slovakia","7.34","45","2003"
"Andorra","7.31","46","2003"
"Seychelles","6.64","47","2003"
"Nauru","6.6","48","2003"
"Malta","6.47","49","2003"
"Malaysia","6.4","50","2003"
"Bahamas (the)","6.27","51","2003"
"Iran (Islamic Republic of)","6.14","52","2003"
"France","6.11","53","2003"
"Sweden","6.11","54","2003"
"Bulgaria","6.08","55","2003"
"Portugal","5.85","56","2003"
"Hungary","5.82","57","2003"
"North Macedonia","5.5","58","2003"
"Switzerland","5.47","59","2003"
"Belarus","5.46","60","2003"
"Croatia","5.34","61","2003"
"Antigua and Barbuda","5.08","62","2003"
"Uzbekistan","4.97","63","2003"
"Romania","4.68","64","2003"
"Barbados","4.57","65","2003"
"Saint Kitts and Nevis","4.32","66","2003"
"Mexico","4.27","67","2003"
"Lebanon","4.14","68","2003"
"Jamaica","3.93","69","2003"
