"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Lesotho","150.09","1","2001"
"Saint Kitts and Nevis","143.93","2","2001"
"Grenada","131.86","3","2001"
"Saint Lucia","124.87","4","2001"
"Zimbabwe","123.54","5","2001"
"Mauritius","115.56","6","2001"
"Oman","115.07","7","2001"
"United Arab Emirates (the)","113.26","8","2001"
"Poland","112.65","9","2001"
"Gambia (the)","112.48","10","2001"
"Seychelles","112.4","11","2001"
"Cuba","110.93","12","2001"
"Trinidad and Tobago","110.59","13","2001"
"Cabo Verde","109.46","14","2001"
"Micronesia (Federated States of)","108.71","15","2001"
"Czechia","108.15","16","2001"
"Dominica","108","17","2001"
"Barbados","107.21","18","2001"
"Guyana","107.07","19","2001"
"Jamaica","107.01","20","2001"
"Bahrain","106.96","21","2001"
"Antigua and Barbuda","106.89","22","2001"
"Cyprus","106.87","23","2001"
"Korea (the Republic of)","106.6","24","2001"
"Malawi","106.12","25","2001"
"Japan","105.84","26","2001"
"Greece","105.68","27","2001"
"Iraq","105.65","28","2001"
"Georgia","105.25","29","2001"
"Estonia","105.2","30","2001"
"Suriname","104.62","31","2001"
"Sao Tome and Principe","104.12","32","2001"
"Germany","103.5","33","2001"
"Senegal","103.29","34","2001"
"Ireland","103.23","35","2001"
"Sweden","102.73","36","2001"
"Spain","102.7","37","2001"
"Central African Republic (the)","102","38","2001"
"Vanuatu","101.92","39","2001"
"Kazakhstan","101.37","40","2001"
"Kyrgyzstan","101.2","41","2001"
"Somalia","100.68","42","2001"
"Denmark","100.32","43","2001"
"Chad","100.23","44","2001"
"Congo (the Democratic Republic of the)","100.04","45","2001"
"El Salvador","99.73","46","2001"
"Djibouti","99.51","47","2001"
"Togo","99.34","48","2001"
"Panama","98.71","49","2001"
"Uganda","98.37","50","2001"
"Malta","98.34","51","2001"
"Hungary","98.23","52","2001"
"Liberia","98.12","53","2001"
"Comoros (the)","97.98","54","2001"
"Australia","97.59","55","2001"
"Venezuela (Bolivarian Republic of)","97.45","56","2001"
"Austria","97.32","57","2001"
"Finland","97.15","58","2001"
"Dominican Republic (the)","97.01","59","2001"
"Slovakia","96.85","60","2001"
"Lithuania","96.75","61","2001"
"Portugal","96.67","62","2001"
"Ecuador","96.62","63","2001"
"Gabon","96.18","64","2001"
"Liechtenstein","96.15","65","2001"
"Netherlands (the)","96.15","66","2001"
"Thailand","95.26","67","2001"
"Italy","95.15","68","2001"
"Mexico","95.12","69","2001"
"Norway","95.09","70","2001"
"Equatorial Guinea","95","71","2001"
"Korea (the Democratic People's Republic of)","94.82","72","2001"
"India","94.78","73","2001"
"Botswana","94.7","74","2001"
"Tonga","94.67","75","2001"
"France","94.56","76","2001"
"Moldova (the Republic of)","94.56","77","2001"
"Samoa","94.48","78","2001"
"Nauru","94.17","79","2001"
"Bulgaria","93.93","80","2001"
"Burundi","93.84","81","2001"
"Switzerland","93.73","82","2001"
"Côte d'Ivoire","93.43","83","2001"
"South Africa","93.31","84","2001"
"Russian Federation (the)","93.29","85","2001"
"Brunei Darussalam","93.23","86","2001"
"Belize","93.1","87","2001"
"United Kingdom","92.95","88","2001"
"New Zealand","92.73","89","2001"
"Papua New Guinea","92.45","90","2001"
"United States of America (the)","92.21","91","2001"
"Romania","92.2","92","2001"
"Libya","91.95","93","2001"
"Fiji","91.9","94","2001"
"Sri Lanka","91.89","95","2001"
"Mali","91.73","96","2001"
"Lebanon","91.51","97","2001"
"Haiti","91.51","98","2001"
"Bahamas (the)","91.28","99","2001"
"Benin","91.15","100","2001"
"Tuvalu","90.87","101","2001"
"Croatia","90.85","102","2001"
"Guinea-Bissau","90.67","103","2001"
"Eritrea","90.2","104","2001"
