"Country","GDP growth (annual %)","Rank","Year"
"South Africa","5.36","106","2007"
"Ireland","5.32","107","2007"
"Finland","5.29","108","2007"
"Vanuatu","5.17","109","2007"
"Suriname","5.11","110","2007"
"Cyprus","5.09","111","2007"
"Nicaragua","5.07","112","2007"
"Croatia","5.06","113","2007"
"Turkey","5.04","114","2007"
"Senegal","4.93","115","2007"
"Cameroon","4.9","116","2007"
"Chile","4.9","117","2007"
"Pakistan","4.83","118","2007"
"Lesotho","4.83","119","2007"
"Malta","4.77","120","2007"
"Trinidad and Tobago","4.75","121","2007"
"Central African Republic (the)","4.6","122","2007"
"Bolivia (Plurinational State of)","4.56","123","2007"
"Oman","4.45","124","2007"
"Solomon Islands","4.45","125","2007"
"Eswatini","4.43","126","2007"
"Ghana","4.34","127","2007"
"World","4.32","","2007"
"Switzerland","4.11","128","2007"
"Burkina Faso","4.11","129","2007"
"Australia","3.84","130","2007"
"Palestine, State of","3.78","131","2007"
"Netherlands (the)","3.77","132","2007"
"Austria","3.72","133","2007"
"Belgium","3.67","134","2007"
"Spain","3.6","135","2007"
"Morocco","3.53","136","2007"
"Mali","3.49","137","2007"
"Burundi","3.45","138","2007"
"Sweden","3.43","139","2007"
"Nepal","3.41","140","2007"
"Algeria","3.39","141","2007"
"Saint Vincent and the Grenadines","3.34","142","2007"
"Yemen","3.33","143","2007"
"Liechtenstein","3.32","144","2007"
"Greece","3.27","145","2007"
"Chad","3.27","146","2007"
"Guinea-Bissau","3.26","147","2007"
"Sao Tome and Principe","3.25","148","2007"
"United Arab Emirates (the)","3.18","149","2007"
"Niger (the)","3.14","150","2007"
"New Zealand","3.07","151","2007"
"Gambia (the)","3.04","152","2007"
"Moldova (the Republic of)","3","153","2007"
"Norway","2.99","154","2007"
"Germany","2.97","155","2007"
"Marshall Islands (the)","2.76","156","2007"
"Portugal","2.5","157","2007"
"Curaçao","2.46","158","2007"
"United Kingdom","2.43","159","2007"
"France","2.42","160","2007"
"Mexico","2.29","161","2007"
"Barbados","2.2","162","2007"
"Ecuador","2.19","163","2007"
"Kiribati","2.03","164","2007"
"Palau","2.02","165","2007"
"United States of America (the)","1.87","166","2007"
"El Salvador","1.86","167","2007"
"Saudi Arabia","1.84","168","2007"
"Côte d'Ivoire","1.76","169","2007"
"Saint Lucia","1.69","170","2007"
"Japan","1.65","171","2007"
"Andorra","1.55","172","2007"
"Italy","1.48","173","2007"
"Bahamas (the)","1.44","174","2007"
"Jamaica","1.43","175","2007"
"Eritrea","1.42","176","2007"
"Iraq","1.37","177","2007"
"Denmark","0.9","178","2007"
"Comoros (the)","0.8","179","2007"
"Saint Kitts and Nevis","0.6","180","2007"
"Belize","0.51","181","2007"
"Tonga","0.27","182","2007"
"Hungary","0.24","183","2007"
"Brunei Darussalam","0.15","184","2007"
"Fiji","-0.86","193","2007"
"Togo","-1.18","194","2007"
"Micronesia (Federated States of)","-1.84","195","2007"
"Mauritania","-1.97","196","2007"
"Zimbabwe","-3.66","197","2007"
"Congo (the)","-6.62","198","2007"
"Nauru","-22.86","199","2007"
"Holy See (the)","null","185","2007"
"Taiwan","null","186","2007"
"Korea (the Democratic People's Republic of)","null","187","2007"
"Somalia","null","188","2007"
"South Sudan","null","189","2007"
"Djibouti","null","190","2007"
"Bonaire","null","191","2007"
"Sint Maarten (Dutch part)","null","192","2007"
"Faroe Islands","null","200","2007"
"United States Minor Outlying Islands","null","201","2007"
"Serranilla Bank","null","202","2007"
"Scarborough Reef","null","203","2007"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2007"
"Spratly Islands","null","205","2007"
"American Samoa","null","206","2007"
"Greenland","null","207","2007"
"Guam","null","208","2007"
"Northern Mariana Islands","null","209","2007"
"Puerto Rico","null","210","2007"
"United States Virgin Islands","null","211","2007"
"Somaliland","null","212","2007"
"Northern Cyprus","null","213","2007"
"Cyprus No Mans Area","null","214","2007"
"Western Sahara","null","215","2007"
"Siachen Glacier","null","216","2007"
"Kosovo","null","217","2007"
