"Country","GDP growth (annual %)","Rank","Year"
"Azerbaijan","25.46","1","2007"
"Bhutan","18.36","2","2007"
"Qatar","17.98","3","2007"
"Equatorial Guinea","15.28","4","2007"
"Cabo Verde","15.17","5","2007"
"Monaco","14.42","6","2007"
"China","14.23","7","2007"
"Angola","14.01","8","2007"
"Afghanistan","13.82","9","2007"
"Armenia","13.7","10","2007"
"Georgia","12.57","11","2007"
"Myanmar","11.99","12","2007"
"Panama","11.98","13","2007"
"Sudan (the)","11.52","14","2007"
"Ethiopia","11.45","15","2007"
"Lithuania","11.1","16","2007"
"Turkmenistan","11.05","17","2007"
"Slovakia","10.83","18","2007"
"Seychelles","10.42","19","2007"
"Mongolia","10.24","20","2007"
"Timor-Leste","10.22","21","2007"
"Cambodia","10.21","22","2007"
"Latvia","10.02","23","2007"
"Malawi","9.6","24","2007"
"Liberia","9.53","25","2007"
"Uzbekistan","9.47","26","2007"
"Iceland","9.36","27","2007"
"Lebanon","9.31","28","2007"
"Antigua and Barbuda","9.31","29","2007"
"Singapore","9.02","30","2007"
"Argentina","9","31","2007"
"Kazakhstan","8.89","32","2007"
"Venezuela (Bolivarian Republic of)","8.75","33","2007"
"Belarus","8.6","34","2007"
"Kyrgyzstan","8.54","35","2007"
"Peru","8.51","36","2007"
"Russian Federation (the)","8.49","37","2007"
"Uganda","8.41","38","2007"
"Luxembourg","8.35","39","2007"
"Zambia","8.35","40","2007"
"Bahrain","8.29","41","2007"
"Botswana","8.27","42","2007"
"Jordan","8.17","43","2007"
"Costa Rica","8.16","44","2007"
"Iran (Islamic Republic of)","8.15","45","2007"
"Sierra Leone","8.05","46","2007"
"Papua New Guinea","7.81","47","2007"
"Tajikistan","7.76","48","2007"
"Mozambique","7.72","49","2007"
"Maldives","7.71","50","2007"
"India","7.66","51","2007"
"Rwanda","7.63","52","2007"
"Ukraine","7.59","53","2007"
"Lao People's Democratic Republic (the)","7.59","54","2007"
"Estonia","7.57","55","2007"
"Dominican Republic (the)","7.41","56","2007"
"Cuba","7.26","57","2007"
"Romania","7.23","58","2007"
"Guyana","7.19","59","2007"
"Viet Nam","7.12","60","2007"
"San Marino","7.1","61","2007"
"Egypt","7.08","62","2007"
"Poland","7.06","63","2007"
"Bangladesh","7.05","64","2007"
"Slovenia","6.98","65","2007"
"Canada","6.86","66","2007"
"Kenya","6.85","67","2007"
"Guinea","6.82","68","2007"
"Montenegro","6.81","69","2007"
"Sri Lanka","6.79","70","2007"
"Tanzania, the United Republic of","6.76","71","2007"
"Colombia","6.73","72","2007"
"Tunisia","6.7","73","2007"
"Nigeria","6.59","74","2007"
"Bulgaria","6.55","75","2007"
"Uruguay","6.54","76","2007"
"Philippines (the)","6.51","77","2007"
"North Macedonia","6.47","78","2007"
"Serbia","6.43","79","2007"
"Libya","6.35","80","2007"
"Dominica","6.35","81","2007"
"Tuvalu","6.35","82","2007"
"Indonesia","6.34","83","2007"
"Samoa","6.32","84","2007"
"Guatemala","6.3","85","2007"
"Malaysia","6.29","86","2007"
"Congo (the Democratic Republic of the)","6.25","87","2007"
"Honduras","6.18","88","2007"
"Grenada","6.12","89","2007"
"Brazil","6.06","90","2007"
"Gabon","6","91","2007"
"Kuwait","5.99","92","2007"
"Benin","5.98","93","2007"
"Albania","5.97","94","2007"
"Bosnia and Herzegovina","5.85","95","2007"
"Korea (the Republic of)","5.79","96","2007"
"Israel","5.77","97","2007"
"Mauritius","5.72","98","2007"
"Madagascar","5.71","99","2007"
"Syrian Arab Republic (the)","5.69","100","2007"
"Czechia","5.57","101","2007"
"Haiti","5.57","102","2007"
"Thailand","5.43","103","2007"
"Paraguay","5.42","104","2007"
"Namibia","5.37","105","2007"
