"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Mozambique","0.11","181","2010"
"Madagascar","0.09","182","2010"
"Chad","0.08","183","2010"
"Ethiopia","0.07","184","2010"
"Malawi","0.07","185","2010"
"Niger (the)","0.07","186","2010"
"Central African Republic (the)","0.06","187","2010"
"Somalia","0.05","188","2010"
"Rwanda","0.05","189","2010"
"Congo (the Democratic Republic of the)","0.03","190","2010"
"Burundi","0.03","191","2010"
"World","0","","2010"
"San Marino","null","192","2010"
"Holy See (the)","null","193","2010"
"Monaco","null","194","2010"
"Taiwan","null","195","2010"
"South Sudan","null","196","2010"
"Bonaire","null","197","2010"
"Curaçao","null","198","2010"
"Sint Maarten (Dutch part)","null","199","2010"
"Faroe Islands","null","200","2010"
"United States Minor Outlying Islands","null","201","2010"
"Serranilla Bank","null","202","2010"
"Scarborough Reef","null","203","2010"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2010"
"Spratly Islands","null","205","2010"
"American Samoa","null","206","2010"
"Greenland","null","207","2010"
"Guam","null","208","2010"
"Northern Mariana Islands","null","209","2010"
"Puerto Rico","null","210","2010"
"United States Virgin Islands","null","211","2010"
"Somaliland","null","212","2010"
"Northern Cyprus","null","213","2010"
"Cyprus No Mans Area","null","214","2010"
"Western Sahara","null","215","2010"
"Siachen Glacier","null","216","2010"
"Kosovo","null","217","2010"
"Faroe Islands","null","218","2010"
"United States Minor Outlying Islands","null","219","2010"
"Serranilla Bank","null","220","2010"
"Scarborough Reef","null","221","2010"
"Bajo Nuevo Bank (Petrel Is.)","null","222","2010"
"Spratly Islands","null","223","2010"
"American Samoa","null","224","2010"
"Greenland","null","225","2010"
"Guam","null","226","2010"
"Northern Mariana Islands","null","227","2010"
"Puerto Rico","null","228","2010"
"United States Virgin Islands","null","229","2010"
"Somaliland","null","230","2010"
"Northern Cyprus","null","231","2010"
"Cyprus No Mans Area","null","232","2010"
"Western Sahara","null","233","2010"
"Siachen Glacier","null","234","2010"
"Kosovo","null","235","2010"
