"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","39.05","1","2010"
"Trinidad and Tobago","36.08","2","2010"
"Kuwait","29.95","3","2010"
"Bahrain","23.58","4","2010"
"Luxembourg","21.63","5","2010"
"Brunei Darussalam","21.1","6","2010"
"Saudi Arabia","18.9","7","2010"
"United Arab Emirates (the)","18.55","8","2010"
"Australia","17.74","9","2010"
"United States of America (the)","17.44","10","2010"
"Oman","15.59","11","2010"
"Canada","15.5","12","2010"
"Kazakhstan","15.22","13","2010"
"Estonia","13.35","14","2010"
"Russian Federation (the)","11.69","15","2010"
"Palau","11.64","16","2010"
"Finland","11.54","17","2010"
"Singapore","11.48","18","2010"
"Korea (the Republic of)","11.43","19","2010"
"Turkmenistan","11.26","20","2010"
"Netherlands (the)","11.15","21","2010"
"Czechia","10.76","22","2010"
"Belgium","10.11","23","2010"
"Norway","10.1","24","2010"
"Libya","9.99","25","2010"
"Germany","9.26","26","2010"
"South Africa","9.17","27","2010"
"Japan","9.15","28","2010"
"Israel","9.03","29","2010"
"Ireland","8.78","30","2010"
"Poland","8.31","31","2010"
"Denmark","8.25","32","2010"
"Austria","8.07","33","2010"
"United Kingdom","7.84","34","2010"
"Malaysia","7.78","35","2010"
"Iran (Islamic Republic of)","7.76","36","2010"
"Greece","7.54","37","2010"
"Slovenia","7.48","38","2010"
"Equatorial Guinea","7.3","39","2010"
"New Zealand","7.29","40","2010"
"Cyprus","6.92","41","2010"
"Italy","6.83","42","2010"
"Slovakia","6.72","43","2010"
"Bahamas (the)","6.72","44","2010"
"Venezuela (Bolivarian Republic of)","6.69","45","2010"
"Belarus","6.64","46","2010"
"Ukraine","6.64","47","2010"
"China","6.56","48","2010"
"Serbia","6.27","49","2010"
"Malta","6.17","50","2010"
"Iceland","6.16","51","2010"
"Andorra","6.12","52","2010"
"Bulgaria","5.96","53","2010"
"Antigua and Barbuda","5.95","54","2010"
"Spain","5.81","55","2010"
"Bosnia and Herzegovina","5.74","56","2010"
"Sweden","5.54","57","2010"
"France","5.42","58","2010"
"Barbados","5.23","59","2010"
"Mongolia","5.08","60","2010"
"Hungary","5.02","61","2010"
"Switzerland","5","62","2010"
"Seychelles","4.94","63","2010"
"Croatia","4.69","64","2010"
"Argentina","4.6","65","2010"
"Portugal","4.55","66","2010"
"Suriname","4.53","67","2010"
"Saint Kitts and Nevis","4.48","68","2010"
"Nauru","4.39","69","2010"
"Lithuania","4.34","70","2010"
"Chile","4.23","71","2010"
"North Macedonia","4.15","72","2010"
"Turkey","4.09","73","2010"
"Mexico","4.06","74","2010"
"Lebanon","4.04","75","2010"
"Romania","3.92","76","2010"
"Montenegro","3.91","77","2010"
"Thailand","3.85","78","2010"
"Latvia","3.84","79","2010"
"Iraq","3.77","80","2010"
"Uzbekistan","3.64","81","2010"
"Azerbaijan","3.38","82","2010"
"Algeria","3.31","83","2010"
"Mauritius","3.13","84","2010"
"Cuba","3.03","85","2010"
"Gabon","2.95","86","2010"
"Jordan","2.91","87","2010"
"Syrian Arab Republic (the)","2.88","88","2010"
"Tunisia","2.6","89","2010"
"Maldives","2.55","90","2010"
"Jamaica","2.54","91","2010"
"Panama","2.53","92","2010"
"Grenada","2.45","93","2010"
"Egypt","2.44","94","2010"
"Dominica","2.43","95","2010"
"Ecuador","2.42","96","2010"
"Marshall Islands (the)","2.4","97","2010"
"Saint Lucia","2.31","98","2010"
"Botswana","2.29","99","2010"
"Guyana","2.29","100","2010"
"Dominican Republic (the)","2.16","101","2010"
"Brazil","2.14","102","2010"
"Korea (the Democratic People's Republic of)","2.06","103","2010"
"Saint Vincent and the Grenadines","2.03","104","2010"
"Peru","2","105","2010"
"Uruguay","1.9","106","2010"
"Indonesia","1.77","107","2010"
"Morocco","1.73","108","2010"
"Moldova (the Republic of)","1.72","109","2010"
"Colombia","1.7","110","2010"
"Belize","1.67","111","2010"
"Georgia","1.66","112","2010"
"Costa Rica","1.65","113","2010"
"Liechtenstein","1.63","114","2010"
"Viet Nam","1.62","115","2010"
"Albania","1.57","116","2010"
"Bolivia (Plurinational State of)","1.51","117","2010"
"Armenia","1.46","118","2010"
"Namibia","1.46","119","2010"
"Fiji","1.42","120","2010"
"India","1.39","121","2010"
"Angola","1.24","122","2010"
"Kyrgyzstan","1.17","123","2010"
"Lesotho","1.14","124","2010"
"Cabo Verde","1.13","125","2010"
"Tonga","1.12","126","2010"
"El Salvador","1.04","127","2010"
"Yemen","1.01","128","2010"
"Samoa","1","129","2010"
"Eswatini","0.99","130","2010"
"Micronesia (Federated States of)","0.99","131","2010"
"Honduras","0.97","132","2010"
"Pakistan","0.94","133","2010"
"Philippines (the)","0.9","134","2010"
"Paraguay","0.81","135","2010"
"Guatemala","0.79","136","2010"
"Nicaragua","0.77","137","2010"
"Nigeria","0.72","138","2010"
"Bhutan","0.71","139","2010"
"Tuvalu","0.69","140","2010"
"Sri Lanka","0.65","141","2010"
"Papua New Guinea","0.65","142","2010"
"Mauritania","0.64","143","2010"
"Zimbabwe","0.61","144","2010"
"Senegal","0.61","145","2010"
"Djibouti","0.61","146","2010"
"Kiribati","0.57","147","2010"
"Benin","0.55","148","2010"
"Sao Tome and Principe","0.54","149","2010"
"Palestine, State of","0.53","150","2010"
"Vanuatu","0.51","151","2010"
"Lao People's Democratic Republic (the)","0.5","152","2010"
"Congo (the)","0.46","153","2010"
"Togo","0.41","154","2010"
"Bangladesh","0.4","155","2010"
"Ghana","0.4","156","2010"
"Cambodia","0.35","157","2010"
"Solomon Islands","0.35","158","2010"
"Sudan (the)","0.34","159","2010"
"Tajikistan","0.33","160","2010"
"Cameroon","0.33","161","2010"
"Côte d'Ivoire","0.33","162","2010"
"Afghanistan","0.28","163","2010"
"Kenya","0.28","164","2010"
"Myanmar","0.26","165","2010"
"Guinea","0.25","166","2010"
"Gambia (the)","0.24","167","2010"
"Comoros (the)","0.23","168","2010"
"Timor-Leste","0.21","169","2010"
"Haiti","0.21","170","2010"
"Liberia","0.19","171","2010"
"Zambia","0.19","172","2010"
"Nepal","0.18","173","2010"
"Tanzania, the United Republic of","0.16","174","2010"
"Eritrea","0.15","175","2010"
"Guinea-Bissau","0.15","176","2010"
"Burkina Faso","0.13","177","2010"
"Mali","0.13","178","2010"
"Uganda","0.12","179","2010"
"Sierra Leone","0.11","180","2010"
