"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Bahrain","119.81","1","2006"
"Marshall Islands (the)","119.34","2","2006"
"Mongolia","117.46","3","2006"
"Malawi","117.15","4","2006"
"Qatar","116.7","5","2006"
"Cambodia","116.32","6","2006"
"Trinidad and Tobago","115.34","7","2006"
"Sierra Leone","114.79","8","2006"
"Niger (the)","114.04","9","2006"
"Bhutan","113.87","10","2006"
"Kuwait","112.29","11","2006"
"Eritrea","112.2","12","2006"
"Morocco","111.93","13","2006"
"Armenia","111.56","14","2006"
"Costa Rica","111.51","15","2006"
"Myanmar","110.92","16","2006"
"Kiribati","110.87","17","2006"
"Cameroon","110.43","18","2006"
"Yemen","109.76","19","2006"
"Kazakhstan","109.01","20","2006"
"Burkina Faso","109.01","21","2006"
"Kenya","108.9","22","2006"
"Suriname","108.65","23","2006"
"Namibia","108.4","24","2006"
"Singapore","107.73","25","2006"
"Tunisia","107.68","26","2006"
"Algeria","107.56","27","2006"
"Iceland","107.15","28","2006"
"Uzbekistan","107.15","29","2006"
"Zambia","106.95","30","2006"
"Peru","106.9","31","2006"
"Nigeria","106.84","32","2006"
"Malta","106.78","33","2006"
"Tanzania, the United Republic of","106.76","34","2006"
"Bangladesh","106.65","35","2006"
"Indonesia","106.6","36","2006"
"Mozambique","106.54","37","2006"
"Dominican Republic (the)","106.45","38","2006"
"Croatia","106.31","39","2006"
"India","105.98","40","2006"
"Ethiopia","105.92","41","2006"
"Madagascar","105.78","42","2006"
"Tonga","105.73","43","2006"
"Timor-Leste","105.56","44","2006"
"Egypt","105.45","45","2006"
"Saint Vincent and the Grenadines","105.45","46","2006"
"Panama","105.29","47","2006"
"Sri Lanka","105.21","48","2006"
"Rwanda","105.21","49","2006"
"Uruguay","105.2","50","2006"
"Solomon Islands","105.12","51","2006"
"Syrian Arab Republic (the)","105.04","52","2006"
"Angola","105.04","53","2006"
"Malaysia","104.98","54","2006"
"El Salvador","104.96","55","2006"
"Sudan (the)","104.95","56","2006"
"Fiji","104.93","57","2006"
"Albania","104.82","58","2006"
"Guinea-Bissau","104.7","59","2006"
"Azerbaijan","104.62","60","2006"
"Iran (Islamic Republic of)","104.53","61","2006"
"Jamaica","104.5","62","2006"
"Iraq","104.37","63","2006"
"Côte d'Ivoire","104.34","64","2006"
"Comoros (the)","104.14","65","2006"
"Congo (the)","104.04","66","2006"
"Bolivia (Plurinational State of)","103.95","67","2006"
"Palestine, State of","103.92","68","2006"
"Guatemala","103.85","69","2006"
"Lao People's Democratic Republic (the)","103.7","70","2006"
"Afghanistan","103.68","71","2006"
"Chile","103.62","72","2006"
"Spain","103.42","73","2006"
"Argentina","103.26","74","2006"
"Turkey","103.25","75","2006"
"Bahamas (the)","103.25","76","2006"
"Mexico","103.21","77","2006"
"Botswana","103.09","78","2006"
"Brazil","103.06","79","2006"
"Australia","103.06","80","2006"
"Chad","103.04","81","2006"
"Viet Nam","102.92","82","2006"
"Ghana","102.79","83","2006"
"Philippines (the)","102.56","84","2006"
"China","102.54","85","2006"
"Dominica","102.53","86","2006"
"Guinea","102.43","87","2006"
"Russian Federation (the)","102.37","88","2006"
"Gabon","102.26","89","2006"
"Venezuela (Bolivarian Republic of)","102.1","90","2006"
"World","102.01","","2006"
"Mauritania","101.92","91","2006"
"Papua New Guinea","101.87","92","2006"
"Equatorial Guinea","101.84","93","2006"
"Jordan","101.81","94","2006"
"Liechtenstein","101.73","95","2006"
"Haiti","101.68","96","2006"
"North Macedonia","101.67","97","2006"
"Sao Tome and Principe","101.65","98","2006"
"Central African Republic (the)","101.5","99","2006"
"Burundi","101.48","100","2006"
"Tuvalu","101.48","101","2006"
