"Country","GDP growth (annual %)","Rank","Year"
"Azerbaijan","34.46","1","2006"
"Qatar","26.17","2","2006"
"Maldives","26.11","3","2006"
"Mauritania","18.33","4","2006"
"Trinidad and Tobago","13.2","5","2006"
"Armenia","13.19","6","2006"
"Myanmar","13.07","7","2006"
"China","12.72","8","2006"
"Antigua and Barbuda","12.7","9","2006"
"Cuba","12.06","10","2006"
"Latvia","11.98","11","2006"
"Angola","11.54","12","2006"
"Turkmenistan","10.97","13","2006"
"Ethiopia","10.83","14","2006"
"Uganda","10.78","15","2006"
"Cambodia","10.77","16","2006"
"Kazakhstan","10.69","17","2006"
"Iraq","10.15","18","2006"
"Sudan (the)","10.06","19","2006"
"Belarus","9.99","20","2006"
"Venezuela (Bolivarian Republic of)","9.87","21","2006"
"United Arab Emirates (the)","9.83","22","2006"
"Estonia","9.71","23","2006"
"Mozambique","9.69","24","2006"
"Georgia","9.41","25","2006"
"Seychelles","9.4","26","2006"
"Rwanda","9.22","27","2006"
"Dominican Republic (the)","9.17","28","2006"
"Sao Tome and Principe","9.11","29","2006"
"Singapore","9","30","2006"
"Panama","8.65","31","2006"
"Liechtenstein","8.64","32","2006"
"Lao People's Democratic Republic (the)","8.61","33","2006"
"Montenegro","8.56","34","2006"
"Mongolia","8.55","35","2006"
"Slovakia","8.49","36","2006"
"Vanuatu","8.46","37","2006"
"Botswana","8.36","38","2006"
"Russian Federation (the)","8.2","39","2006"
"Jordan","8.09","40","2006"
"India","8.06","41","2006"
"Liberia","8.04","42","2006"
"Argentina","8.04","43","2006"
"Romania","8.02","44","2006"
"Congo (the)","7.98","45","2006"
"Cabo Verde","7.98","46","2006"
"Zambia","7.9","47","2006"
"Equatorial Guinea","7.7","48","2006"
"Saint Vincent and the Grenadines","7.68","49","2006"
"Sri Lanka","7.66","50","2006"
"Morocco","7.57","51","2006"
"Peru","7.52","52","2006"
"Kuwait","7.51","53","2006"
"Uzbekistan","7.45","54","2006"
"Ukraine","7.43","55","2006"
"Lithuania","7.41","56","2006"
"Costa Rica","7.23","57","2006"
"Namibia","7.07","58","2006"
"Tajikistan","7.04","59","2006"
"Bhutan","6.99","60","2006"
"Viet Nam","6.97","61","2006"
"Turkey","6.94","62","2006"
"Egypt","6.84","63","2006"
"Bulgaria","6.8","64","2006"
"Czechia","6.76","65","2006"
"Colombia","6.71","66","2006"
"Bangladesh","6.67","67","2006"
"Honduras","6.56","68","2006"
"Tanzania, the United Republic of","6.53","69","2006"
"Libya","6.5","70","2006"
"Kenya","6.47","71","2006"
