"Country","GDP growth (annual %)","Rank","Year"
"Bahrain","6.46","72","2006"
"Ghana","6.39","73","2006"
"Chile","6.31","74","2006"
"Burkina Faso","6.25","75","2006"
"Saint Lucia","6.19","76","2006"
"Poland","6.13","77","2006"
"Nauru","6.06","78","2006"
"Nigeria","6.05","79","2006"
"Eswatini","5.99","80","2006"
"Niger (the)","5.93","81","2006"
"Albania","5.9","82","2006"
"Barbados","5.9","83","2006"
"Pakistan","5.89","84","2006"
"Monaco","5.8","85","2006"
"Suriname","5.79","86","2006"
"Slovenia","5.74","87","2006"
"Greece","5.65","88","2006"
"South Africa","5.6","89","2006"
"Malaysia","5.58","90","2006"
"Israel","5.56","91","2006"
"Indonesia","5.5","92","2006"
"Bosnia and Herzegovina","5.41","93","2006"
"Burundi","5.41","94","2006"
"Papua New Guinea","5.4","95","2006"
"Madagascar","5.39","96","2006"
"Oman","5.37","97","2006"
"Guatemala","5.37","98","2006"
"Afghanistan","5.35","99","2006"
"Congo (the Democratic Republic of the)","5.32","100","2006"
"Philippines (the)","5.31","101","2006"
"Korea (the Republic of)","5.26","102","2006"
"Iceland","5.24","103","2006"
"Tunisia","5.24","104","2006"
"Luxembourg","5.17","105","2006"
"North Macedonia","5.13","106","2006"
"Guyana","5.12","107","2006"
"Serbia","5.1","108","2006"
"Ireland","5.07","109","2006"
"Croatia","4.99","110","2006"
"Iran (Islamic Republic of)","4.99","111","2006"
"Syrian Arab Republic (the)","4.99","112","2006"
"Thailand","4.96","113","2006"
"Mauritius","4.86","114","2006"
"Solomon Islands","4.86","115","2006"
"Belize","4.81","116","2006"
"Andorra","4.8","117","2006"
"Paraguay","4.8","118","2006"
"Moldova (the Republic of)","4.79","119","2006"
"Bolivia (Plurinational State of)","4.79","120","2006"
"Central African Republic (the)","4.77","121","2006"
"Cyprus","4.71","122","2006"
"Malawi","4.69","123","2006"
"Sweden","4.66","124","2006"
"Mali","4.66","125","2006"
"Dominica","4.65","126","2006"
"Mexico","4.49","127","2006"
"Ecuador","4.4","128","2006"
"Brunei Darussalam","4.39","129","2006"
"World","4.37","","2006"
"El Salvador","4.34","130","2006"
"Lesotho","4.23","131","2006"
"Sierra Leone","4.22","132","2006"
"Canada","4.16","133","2006"
"Nicaragua","4.15","134","2006"
"Spain","4.1","135","2006"
"Uruguay","4.09","136","2006"
"Hungary","4.03","137","2006"
"Finland","4.02","138","2006"
"Switzerland","3.98","139","2006"
"Brazil","3.96","140","2006"
"Benin","3.94","141","2006"
"Denmark","3.91","142","2006"
"San Marino","3.83","143","2006"
"Germany","3.81","144","2006"
"Netherlands (the)","3.46","145","2006"
"Austria","3.45","146","2006"
"Cameroon","3.45","147","2006"
"Nepal","3.36","148","2006"
"Yemen","3.17","149","2006"
"Saint Kitts and Nevis","3.14","150","2006"
"Kyrgyzstan","3.1","151","2006"
"Jamaica","2.89","152","2006"
"United States of America (the)","2.85","153","2006"
"New Zealand","2.84","154","2006"
"Australia","2.79","155","2006"
"United Kingdom","2.78","156","2006"
"Saudi Arabia","2.78","157","2006"
"Togo","2.65","158","2006"
"Comoros (the)","2.64","159","2006"
"Belgium","2.55","160","2006"
"Malta","2.51","161","2006"
"Bahamas (the)","2.51","162","2006"
"Senegal","2.46","163","2006"
"France","2.44","164","2006"
"Norway","2.39","165","2006"
"Guinea-Bissau","2.3","166","2006"
"Tuvalu","2.13","167","2006"
"Samoa","1.96","168","2006"
"Fiji","1.85","169","2006"
"Italy","1.79","170","2006"
"Haiti","1.74","171","2006"
"Algeria","1.7","172","2006"
"Curaçao","1.63","173","2006"
"Portugal","1.62","174","2006"
"Lebanon","1.54","175","2006"
"Côte d'Ivoire","1.51","176","2006"
"Japan","1.42","177","2006"
"Guinea","1.16","178","2006"
"Marshall Islands (the)","0.66","179","2006"
"Chad","0.64","180","2006"
"Kiribati","-0.05","189","2006"
"Micronesia (Federated States of)","-0.09","190","2006"
"Tonga","-0.15","191","2006"
"Palau","-0.41","192","2006"
"Gambia (the)","-0.56","193","2006"
"Eritrea","-0.97","194","2006"
"Palestine, State of","-1","195","2006"
"Gabon","-2.81","196","2006"
"Zimbabwe","-3.47","197","2006"
"Grenada","-4","198","2006"
"Timor-Leste","-4.11","199","2006"
"Holy See (the)","null","181","2006"
"Taiwan","null","182","2006"
"Korea (the Democratic People's Republic of)","null","183","2006"
"Somalia","null","184","2006"
"South Sudan","null","185","2006"
"Djibouti","null","186","2006"
"Bonaire","null","187","2006"
"Sint Maarten (Dutch part)","null","188","2006"
"Faroe Islands","null","200","2006"
"United States Minor Outlying Islands","null","201","2006"
"Serranilla Bank","null","202","2006"
"Scarborough Reef","null","203","2006"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2006"
"Spratly Islands","null","205","2006"
"American Samoa","null","206","2006"
"Greenland","null","207","2006"
"Guam","null","208","2006"
"Northern Mariana Islands","null","209","2006"
"Puerto Rico","null","210","2006"
"United States Virgin Islands","null","211","2006"
"Somaliland","null","212","2006"
"Northern Cyprus","null","213","2006"
"Cyprus No Mans Area","null","214","2006"
"Western Sahara","null","215","2006"
"Siachen Glacier","null","216","2006"
"Kosovo","null","217","2006"
