"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Niger (the)","161.46","1","2008"
"Mongolia","149.4","2","2008"
"Tonga","141.19","3","2008"
"Cambodia","139.5","4","2008"
"Senegal","136.77","5","2008"
"Malawi","135.9","6","2008"
"Croatia","130.22","7","2008"
"Angola","129.68","8","2008"
"Marshall Islands (the)","129.05","9","2008"
"Ukraine","127.2","10","2008"
"Russian Federation (the)","124.81","11","2008"
"Myanmar","123.79","12","2008"
"Qatar","123.73","13","2008"
"Lithuania","123.62","14","2008"
"Armenia","123.53","15","2008"
"Burkina Faso","122.82","16","2008"
"Bangladesh","122.15","17","2008"
"Lao People's Democratic Republic (the)","121.85","18","2008"
"Kuwait","121.82","19","2008"
"Brazil","121.76","20","2008"
"Guinea-Bissau","121.31","21","2008"
"Cameroon","121.06","22","2008"
"Latvia","120.51","23","2008"
"El Salvador","120.01","24","2008"
"Paraguay","119.96","25","2008"
"Belarus","119.93","26","2008"
"Guatemala","119.76","27","2008"
"Albania","119.15","28","2008"
"Yemen","119.15","29","2008"
"Argentina","119.15","30","2008"
"Estonia","118.56","31","2008"
"Uruguay","118.56","32","2008"
"Solomon Islands","117.78","33","2008"
"Peru","117.76","34","2008"
"India","117.28","35","2008"
"Suriname","116.87","36","2008"
"Uzbekistan","116.15","37","2008"
"Kiribati","116.03","38","2008"
"Sri Lanka","115.71","39","2008"
"Benin","115.48","40","2008"
"Indonesia","114.92","41","2008"
"Rwanda","114.73","42","2008"
"China","114.71","43","2008"
"Canada","114.48","44","2008"
"Mali","113.85","45","2008"
"Zambia","113.79","46","2008"
"Philippines (the)","113.54","47","2008"
"Saint Lucia","113.26","48","2008"
"Ethiopia","113.01","49","2008"
"South Africa","112.73","50","2008"
"Congo (the)","112.56","51","2008"
"Timor-Leste","112.51","52","2008"
"Papua New Guinea","112.5","53","2008"
"Ghana","112.35","54","2008"
"Madagascar","112.21","55","2008"
"Egypt","112.09","56","2008"
"Austria","112.01","57","2008"
"Malaysia","111.81","58","2008"
"New Zealand","111.57","59","2008"
"Viet Nam","111.4","60","2008"
"Guinea","111.29","61","2008"
"Togo","110.98","62","2008"
"Gabon","110.56","63","2008"
"Haiti","110.32","64","2008"
"World","110.14","","2008"
"Mauritania","110.04","65","2008"
"Thailand","109.92","66","2008"
"Tunisia","109.92","67","2008"
"Bahamas (the)","109.73","68","2008"
"Bahrain","109.4","69","2008"
"Tanzania, the United Republic of","109.31","70","2008"
"Oman","109.29","71","2008"
"Slovakia","109.2","72","2008"
"Kenya","108.71","73","2008"
"Honduras","108.51","74","2008"
"Saint Vincent and the Grenadines","108.45","75","2008"
"Mexico","108.31","76","2008"
"Chad","108.26","77","2008"
"Moldova (the Republic of)","108.23","78","2008"
"Comoros (the)","108.07","79","2008"
"Norway","107.98","80","2008"
"Central African Republic (the)","107.75","81","2008"
"Nepal","107.48","82","2008"
"Azerbaijan","107.48","83","2008"
"Liberia","107.18","84","2008"
"Botswana","107.18","85","2008"
"Pakistan","106.96","86","2008"
"Tajikistan","106.95","87","2008"
"Ecuador","106.95","88","2008"
"Equatorial Guinea","106.93","89","2008"
"Djibouti","106.9","90","2008"
"United Kingdom","106.81","91","2008"
"Czechia","106.5","92","2008"
"Antigua and Barbuda","106.09","93","2008"
"North Macedonia","105.92","94","2008"
"Bulgaria","105.75","95","2008"
"Malta","105.68","96","2008"
"Côte d'Ivoire","105.59","97","2008"
"Poland","105.51","98","2008"
"Dominica","105.37","99","2008"
"Denmark","104.76","100","2008"
"Kazakhstan","104.76","101","2008"
"Iceland","104.71","102","2008"
"Libya","104.34","103","2008"
"Nauru","104.32","104","2008"
"Nigeria","104.31","105","2008"
"Sierra Leone","104.28","106","2008"
"Panama","104.18","107","2008"
"Hungary","103.57","108","2008"
"Germany","103.53","109","2008"
"Tuvalu","103.48","110","2008"
"Venezuela (Bolivarian Republic of)","103.32","111","2008"
"Finland","103.2","112","2008"
"Vanuatu","103.12","113","2008"
"Costa Rica","103","114","2008"
"Afghanistan","102.9","115","2008"
"Netherlands (the)","102.84","116","2008"
"Bolivia (Plurinational State of)","102.84","117","2008"
"Colombia","102.54","118","2008"
"Bosnia and Herzegovina","102.37","119","2008"
"Congo (the Democratic Republic of the)","102.32","120","2008"
"Serbia","102.28","121","2008"
"Samoa","101.71","122","2008"
"Nicaragua","101.48","123","2008"
"United States of America (the)","101.34","124","2008"
"Sweden","101.2","125","2008"
"Gambia (the)","101.09","126","2008"
"Burundi","101.09","127","2008"
"Cabo Verde","101.06","128","2008"
"Turkey","100.98","129","2008"
"Kyrgyzstan","100.95","130","2008"
"Japan","100.84","131","2008"
"Korea (the Republic of)","100.7","132","2008"
"Mozambique","100.53","133","2008"
"Liechtenstein","100.26","134","2008"
"Singapore","100.2","135","2008"
"Lebanon","100.12","136","2008"
"Switzerland","100.06","137","2008"
"Namibia","100","138","2008"
"Spain","99.89","139","2008"
"Sao Tome and Principe","99.31","140","2008"
"Korea (the Democratic People's Republic of)","99.26","141","2008"
"Chile","99.21","142","2008"
"Sudan (the)","99.06","143","2008"
"Eswatini","98.87","144","2008"
"France","98.84","145","2008"
