"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Sierra Leone","0.1","181","2009"
"Madagascar","0.08","182","2009"
"Chad","0.08","183","2009"
"Ethiopia","0.07","184","2009"
"Malawi","0.07","185","2009"
"Niger (the)","0.06","186","2009"
"Somalia","0.05","187","2009"
"Central African Republic (the)","0.05","188","2009"
"Rwanda","0.05","189","2009"
"Congo (the Democratic Republic of the)","0.02","190","2009"
"Burundi","0.02","191","2009"
"World","0","","2009"
"San Marino","null","192","2009"
"Holy See (the)","null","193","2009"
"Monaco","null","194","2009"
"Taiwan","null","195","2009"
"South Sudan","null","196","2009"
"Bonaire","null","197","2009"
"Curaçao","null","198","2009"
"Sint Maarten (Dutch part)","null","199","2009"
"Faroe Islands","null","200","2009"
"United States Minor Outlying Islands","null","201","2009"
"Serranilla Bank","null","202","2009"
"Scarborough Reef","null","203","2009"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2009"
"Spratly Islands","null","205","2009"
"American Samoa","null","206","2009"
"Greenland","null","207","2009"
"Guam","null","208","2009"
"Northern Mariana Islands","null","209","2009"
"Puerto Rico","null","210","2009"
"United States Virgin Islands","null","211","2009"
"Somaliland","null","212","2009"
"Northern Cyprus","null","213","2009"
"Cyprus No Mans Area","null","214","2009"
"Western Sahara","null","215","2009"
"Siachen Glacier","null","216","2009"
"Kosovo","null","217","2009"
"Faroe Islands","null","218","2009"
"United States Minor Outlying Islands","null","219","2009"
"Serranilla Bank","null","220","2009"
"Scarborough Reef","null","221","2009"
"Bajo Nuevo Bank (Petrel Is.)","null","222","2009"
"Spratly Islands","null","223","2009"
"American Samoa","null","224","2009"
"Greenland","null","225","2009"
"Guam","null","226","2009"
"Northern Mariana Islands","null","227","2009"
"Puerto Rico","null","228","2009"
"United States Virgin Islands","null","229","2009"
"Somaliland","null","230","2009"
"Northern Cyprus","null","231","2009"
"Cyprus No Mans Area","null","232","2009"
"Western Sahara","null","233","2009"
"Siachen Glacier","null","234","2009"
"Kosovo","null","235","2009"
