"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Georgia","132.09","1","2005"
"Eritrea","119.28","2","2005"
"Estonia","117.23","3","2005"
"Lithuania","114.26","4","2005"
"Senegal","113.95","5","2005"
"Armenia","113.43","6","2005"
"Latvia","111.93","7","2005"
"Chad","110.84","8","2005"
"Barbados","109.54","9","2005"
"Afghanistan","109.23","10","2005"
"Finland","107.45","11","2005"
"Bhutan","107.31","12","2005"
"Nicaragua","107.07","13","2005"
"Azerbaijan","106.65","14","2005"
"Argentina","106.06","15","2005"
"South Africa","106","16","2005"
"Burkina Faso","105.6","17","2005"
"Cambodia","105.31","18","2005"
"Ethiopia","105.21","19","2005"
"Kenya","104.75","20","2005"
"Mauritania","104.65","21","2005"
"Greece","104.54","22","2005"
"Benin","104.35","23","2005"
"Turkmenistan","104.2","24","2005"
"Honduras","104.12","25","2005"
"Saint Vincent and the Grenadines","104.06","26","2005"
"Niger (the)","103.84","27","2005"
"United Arab Emirates (the)","103.59","28","2005"
"Cameroon","103.59","29","2005"
"Solomon Islands","103.43","30","2005"
"Iran (Islamic Republic of)","103.21","31","2005"
"Eswatini","103.15","32","2005"
"Bangladesh","103.06","33","2005"
"Madagascar","103.03","34","2005"
"Sweden","102.85","35","2005"
"Liberia","102.67","36","2005"
"Mali","102.59","37","2005"
"Japan","102.56","38","2005"
"Venezuela (Bolivarian Republic of)","102.54","39","2005"
"Canada","102.51","40","2005"
"Slovakia","102.45","41","2005"
"Pakistan","102.4","42","2005"
"Tunisia","102.15","43","2005"
"Djibouti","102.12","44","2005"
"Belize","102","45","2005"
"Denmark","101.96","46","2005"
"Haiti","101.95","47","2005"
"Sri Lanka","101.9","48","2005"
"Turkey","101.7","49","2005"
"Timor-Leste","101.62","50","2005"
"Somalia","101.62","51","2005"
"Botswana","101.59","52","2005"
"Angola","101.56","53","2005"
"Samoa","101.37","54","2005"
"Bolivia (Plurinational State of)","101.31","55","2005"
"Jordan","101.29","56","2005"
"New Zealand","101.25","57","2005"
"Sudan (the)","101.15","58","2005"
"Korea (the Democratic People's Republic of)","101.03","59","2005"
"United Kingdom","101.01","60","2005"
"Rwanda","101.01","61","2005"
"Libya","100.92","62","2005"
"Belgium","100.89","63","2005"
"Iraq","100.76","64","2005"
"Chile","100.7","65","2005"
"Lao People's Democratic Republic (the)","100.68","66","2005"
"Guinea","100.64","67","2005"
"Sao Tome and Principe","100.6","68","2005"
"Iceland","100.59","69","2005"
"Czechia","100.57","70","2005"
"Russian Federation (the)","100.57","71","2005"
"Italy","100.56","72","2005"
"Equatorial Guinea","100.56","73","2005"
"Guinea-Bissau","100.56","74","2005"
"Tuvalu","100.48","75","2005"
"Korea (the Republic of)","100.4","76","2005"
"Uganda","100.34","77","2005"
"Ukraine","100.32","78","2005"
"Nepal","100.26","79","2005"
"Kazakhstan","100.26","80","2005"
"Congo (the)","100.25","81","2005"
"North Macedonia","100.23","82","2005"
"Saudi Arabia","100.23","83","2005"
"China","100.1","84","2005"
"Central African Republic (the)","100.06","85","2005"
"Congo (the Democratic Republic of the)","100.04","86","2005"
"United States of America (the)","100","87","2005"
"Nauru","100","88","2005"
"Slovenia","99.98","89","2005"
"Uzbekistan","99.95","90","2005"
"India","99.9","91","2005"
"Vanuatu","99.9","92","2005"
"World","99.87","","2005"
"Côte d'Ivoire","99.84","93","2005"
"Moldova (the Republic of)","99.82","94","2005"
"Syrian Arab Republic (the)","99.81","95","2005"
"Gabon","99.81","96","2005"
"Ecuador","99.78","97","2005"
"Micronesia (Federated States of)","99.78","98","2005"
"Israel","99.73","99","2005"
"Ghana","99.73","100","2005"
"Papua New Guinea","99.7","101","2005"
"Malaysia","99.62","102","2005"
"Philippines (the)","99.59","103","2005"
"Guatemala","99.57","104","2005"
"Nigeria","99.46","105","2005"
"Germany","99.45","106","2005"
"Liechtenstein","99.42","107","2005"
"Viet Nam","99.4","108","2005"
"Brunei Darussalam","99.29","109","2005"
"Peru","99.2","110","2005"
"Myanmar","99.18","111","2005"
"Colombia","99.18","112","2005"
"Lesotho","99.14","113","2005"
"Zambia","99.12","114","2005"
"France","99.03","115","2005"
"Netherlands (the)","99.03","116","2005"
"Croatia","98.95","117","2005"
"Kuwait","98.81","118","2005"
"Mauritius","98.81","119","2005"
"Egypt","98.64","120","2005"
"Austria","98.62","121","2005"
"Dominica","98.6","122","2005"
"Indonesia","98.45","123","2005"
"Oman","98.42","124","2005"
"Singapore","98.39","125","2005"
"Fiji","98.31","126","2005"
"Algeria","98.2","127","2005"
"Thailand","98.07","128","2005"
"Paraguay","98.04","129","2005"
"Poland","98.03","130","2005"
"Brazil","97.95","131","2005"
"Tajikistan","97.85","132","2005"
"Cabo Verde","97.81","133","2005"
"El Salvador","97.81","134","2005"
"Bahamas (the)","97.76","135","2005"
"Uruguay","97.73","136","2005"
"Albania","97.29","137","2005"
"Suriname","97.26","138","2005"
"Tonga","97.26","139","2005"
"Switzerland","97.21","140","2005"
"Tanzania, the United Republic of","97.18","141","2005"
"Mexico","96.93","142","2005"
"Panama","96.84","143","2005"
"Cuba","96.79","144","2005"
"Yemen","96.76","145","2005"
"Marshall Islands (the)","96.7","146","2005"
"Ireland","96.68","147","2005"
"Costa Rica","96.64","148","2005"
"Australia","96.5","149","2005"
"Norway","96.48","150","2005"
"Seychelles","96.48","151","2005"
"Bosnia and Herzegovina","96.43","152","2005"
"Togo","95.76","153","2005"
"Kyrgyzstan","95.62","154","2005"
"Comoros (the)","95.62","155","2005"
"Lebanon","95.48","156","2005"
"Hungary","95.43","157","2005"
"Namibia","95.23","158","2005"
"Dominican Republic (the)","95.07","159","2005"
"Kiribati","94.92","160","2005"
"Cyprus","94.81","161","2005"
"Belarus","94.43","162","2005"
"Malta","94.18","163","2005"
"Mozambique","93.39","164","2005"
"Qatar","93.32","165","2005"
"Luxembourg","93.23","166","2005"
"Guyana","92.96","167","2005"
"Portugal","92.37","168","2005"
"Jamaica","92.29","169","2005"
"Sierra Leone","92.15","170","2005"
"Palestine, State of","92.04","171","2005"
"Romania","91.96","172","2005"
"Gambia (the)","91.82","173","2005"
"Spain","91.68","174","2005"
"Burundi","91.14","175","2005"
"Morocco","89.31","176","2005"
"Trinidad and Tobago","89.2","177","2005"
"Maldives","88.84","178","2005"
"Antigua and Barbuda","88.81","179","2005"
"Saint Lucia","87.98","180","2005"
"Saint Kitts and Nevis","87","181","2005"
"Zimbabwe","86.78","182","2005"
"Bahrain","85.75","183","2005"
"Bulgaria","85.54","184","2005"
"Malawi","84.26","185","2005"
"Mongolia","80.46","186","2005"
"Grenada","74.48","187","2005"
"Montenegro","null","188","2005"
"Serbia","null","189","2005"
"San Marino","null","190","2005"
"Holy See (the)","null","191","2005"
"Andorra","null","192","2005"
"Monaco","null","193","2005"
