"Country","GDP growth (annual %)","Rank","Year"
"Equatorial Guinea","63.37","1","2001"
"Timor-Leste","16.34","2","2001"
"Mali","15.37","3","2001"
"Kazakhstan","13.49","4","2001"
"Mozambique","12.08","5","2001"
"Chad","11.65","6","2001"
"Myanmar","11.34","7","2001"
"Azerbaijan","9.9","8","2001"
"Armenia","9.59","9","2001"
"Tajikistan","9.58","10","2001"
"Ukraine","9.2","11","2001"
"Eritrea","8.75","12","2001"
"Rwanda","8.48","13","2001"
"Bhutan","8.34","14","2001"
"China","8.33","15","2001"
"Ethiopia","8.3","16","2001"
"Albania","8.29","17","2001"
"Andorra","8.11","18","2001"
"Cambodia","7.44","19","2001"
"Morocco","7.31","20","2001"
"Niger (the)","7.26","21","2001"
"Samoa","6.93","22","2001"
"Serbia","6.87","23","2001"
"Marshall Islands (the)","6.82","24","2001"
"Burkina Faso","6.61","25","2001"
"Lithuania","6.52","26","2001"
"Sudan (the)","6.5","27","2001"
"Palau","6.44","28","2001"
"Latvia","6.32","29","2001"
"Viet Nam","6.19","30","2001"
"Moldova (the Republic of)","6.1","31","2001"
"Tanzania, the United Republic of","6.07","32","2001"
"Madagascar","5.98","33","2001"
"Estonia","5.97","34","2001"
"Nigeria","5.91","35","2001"
"Gambia (the)","5.8","36","2001"
"Lao People's Democratic Republic (the)","5.75","37","2001"
"San Marino","5.57","38","2001"
"Benin","5.33","39","2001"
"Kyrgyzstan","5.32","40","2001"
"Zambia","5.31","41","2001"
"Saint Kitts and Nevis","5.3","42","2001"
"Ireland","5.27","43","2001"
"Jordan","5.26","44","2001"
"Romania","5.21","45","2001"
"Syrian Arab Republic (the)","5.2","46","2001"
"Uganda","5.18","47","2001"
"Russian Federation (the)","5.1","48","2001"
"Bangladesh","5.07","49","2001"
"Korea (the Republic of)","4.85","50","2001"
"India","4.82","51","2001"
"Georgia","4.8","52","2001"
"Nepal","4.79","53","2001"
"Belarus","4.72","54","2001"
"Belize","4.68","55","2001"
"Senegal","4.58","56","2001"
"Oman","4.48","57","2001"
"Central African Republic (the)","4.46","58","2001"
"Bosnia and Herzegovina","4.39","59","2001"
"Cameroon","4.36","60","2001"
"Turkmenistan","4.34","61","2001"
"Angola","4.2","62","2001"
"Suriname","4.2","63","2001"
"Uzbekistan","4.16","64","2001"
"Trinidad and Tobago","4.16","65","2001"
"Greece","4.13","66","2001"
"Hungary","4.07","67","2001"
"Ecuador","4.01","68","2001"
"Ghana","4","69","2001"
"Cyprus","3.95","70","2001"
"Spain","3.93","71","2001"
"Iceland","3.89","72","2001"
"Qatar","3.89","73","2001"
"Lebanon","3.83","74","2001"
"Bulgaria","3.81","75","2001"
"Yemen","3.8","76","2001"
"Congo (the)","3.8","77","2001"
"Tunisia","3.79","78","2001"
"Kenya","3.77","79","2001"
"Tonga","3.74","80","2001"
"Guinea","3.65","81","2001"
"Indonesia","3.64","82","2001"
"Lesotho","3.56","83","2001"
"Pakistan","3.55","84","2001"
"Egypt","3.53","85","2001"
"Costa Rica","3.49","86","2001"
"New Zealand","3.46","87","2001"
"Thailand","3.44","88","2001"
"Venezuela (Bolivarian Republic of)","3.39","89","2001"
"Mauritius","3.34","90","2001"
"Chile","3.3","91","2001"
"Slovakia","3.25","92","2001"
"Slovenia","3.21","93","2001"
"Cuba","3.18","94","2001"
"Czechia","3.04","95","2001"
"Philippines (the)","3.04","96","2001"
"Algeria","2.99","97","2001"
"United Kingdom","2.97","98","2001"
"Nicaragua","2.96","99","2001"
"Croatia","2.95","100","2001"
"Mongolia","2.95","101","2001"
"Liberia","2.92","102","2001"
"Brunei Darussalam","2.74","103","2001"
"Honduras","2.72","104","2001"
"South Africa","2.69","105","2001"
"Bahamas (the)","2.62","106","2001"
"Finland","2.61","107","2001"
"Luxembourg","2.53","108","2001"
"Bahrain","2.49","109","2001"
"Dominican Republic (the)","2.45","110","2001"
"Comoros (the)","2.33","111","2001"
"Guatemala","2.33","112","2001"
"Netherlands (the)","2.32","113","2001"
"Iraq","2.3","114","2001"
"Guyana","2.27","115","2001"
"Cabo Verde","2.23","116","2001"
"Monaco","2.18","117","2001"
"Guinea-Bissau","2.18","118","2001"
"Micronesia (Federated States of)","2.16","119","2001"
"Gabon","2.13","120","2001"
"Norway","2.07","121","2001"
"Burundi","2.05","122","2001"
"Fiji","2","123","2001"
"France","1.98","124","2001"
"World","1.96","","2001"
"Italy","1.95","125","2001"
"Portugal","1.94","126","2001"
"Australia","1.93","127","2001"
"Saint Vincent and the Grenadines","1.7","128","2001"
"Germany","1.68","129","2001"
"Bolivia (Plurinational State of)","1.68","130","2001"
"Colombia","1.67","131","2001"
"Tuvalu","1.63","132","2001"
"Sweden","1.44","133","2001"
"Zimbabwe","1.43","134","2001"
"Canada","1.4","135","2001"
"United Arab Emirates (the)","1.39","136","2001"
"Brazil","1.38","137","2001"
"Jamaica","1.34","138","2001"
"Switzerland","1.31","139","2001"
"Austria","1.26","140","2001"
"Poland","1.25","141","2001"
"Namibia","1.17","142","2001"
"Montenegro","1.09","143","2001"
"Belgium","1.09","144","2001"
"Eswatini","1.05","145","2001"
"United States of America (the)","0.99","146","2001"
"El Salvador","0.87","147","2001"
"Denmark","0.82","148","2001"
"Togo","0.82","149","2001"
"Iran (Islamic Republic of)","0.77","150","2001"
"Peru","0.61","151","2001"
"Panama","0.57","152","2001"
"Malaysia","0.51","153","2001"
"Japan","0.4","154","2001"
"Botswana","0.25","155","2001"
"Kuwait","0.21","156","2001"
"Côte d'Ivoire","0.12","157","2001"
"Israel","0.11","158","2001"
"Dominica","-0.07","170","2001"
"Papua New Guinea","-0.13","171","2001"
"Haiti","-0.34","172","2001"
"Mexico","-0.41","173","2001"
"Curaçao","-0.7","174","2001"
"Liechtenstein","-0.74","175","2001"
"Mauritania","-0.8","176","2001"
"Paraguay","-0.84","177","2001"
"Singapore","-1.07","178","2001"
"Malta","-1.18","179","2001"
"Saudi Arabia","-1.22","180","2001"
"Kiribati","-1.48","181","2001"
"Sri Lanka","-1.55","182","2001"
"Libya","-1.77","183","2001"
"Grenada","-2.03","184","2001"
"Congo (the Democratic Republic of the)","-2.11","185","2001"
"Seychelles","-2.28","186","2001"
"Barbados","-2.37","187","2001"
"North Macedonia","-3.07","188","2001"
"Vanuatu","-3.4","189","2001"
"Saint Lucia","-3.41","190","2001"
"Uruguay","-3.85","191","2001"
"Maldives","-3.95","192","2001"
"Argentina","-4.41","193","2001"
"Antigua and Barbuda","-4.55","194","2001"
"Malawi","-4.98","195","2001"
"Turkey","-5.76","196","2001"
"Sierra Leone","-6.35","197","2001"
"Solomon Islands","-7.97","198","2001"
"Palestine, State of","-9.32","199","2001"
"Holy See (the)","null","159","2001"
"Afghanistan","null","160","2001"
"Taiwan","null","161","2001"
"Korea (the Democratic People's Republic of)","null","162","2001"
"Somalia","null","163","2001"
"South Sudan","null","164","2001"
"Sao Tome and Principe","null","165","2001"
"Djibouti","null","166","2001"
"Bonaire","null","167","2001"
"Sint Maarten (Dutch part)","null","168","2001"
"Nauru","null","169","2001"
"Faroe Islands","null","200","2001"
"United States Minor Outlying Islands","null","201","2001"
"Serranilla Bank","null","202","2001"
"Scarborough Reef","null","203","2001"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2001"
"Spratly Islands","null","205","2001"
"American Samoa","null","206","2001"
"Greenland","null","207","2001"
"Guam","null","208","2001"
"Northern Mariana Islands","null","209","2001"
"Puerto Rico","null","210","2001"
"United States Virgin Islands","null","211","2001"
"Somaliland","null","212","2001"
"Northern Cyprus","null","213","2001"
"Cyprus No Mans Area","null","214","2001"
"Western Sahara","null","215","2001"
"Siachen Glacier","null","216","2001"
"Kosovo","null","217","2001"
