"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Grenada","169.37","1","2016"
"Vanuatu","128.4","2","2016"
"Marshall Islands (the)","126.67","3","2016"
"Uzbekistan","121.73","4","2016"
"Bosnia and Herzegovina","118.2","5","2016"
"Mali","114.4","6","2016"
"Montenegro","112.15","7","2016"
"Sri Lanka","111.7","8","2016"
"Mongolia","111.35","9","2016"
"Gambia (the)","111.32","10","2016"
"Croatia","110.84","11","2016"
"Saudi Arabia","110.54","12","2016"
"Iceland","110.53","13","2016"
"Bhutan","109.43","14","2016"
"Serbia","109.1","15","2016"
"Kazakhstan","108.65","16","2016"
"Canada","108.32","17","2016"
"Slovakia","108.31","18","2016"
"Niger (the)","108.2","19","2016"
"Sudan (the)","108.14","20","2016"
"Nicaragua","107.96","21","2016"
"Moldova (the Republic of)","107.9","22","2016"
"Honduras","107.79","23","2016"
"Chad","106.75","24","2016"
"Liberia","106.7","25","2016"
"United States of America (the)","106.43","26","2016"
"Spain","106.31","27","2016"
"Kyrgyzstan","106.31","28","2016"
"Oman","106.06","29","2016"
"Latvia","105.65","30","2016"
"Mexico","105.62","31","2016"
"United Arab Emirates (the)","105.54","32","2016"
"Hungary","105.23","33","2016"
"El Salvador","105.18","34","2016"
"Guinea-Bissau","105.12","35","2016"
"Colombia","104.93","36","2016"
"Cameroon","104.81","37","2016"
"Brunei Darussalam","104.51","38","2016"
"Mozambique","104.51","39","2016"
"Afghanistan","104.5","40","2016"
"North Macedonia","104.29","41","2016"
"Albania","104.26","42","2016"
"Turkmenistan","104.15","43","2016"
"Azerbaijan","104.12","44","2016"
"Lao People's Democratic Republic (the)","104.09","45","2016"
"Ukraine","103.87","46","2016"
"Nigeria","103.76","47","2016"
"Guinea","103.65","48","2016"
"Tajikistan","103.57","49","2016"
"Malaysia","103.5","50","2016"
"Cambodia","103.45","51","2016"
"Angola","103.35","52","2016"
"Jordan","103.29","53","2016"
"Central African Republic (the)","103.23","54","2016"
"Russian Federation (the)","103.18","55","2016"
"Turkey","103.12","56","2016"
"Equatorial Guinea","103.1","57","2016"
"Burundi","103.1","58","2016"
"Indonesia","102.98","59","2016"
"Pakistan","102.95","60","2016"
"Dominican Republic (the)","102.93","61","2016"
