"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Saint Kitts and Nevis","188.84","1","2004"
"Grenada","138.93","2","2004"
"Bulgaria","125.04","3","2004"
"Cuba","123.07","4","2004"
"Zimbabwe","117.14","5","2004"
"Ireland","116.4","6","2004"
"Romania","116.28","7","2004"
"Antigua and Barbuda","116.28","8","2004"
"Cyprus","116.14","9","2004"
"Saint Lucia","114.71","10","2004"
"Maldives","112.31","11","2004"
"Poland","112.09","12","2004"
"Lithuania","111.67","13","2004"
"Czechia","111.56","14","2004"
"Luxembourg","111.37","15","2004"
"Brunei Darussalam","111.06","16","2004"
"Hungary","111.01","17","2004"
"Gambia (the)","109.59","18","2004"
"Slovenia","109.54","19","2004"
"Benin","109.26","20","2004"
"Sweden","108.96","21","2004"
"Belgium","108.78","22","2004"
"Switzerland","108.6","23","2004"
"Guyana","108.56","24","2004"
"Norway","108.1","25","2004"
"Burundi","107.37","26","2004"
"Moldova (the Republic of)","107.26","27","2004"
"Germany","107.03","28","2004"
"Slovakia","106.98","29","2004"
"Portugal","106.76","30","2004"
"United Arab Emirates (the)","105.75","31","2004"
"Netherlands (the)","105.65","32","2004"
"France","105.64","33","2004"
"Belarus","105.59","34","2004"
"Mauritius","105.59","35","2004"
"Austria","105.34","36","2004"
"Kyrgyzstan","105.18","37","2004"
"Seychelles","104.96","38","2004"
"Spain","104.9","39","2004"
"Italy","104.73","40","2004"
"Micronesia (Federated States of)","104.73","41","2004"
"Somalia","104.18","42","2004"
"Togo","104.15","43","2004"
"Lebanon","104.12","44","2004"
"Palestine, State of","104.03","45","2004"
"United States of America (the)","103.81","46","2004"
"Bosnia and Herzegovina","103.54","47","2004"
"Jamaica","103.21","48","2004"
"Cabo Verde","102.89","49","2004"
"Denmark","102.53","50","2004"
"Mongolia","102.06","51","2004"
"Israel","101.93","52","2004"
"Paraguay","101.76","53","2004"
"New Zealand","101.65","54","2004"
"Uganda","101.56","55","2004"
"Oman","101.42","56","2004"
"United Kingdom","101.32","57","2004"
"Korea (the Republic of)","101.28","58","2004"
"Thailand","101.12","59","2004"
"Tajikistan","101.04","60","2004"
"Ecuador","100.98","61","2004"
"Lesotho","100.95","62","2004"
"Djibouti","100.79","63","2004"
"Australia","100.43","64","2004"
"South Africa","100.31","65","2004"
"Ukraine","100.23","66","2004"
"Comoros (the)","100.23","67","2004"
"Colombia","100.2","68","2004"
"Mozambique","100.06","69","2004"
"Japan","99.98","70","2004"
"Greece","99.85","71","2004"
"Mexico","99.82","72","2004"
"Liberia","99.53","73","2004"
"Georgia","99.46","74","2004"
"Congo (the Democratic Republic of the)","99.46","75","2004"
"Saudi Arabia","99.39","76","2004"
"Turkmenistan","99.23","77","2004"
"Vanuatu","99.15","78","2004"
"Pakistan","99.09","79","2004"
"Malta","99.03","80","2004"
"Brazil","98.98","81","2004"
"Bahamas (the)","98.98","82","2004"
"Korea (the Democratic People's Republic of)","98.87","83","2004"
"Dominica","98.85","84","2004"
"Liechtenstein","98.84","85","2004"
"Samoa","98.82","86","2004"
"Libya","98.75","87","2004"
"Morocco","98.75","88","2004"
"Malawi","98.57","89","2004"
"Eswatini","98.54","90","2004"
"Nauru","98.54","91","2004"
"Belize","98.48","92","2004"
"Dominican Republic (the)","98.46","93","2004"
"Nepal","98.42","94","2004"
"Central African Republic (the)","98.42","95","2004"
"Papua New Guinea","98.42","96","2004"
"World","98.28","","2004"
"North Macedonia","98.09","97","2004"
"Tuvalu","98.01","98","2004"
"Gabon","97.93","99","2004"
"Albania","97.87","100","2004"
"Panama","97.87","101","2004"
"Philippines (the)","97.84","102","2004"
"Canada","97.78","103","2004"
"Sao Tome and Principe","97.73","104","2004"
"Viet Nam","97.68","105","2004"
"Equatorial Guinea","97.59","106","2004"
"Ghana","97.46","107","2004"
"China","97.34","108","2004"
"El Salvador","97.21","109","2004"
"Uruguay","97.07","110","2004"
"Russian Federation (the)","97.04","111","2004"
"Tonga","97","112","2004"
"Guinea","96.93","113","2004"
"Mali","96.89","114","2004"
"Jordan","96.87","115","2004"
"Fiji","96.73","116","2004"
"Guatemala","96.56","117","2004"
"Namibia","96.37","118","2004"
"Haiti","96.35","119","2004"
"Tanzania, the United Republic of","96.04","120","2004"
"Egypt","95.9","121","2004"
"Côte d'Ivoire","95.81","122","2004"
"Congo (the)","95.7","123","2004"
"Chile","95.67","124","2004"
"Lao People's Democratic Republic (the)","95.6","125","2004"
"Honduras","95.54","126","2004"
"Barbados","95.51","127","2004"
"Trinidad and Tobago","95.45","128","2004"
"Malaysia","95.39","129","2004"
"Venezuela (Bolivarian Republic of)","95.32","130","2004"
"Botswana","95.31","131","2004"
"Syrian Arab Republic (the)","95.14","132","2004"
"Turkey","95.04","133","2004"
"Senegal","94.95","134","2004"
"Indonesia","94.93","135","2004"
"Iraq","94.84","136","2004"
"Bolivia (Plurinational State of)","94.73","137","2004"
"Croatia","94.71","138","2004"
